"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0287722216327061
2.005,-0.0290761754431757
2.01,-0.0293807605006753
2.015,-0.0296860339214736
2.02,-0.0299920524170754
2.025,-0.0302988723009929
2.03,-0.030606549495522
2.035,-0.0309151395384724
2.04,-0.0312246975898573
2.045,-0.0315352784386117
2.05,-0.0318469365092198
2.055,-0.0321597258684009
2.06,-0.0324737002317447
2.065,-0.0327889129703482
2.07,-0.033105417117446
2.075,-0.0334232653750656
2.08,-0.0337425101206438
2.085,-0.0340632034136965
2.09,-0.0343853970024686
2.095,-0.0347091423306245
2.1,-0.0350344905439264
2.105,-0.0353614924969767
2.11,-0.0356901987599606
2.115,-0.0360206596254241
2.12,-0.0363529251150926
2.125,-0.0366870449867318
2.13,-0.0370230687410427
2.135,-0.0373610456286205
2.14,-0.0377010246569485
2.145,-0.0380430545974567
2.15,-0.0383871839926463
2.155,-0.0387334611632754
2.16,-0.0390819342156069
2.165,-0.0394326510487469
2.17,-0.0397856593620522
2.175,-0.0401410066626199
2.18,-0.0404987402728689
2.185,-0.0408589073382239
2.19,-0.0412215548348864
2.195,-0.0415867295777041
2.2,-0.041954478228173
2.205,-0.042324847302526
2.21,-0.0426978831799692
2.215,-0.0430736321110042
2.22,-0.0434521402259359
2.225,-0.043833453543453
2.23,-0.0442176179794162
2.235,-0.0446046793557297
2.24,-0.0449946834094255
2.245,-0.045387675801863
2.25,-0.0457837021281255
2.255,-0.0461828079265732
2.26,-0.0465850386885781
2.265,-0.0469904398684551
2.27,-0.0473990568935743
2.275,-0.0478109351746827
2.28,-0.0482261201164297
2.285,-0.0486446571281033
2.29,-0.0490665916346103
2.295,-0.0494919690876476
2.3,-0.04992083497716
2.305,-0.0503532348430029
2.31,-0.0507892142868842
2.315,-0.0512288189845687
2.32,-0.051672094698344
2.325,-0.0521190872897721
2.33,-0.0525698427327412
2.335,-0.0530244071268044
2.34,-0.0534828267108304
2.345,-0.0539451478769909
2.35,-0.0544114171850504
2.355,-0.0548816813770187
2.36,-0.0553559873921457
2.365,-0.0558343823822859
2.37,-0.0563169137276138
2.375,-0.0568036290527596
2.38,-0.0572945762433239
2.385,-0.0577898034627815
2.39,-0.058289359169855
2.395,-0.0587932921362763
2.4,-0.0593016514650279
2.405,-0.0598144866090374
2.41,-0.060331847390329
2.415,-0.0608537840197005
2.42,-0.0613803471168832
2.425,-0.0619115877312191
2.43,-0.0624475573628863
2.435,-0.0629883079846641
2.44,-0.0635338920642952
2.445,-0.064084362587381
2.45,-0.0646397730809433
2.455,-0.0652001776375408
2.46,-0.0657656309400889
2.465,-0.0663361882872992
2.47,-0.0669119056197849
2.475,-0.0674928395469142
2.48,-0.0680790473743351
2.485,-0.0686705871322618
2.49,-0.069267517604507
2.495,-0.0698698983583213
2.5,-0.0704777897750251
2.505,-0.0710912530814632
2.51,-0.0717103503823268
2.515,-0.0723351446933555
2.52,-0.0729656999754383
2.525,-0.0736020811696452
2.53,-0.0742443542332299
2.535,-0.0748925861766127
2.54,-0.0755468451013705
2.545,-0.0762072002392988
2.55,-0.0768737219925181
2.555,-0.0775464819747169
2.56,-0.0782255530535199
2.565,-0.0789110093940343
2.57,-0.0796029265036084
2.575,-0.0803013812778237
2.58,-0.0810064520477766
2.585,-0.0817182186286804
2.59,-0.0824367623698131
2.595,-0.0831621662058681
2.6,-0.0838945147097325
2.605,-0.0846338941467694
2.61,-0.0853803925305824
2.615,-0.0861340996803793
2.62,-0.0868951072799389
2.625,-0.0876635089382269
2.63,-0.0884394002517355
2.635,-0.0892228788685629
2.64,-0.090014044554322
2.645,-0.0908129992598991
2.65,-0.0916198471911322
2.655,-0.0924346948804528
2.66,-0.0932576512605764
2.665,-0.0940888277402774
2.67,-0.094928338282295
2.675,-0.095776299483484
2.68,-0.0966328306572275
2.685,-0.0974980539181903
2.69,-0.0983720942695125
2.695,-0.0992550796924355
2.7,-0.10014714123856
2.705,-0.101048413124671
2.71,-0.101959032830308
2.715,-0.102879141198108
2.72,-0.103808882537032
2.725,-0.104748404728542
2.73,-0.105697859335807
2.735,-0.106657401716062
2.74,-0.107627191136156
2.745,-0.108607390891465
2.75,-0.109598168428158
2.755,-0.110599695469027
2.76,-0.111612148142902
2.765,-0.112635707117789
2.77,-0.113670557737859
2.775,-0.114716890164342
2.78,-0.11577489952051
2.785,-0.116844786040811
2.79,-0.117926755224316
2.795,-0.119021017992552
2.8,-0.120127790851932
2.805,-0.121247296060825
2.81,-0.12237976180145
2.815,-0.123525422356742
2.82,-0.12468451829229
2.825,-0.125857296643536
2.83,-0.127044011108367
2.835,-0.128244922245259
2.84,-0.129460297677122
2.845,-0.130690412301036
2.85,-0.131935548504007
2.855,-0.133195996384955
2.86,-0.1344720539831
2.865,-0.135764027512888
2.87,-0.13707223160572
2.875,-0.138396989558591
2.88,-0.139738633589915
2.885,-0.141097505102663
2.89,-0.142473954955078
2.895,-0.143868343739148
2.9,-0.145281042067046
2.905,-0.146712430865814
2.91,-0.148162901680415
2.915,-0.149632856985509
2.92,-0.151122710506073
2.925,-0.152632887547214
2.93,-0.154163825333317
2.935,-0.155715973356884
2.94,-0.157289793737252
2.945,-0.158885761589468
2.95,-0.160504365403635
2.955,-0.162146107434921
2.96,-0.163811504104611
2.965,-0.165501086412392
2.97,-0.167215400360237
2.975,-0.168955007388152
2.98,-0.17072048482206
2.985,-0.17251242633419
2.99,-0.174331442416244
2.995,-0.176178160865645
3,-0.178053227285202
