"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.249603684145605
2.005,-0.271833638040291
2.01,-0.296980337619592
2.015,-0.325554808598278
2.02,-0.358179685044256
2.025,-0.395618205754944
2.03,-0.438811771358638
2.035,-0.488928768905382
2.04,-0.547428182803939
2.045,-0.616142452595284
2.05,-0.697384963944084
2.055,-0.794088050445228
2.06,-0.909976401359692
2.065,-1.04977591717634
2.07,-1.21944404633952
2.075,-1.42637326393664
2.08,-1.67944193337929
2.085,-1.98862383250358
2.09,-2.36355164066308
2.095,-2.80989970208224
2.1,-3.32184767125904
2.105,-3.86923843662991
2.11,-4.38263500934409
2.115,-4.75256791343462
2.12,-4.86977283305625
2.125,-4.69791092780066
2.13,-4.30256750773747
2.135,-3.79811764251258
2.14,-3.28098217785157
2.145,-2.80588405344176
2.15,-2.39392169572241
2.155,-2.04719705827457
2.16,-1.7594256493572
2.165,-1.52172920908912
2.17,-1.32529416186639
2.175,-1.16237817326555
2.18,-1.02654841843787
2.185,-0.912603971518599
2.19,-0.816393764243517
2.195,-0.734620886499487
2.2,-0.664667493072618
2.205,-0.604449683583599
2.21,-0.552301640209405
2.215,-0.506884865633492
2.22,-0.467117728601154
2.225,-0.432120957499278
2.23,-0.401175467000109
2.235,-0.3736896522183
2.24,-0.349173931918388
2.245,-0.327220844367999
2.25,-0.30748940619786
2.255,-0.289692755678121
2.26,-0.273588337341333
2.265,-0.258970062404557
2.27,-0.245662013086421
2.275,-0.233513359619397
2.28,-0.2223942348223
2.285,-0.212192368742868
2.29,-0.202810329738629
2.295,-0.194163251879796
2.3,-0.186176954287989
2.305,-0.178786377872145
2.31,-0.171934280307128
2.315,-0.165570142082841
2.32,-0.159649245829481
2.325,-0.154131898498836
2.33,-0.148982771807608
2.335,-0.144170340972717
2.34,-0.139666405454814
2.345,-0.135445678378047
2.35,-0.131485433667498
2.355,-0.127765201862365
2.36,-0.124266507116501
2.365,-0.120972639162539
2.37,-0.117868455048753
2.375,-0.114940206304874
2.38,-0.112175387890083
2.385,-0.109562605851849
2.39,-0.107091461101212
2.395,-0.104752447106262
2.4,-0.102536859636233
2.405,-0.100436716964776
2.41,-0.0984446891730283
2.415,-0.0965540353879893
2.42,-0.094758547956319
2.425,-0.0930525026928585
2.43,-0.0914306144612157
2.435,-0.0898879974441001
2.44,-0.0884201295467748
2.445,-0.0870228204499421
2.45,-0.0856921828911832
2.455,-0.0844246068076772
2.46,-0.0832167360193204
2.465,-0.0820654471711428
2.47,-0.0809678306884283
2.475,-0.079921173527801
2.48,-0.0789229435334037
2.485,-0.0779707752297589
2.49,-0.0770624569025955
2.495,-0.0761959188359408
2.5,-0.0753692225887275
2.505,-0.0745805512073349
2.51,-0.0738282002818152
2.515,-0.0731105697638119
2.52,-0.0724261564728973
2.525,-0.071773547225982
2.53,-0.0711514125313002
2.535,-0.0705585007946176
2.54,-0.0699936329906524
2.545,-0.0694556977575855
2.55,-0.0689436468766977
2.555,-0.0684564911030122
2.56,-0.0679932963161824
2.565,-0.0675531799638594
2.57,-0.06713530777244
2.575,-0.0667388907025458
2.58,-0.0663631821286629
2.585,-0.0660074752243535
2.59,-0.0656711005361166
2.595,-0.0653534237305922
2.6,-0.0650538435011309
2.605,-0.0647717896210399
2.61,-0.0645067211319565
2.615,-0.0642581246567702
2.62,-0.064025512827507
2.625,-0.0638084228193307
2.63,-0.0636064149826757
2.635,-0.0634190715661127
2.64,-0.0632459955232202
2.645,-0.0630868093972799
2.65,-0.0629411542781282
2.655,-0.0628086888259574
2.66,-0.0626890883572827
2.665,-0.0625820439886736
2.67,-0.0624872618341833
2.675,-0.0624044622528005
2.68,-0.0623333791424154
2.685,-0.0622737592771608
2.69,-0.062225361685231
2.695,-0.062187957064416
2.7,-0.0621613272328925
2.705,-0.062145264612953
2.71,-0.0621395717455185
2.715,-0.0621440608334872
2.72,-0.0621585533120297
2.725,-0.0621828794441991
2.73,-0.0622168779401949
2.735,-0.0622603955989152
2.74,-0.0623132869703137
2.745,-0.0623754140374219
2.75,-0.062446645916767
2.755,-0.0625268585761338
2.76,-0.0626159345686485
2.765,-0.0627137627822267
2.77,-0.0628202382035113
2.775,-0.0629352616954695
2.78,-0.0630587397878891
2.785,-0.0631905844800545
2.79,-0.0633307130549284
2.795,-0.0634790479042382
2.8,-0.063635516363841
2.805,-0.0638000505588815
2.81,-0.0639725872581768
2.815,-0.0641530677374105
2.82,-0.0643414376506196
2.825,-0.0645376469096508
2.83,-0.0647416495711045
2.835,-0.0649534037304835
2.84,-0.0651728714231425
2.845,-0.0654000185317568
2.85,-0.0656348147000211
2.855,-0.0658772332522568
2.86,-0.0661272511187086
2.865,-0.0663848487662668
2.87,-0.066650010134403
2.875,-0.0669227225760795
2.88,-0.0672029768034607
2.885,-0.0674907668382179
2.89,-0.0677860899662756
2.895,-0.0680889466968187
2.9,-0.0683993407254079
2.905,-0.0687172789010838
2.91,-0.0690427711972957
2.915,-0.0693758306865678
2.92,-0.0697164735187388
2.925,-0.0700647189027431
2.93,-0.0704205890917458
2.935,-0.0707841093716207
2.94,-0.0711553080526192
2.945,-0.0715342164642251
2.95,-0.0719208689530416
2.955,-0.0723153028837062
2.96,-0.0727175586427579
2.965,-0.0731276796453901
2.97,-0.0735457123450412
2.975,-0.0739717062457942
2.98,-0.0744057139175275
2.985,-0.0748477910137963
2.99,-0.0752979962923944
2.995,-0.0757563916385952
3,-0.0762230420910153
