"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.138740247856873
2.005,-0.145873927303319
2.01,-0.153544871125861
2.015,-0.161807135955369
2.02,-0.170721601883866
2.025,-0.180357018881292
2.03,-0.190791242772904
2.035,-0.202112700540339
2.04,-0.214422134215932
2.045,-0.227834684703349
2.05,-0.242482392243471
2.055,-0.258517209969933
2.06,-0.276114652424687
2.065,-0.295478233860176
2.07,-0.316844894116074
2.075,-0.340491666193944
2.08,-0.366743913971945
2.085,-0.395985567153349
2.09,-0.428671912320781
2.095,-0.465345676125227
2.1,-0.506657376341824
2.105,-0.553391242952275
2.11,-0.606498458785413
2.115,-0.667140086188427
2.12,-0.736742902019784
2.125,-0.81707255690419
2.13,-0.910330147404993
2.135,-1.01928064252114
2.14,-1.1474249227022
2.145,-1.2992318666918
2.15,-1.48045350026838
2.155,-1.69855541439758
2.16,-1.96330734706648
2.165,-2.28759593302531
2.17,-2.68854368258068
2.175,-3.18904371307122
2.18,-3.81983858403203
2.185,-4.62223791873121
2.19,-5.65127693388249
2.195,-6.97759689593748
2.2,-8.67880445622921
2.205,-10.7742024981452
2.21,-12.9145725089706
2.215,-13.7552164036838
2.22,-12.3967600107835
2.225,-10.2311578127326
2.23,-8.2833812714603
2.235,-6.73169703157373
2.24,-5.52453472874872
2.245,-4.58466229742433
2.25,-3.84726274929474
2.255,-3.26305583746502
2.26,-2.79543146600872
2.265,-2.41726730206849
2.27,-2.10838778227681
2.275,-1.85368229920019
2.28,-1.64174218907566
2.285,-1.46387905614481
2.29,-1.31341715185701
2.295,-1.18518129293803
2.3,-1.07512418732021
2.305,-0.980053398430653
2.31,-0.897429840359549
2.315,-0.825217917874221
2.32,-0.761773196436969
2.325,-0.705757536762594
2.33,-0.656074475393533
2.335,-0.611819641673869
2.34,-0.572242425903787
2.345,-0.536716129108591
2.35,-0.504714553531946
2.355,-0.475793519161546
2.36,-0.449576174138233
2.365,-0.425741246904526
2.37,-0.40401359430205
2.375,-0.384156552935203
2.38,-0.365965715480337
2.385,-0.349263839602212
2.39,-0.333896662200082
2.395,-0.319729441243412
2.4,-0.306644085404702
2.405,-0.294536760937909
2.41,-0.283315887911239
2.415,-0.272900455561655
2.42,-0.263218600372139
2.425,-0.254206401366713
2.43,-0.245806855739925
2.435,-0.237969004793574
2.44,-0.230647185631415
2.445,-0.223800388458717
2.45,-0.217391702877121
2.455,-0.211387839433614
2.46,-0.205758715013473
2.465,-0.200477092569235
2.47,-0.195518267235428
2.475,-0.190859792159449
2.48,-0.186481238435404
2.485,-0.182363984402188
2.49,-0.178491030293338
2.495,-0.174846834831508
2.5,-0.171417170866019
2.505,-0.168188997576164
2.51,-0.165150347119338
2.515,-0.162290223903786
2.52,-0.159598514919794
2.525,-0.157065909778777
2.53,-0.154683829292694
2.535,-0.15244436158227
2.54,-0.150340204835834
2.545,-0.148364615954488
2.55,-0.146511364417308
2.555,-0.144774690784199
2.56,-0.143149269326642
2.565,-0.14163017433888
2.57,-0.140212849736166
2.575,-0.138893081593361
2.58,-0.137666973317626
2.585,-0.136530923183913
2.59,-0.135481603992436
2.595,-0.134515944633428
2.6,-0.133631113367317
2.605,-0.132824502647962
2.61,-0.132093715333446
2.615,-0.13143655214318
2.62,-0.130851000232315
2.625,-0.130335222764428
2.63,-0.129887549371914
2.635,-0.129506467399999
2.64,-0.129190613835547
2.645,-0.128938767825459
2.65,-0.128749843692062
2.655,-0.128622884354133
2.66,-0.128557055062774
2.665,-0.128551637360989
2.67,-0.128606023175147
2.675,-0.12871970894559
2.68,-0.128892289703214
2.685,-0.129123452999102
2.69,-0.129412972596251
2.695,-0.129760701836728
2.7,-0.130166566605275
2.705,-0.130630557822708
2.71,-0.131152723420528
2.715,-0.13173315977356
2.72,-0.132372002601426
2.725,-0.133069417393435
2.73,-0.133825589465975
2.735,-0.13464071382705
2.74,-0.13551498509846
2.745,-0.136448587830555
2.75,-0.137441687633981
2.755,-0.138494423641953
2.76,-0.139606902898061
2.765,-0.140779197328789
2.77,-0.142011343995995
2.775,-0.143303349320482
2.78,-0.144655197912445
2.785,-0.146066866528607
2.79,-0.147538343494825
2.795,-0.149069653688044
2.8,-0.150660888872605
2.805,-0.152312242851242
2.81,-0.154024050547689
2.815,-0.155796829818666
2.82,-0.157631324534424
2.825,-0.159528547302383
2.83,-0.161489820164733
2.835,-0.163516811691959
2.84,-0.165611569119049
2.845,-0.167776544512142
2.85,-0.17001461437838
2.855,-0.17232909259899
2.86,-0.174723737028973
2.865,-0.17720275052302
2.87,-0.179770777481466
2.875,-0.182432897239481
2.88,-0.185194615739302
2.885,-0.188061856933191
2.89,-0.191040955280377
2.895,-0.194138650546462
2.9,-0.197362085914734
2.905,-0.200718810200271
2.91,-0.204216784741842
2.915,-0.207864395349815
2.92,-0.211670469522417
2.925,-0.215644299013426
2.93,-0.219795667743539
2.935,-0.224134884993456
2.94,-0.228672823794968
2.945,-0.233420964441892
2.95,-0.238391443070013
2.955,-0.243597105298611
2.96,-0.249051564981361
2.965,-0.254769268176979
2.97,-0.260765562517284
2.975,-0.26705677222001
2.98,-0.273660279064111
2.985,-0.28059460971603
2.99,-0.287879529865464
2.995,-0.295536145699168
3,-0.303587013310889
