"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0145947571175868
2.005,-0.0146505534924623
2.01,-0.0147067710688269
2.015,-0.0147634143876882
2.02,-0.0148204879867588
2.025,-0.0148779964007917
2.03,-0.0149359441619021
2.035,-0.0149943357999279
2.04,-0.0150531758427344
2.045,-0.0151124688165673
2.05,-0.015172219246388
2.055,-0.0152324316561997
2.06,-0.0152931105693987
2.065,-0.0153542605091068
2.07,-0.0154158859985061
2.075,-0.0154779915611934
2.08,-0.0155405817215031
2.085,-0.0156036610048674
2.09,-0.0156672339381472
2.095,-0.0157313050499913
2.1,-0.0157958788711664
2.105,-0.0158609599349146
2.11,-0.0159265527773024
2.115,-0.0159926619375662
2.12,-0.0160592919584691
2.125,-0.0161264473866519
2.13,-0.0161941327729874
2.135,-0.016262352672934
2.14,-0.0163311116469023
2.145,-0.0164004142606045
2.15,-0.0164702650854201
2.155,-0.016540668698763
2.16,-0.0166116296844375
2.165,-0.0166831526330133
2.17,-0.0167552421421872
2.175,-0.0168279028171594
2.18,-0.016901139271003
2.185,-0.0169749561250373
2.19,-0.0170493580092044
2.195,-0.0171243495624533
2.2,-0.0171999354331189
2.205,-0.0172761202792933
2.21,-0.0173529087692284
2.215,-0.0174303055817138
2.22,-0.017508315406471
2.225,-0.0175869429445399
2.23,-0.0176661929086822
2.235,-0.0177460700237714
2.24,-0.0178265790271945
2.245,-0.0179077246692631
2.25,-0.0179895117135978
2.255,-0.0180719449375619
2.26,-0.0181550291326552
2.265,-0.018238769104932
2.27,-0.0183231696754139
2.275,-0.0184082356805233
2.28,-0.0184939719724813
2.285,-0.0185803834197516
2.29,-0.0186674749074717
2.295,-0.0187552513378619
2.3,-0.0188437176306827
2.305,-0.0189328787236609
2.31,-0.0190227395729339
2.315,-0.0191133051534935
2.32,-0.0192045804596328
2.325,-0.0192965705053907
2.33,-0.0193892803250288
2.335,-0.0194827149734541
2.34,-0.0195768795267143
2.345,-0.0196717790824439
2.35,-0.0197674187603338
2.355,-0.019863803702611
2.36,-0.0199609390745085
2.365,-0.0200588300647532
2.37,-0.0201574818860366
2.375,-0.0202568997755145
2.38,-0.0203570889952947
2.385,-0.0204580548329318
2.39,-0.0205598026019312
2.395,-0.0206623376422409
2.4,-0.0207656653207812
2.405,-0.0208697910319363
2.41,-0.0209747201980819
2.415,-0.0210804582701069
2.42,-0.0211870107279311
2.425,-0.0212943830810398
2.43,-0.0214025808690327
2.435,-0.0215116096621282
2.44,-0.021621475061747
2.445,-0.0217321827010312
2.45,-0.0218437382454165
2.455,-0.0219561473931789
2.46,-0.0220694158759981
2.465,-0.0221835494595374
2.47,-0.0222985539440058
2.475,-0.0224144351647336
2.48,-0.0225311989927702
2.485,-0.0226488513354551
2.49,-0.0227673981370327
2.495,-0.0228868453792234
2.5,-0.0230071990818553
2.505,-0.0231284653034575
2.51,-0.0232506501418885
2.515,-0.0233737597349415
2.52,-0.0234978002609814
2.525,-0.0236227779395733
2.53,-0.0237486990321357
2.535,-0.0238755698425576
2.54,-0.0240033967178683
2.545,-0.0241321860488919
2.55,-0.0242619442709021
2.555,-0.0243926778642946
2.56,-0.0245243933552624
2.565,-0.0246570973164784
2.57,-0.024790796367774
2.575,-0.024925497176845
