"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0432020019207561
2.005,-0.0442637385630189
2.01,-0.0453674211139095
2.015,-0.0465150300957689
2.02,-0.0477086689929588
2.025,-0.0489505733183259
2.03,-0.0502431204649473
2.035,-0.0515888404212771
2.04,-0.0529904274367773
2.045,-0.0544507527349452
2.05,-0.0559728783819436
2.055,-0.0575600724316606
2.06,-0.0592158254823974
2.065,-0.0609438687965354
2.07,-0.0627481941530729
2.075,-0.0646330756237329
2.08,-0.0666030934872578
2.085,-0.068663160523568
2.09,-0.0708185509605517
2.095,-0.0730749323816944
2.1,-0.0754384009433397
2.105,-0.0779155202971093
2.11,-0.0805133646665713
2.115,-0.0832395665890867
2.12,-0.0861023699050933
2.125,-0.0891106886595846
2.13,-0.0922741726761913
2.135,-0.0956032806753132
2.14,-0.099109361937021
2.145,-0.102804747660227
2.15,-0.10670285334589
2.155,-0.110818293738577
2.16,-0.115167012103303
2.165,-0.119766425900293
2.17,-0.124635591257505
2.175,-0.129795389039842
2.18,-0.135268735787751
2.185,-0.14108082336138
2.19,-0.147259391799143
2.195,-0.153835040704506
2.2,-0.160841585441133
2.205,-0.168316465580161
2.21,-0.176301214448957
2.215,-0.184842000334455
2.22,-0.193990251965825
2.225,-0.203803383429523
2.23,-0.214345636766316
2.235,-0.225689064306438
2.24,-0.237914677496154
2.245,-0.251113794788664
2.25,-0.265389628410951
2.255,-0.280859158860493
2.26,-0.297655357329588
2.265,-0.315929830548952
2.27,-0.335855980636509
2.275,-0.357632795548466
2.28,-0.381489415136399
2.285,-0.407690655577281
2.29,-0.436543723684009
2.295,-0.468406415836687
2.3,-0.50369717873904
2.305,-0.542907517324087
2.31,-0.586617377654405
2.315,-0.635514321557675
2.32,-0.69041756146868
2.325,-0.75230826125709
2.33,-0.822367963278491
2.335,-0.902027617518646
2.34,-0.993030527218285
2.345,-1.09751367374446
2.35,-1.2181134651759
2.355,-1.35810414506482
2.36,-1.521580157493
2.365,-1.71369807453998
2.37,-1.9409998409389
2.375,-2.21184802608497
2.38,-2.53701711766714
2.385,-2.93050560508741
2.39,-3.41066740417877
2.395,-4.00181946676162
2.4,-4.73658753216503
2.405,-5.65944216601705
2.41,-6.83218029078088
2.415,-8.34225281083997
2.42,-10.3120214677986
2.425,-12.8782948360078
2.43,-15.8838626081254
2.435,-17.3583758609254
2.44,-15.2570498271511
2.445,-12.3261223376183
2.45,-9.94347127700004
2.455,-8.12412709197285
2.46,-6.72650878821683
2.465,-5.63694030997201
2.47,-4.77542756496173
2.475,-4.08566025343027
2.48,-3.52721275464286
2.485,-3.07048846530195
2.49,-2.69345989379706
2.495,-2.37950881172627
2.5,-2.11595231205338
2.505,-1.89301171411198
2.51,-1.70307714598722
2.515,-1.54017501193882
2.52,-1.39957762971345
2.525,-1.27751410972315
2.53,-1.17095425304038
2.535,-1.07744566931074
2.54,-0.994990039474676
2.545,-0.921948409023477
2.55,-0.856968176905878
2.555,-0.798926417274881
2.56,-0.746885583508399
2.565,-0.700058663500398
2.57,-0.657781596744261
2.575,-0.619491306796595
2.58,-0.584708103080454
2.585,-0.553021503063141
2.59,-0.524078747659355
2.595,-0.497575449349055
2.6,-0.473247938437788
2.605,-0.450866968624299
2.61,-0.430232516236181
2.615,-0.411169463768518
2.62,-0.393524001861405
2.625,-0.377160617657103
2.63,-0.361959563883472
2.635,-0.347814723739754
2.64,-0.334631803013536
2.645,-0.322326793818708
2.65,-0.310824664663921
2.655,-0.300058239814591
2.66,-0.28996723754048
2.665,-0.28049744218787
2.67,-0.271599989345269
2.675,-0.263230746892033
2.68,-0.255349777592032
2.685,-0.247920871247984
2.69,-0.240911136366169
2.695,-0.234290642877199
2.7,-0.228032108778927
2.705,-0.222110624664241
2.71,-0.216503411009861
2.715,-0.211189603865383
2.72,-0.206150065221356
2.725,-0.201367214872562
2.73,-0.196824881045667
2.735,-0.192508167443102
2.74,-0.18840333467939
2.745,-0.184497694361526
2.75,-0.180779514299679
2.755,-0.1772379335347
2.76,-0.173862886040236
2.765,-0.170645032104224
2.77,-0.167575696520835
2.775,-0.164646812832698
2.78,-0.161850872957165
2.785,-0.159180881611622
2.79,-0.156630315023179
2.795,-0.154193083469298
2.8,-0.15186349724905
2.805,-0.149636235731029
2.81,-0.14750631916455
2.815,-0.145469082976007
2.82,-0.143520154303471
2.825,-0.141655430549689
2.83,-0.139871059757738
2.835,-0.138163422634572
2.84,-0.136529116066311
2.845,-0.134964937985637
2.85,-0.133467873466054
2.855,-0.132035081930799
2.86,-0.130663885375453
2.865,-0.129351757513588
2.87,-0.12809631376373
2.875,-0.126895302003984
2.88,-0.125746594027827
2.885,-0.124648177641027
2.89,-0.123598149345285
2.895,-0.122594707559422
2.9,-0.12163614633347
2.905,-0.120720849515149
2.91,-0.119847285331957
2.915,-0.119014001355408
2.92,-0.118219619816932
2.925,-0.117462833247717
2.93,-0.116742400417162
2.935,-0.116057142546803
2.94,-0.115405939778653
2.945,-0.1147877278786
2.95,-0.114201495157191
2.955,-0.113646279591633
2.96,-0.113121166134141
2.965,-0.112625284192998
2.97,-0.112157805273851
2.975,-0.1117179407697
2.98,-0.111304939889032
2.985,-0.110918087712322
2.99,-0.110556703367989
2.995,-0.110220138319458
3,-0.109907774755784
