"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0252815714942677
2.005,-0.0256496824151407
2.01,-0.0260192124944334
2.015,-0.0263903806596523
2.02,-0.0267634071883143
2.025,-0.0271385137948509
2.03,-0.0275159237203698
2.035,-0.0278958618254026
2.04,-0.0282785546858127
2.045,-0.0286642306919838
2.05,-0.029053120151484
2.055,-0.0294454553953558
2.06,-0.0298414708882264
2.065,-0.0302414033424158
2.07,-0.0306454918362431
2.075,-0.0310539779367565
2.08,-0.0314671058270722
2.085,-0.0318851224385802
2.09,-0.0323082775882679
2.095,-0.0327368241213531
2.1,-0.0331710180596052
2.105,-0.0336111187555169
2.11,-0.0340573890527023
2.115,-0.0345100954528113
2.12,-0.0349695082892902
2.125,-0.0354359019083317
2.13,-0.0359095548573816
2.135,-0.0363907500816047
2.14,-0.0368797751286862
2.145,-0.0373769223624386
2.15,-0.0378824891856281
2.155,-0.0383967782725338
2.16,-0.038920097811723
2.165,-0.0394527617595903
2.17,-0.0399950901052172
2.175,-0.0405474091471686
2.18,-0.0411100517828301
2.185,-0.0416833578109816
2.19,-0.042267674248311
2.195,-0.0428633556605873
2.2,-0.0434707645093595
2.205,-0.0440902715149221
2.21,-0.0447222560365434
2.215,-0.0453671064708143
2.22,-0.046025220669189
2.225,-0.0466970063757425
2.23,-0.0473828816862691
2.235,-0.0480832755299672
2.24,-0.0487986281749314
2.245,-0.0495293917588358
2.25,-0.050276030846246
2.255,-0.0510390230140692
2.26,-0.0518188594667963
2.265,-0.0526160456832575
2.27,-0.0534311020967263
2.275,-0.0542645648103409
2.28,-0.0551169863499556
2.285,-0.0559889364566103
2.29,-0.0568810029210432
2.295,-0.0577937924627387
2.3,-0.0587279316562535
2.305,-0.0596840679077121
2.31,-0.0606628704845089
2.315,-0.0616650316015911
2.32,-0.0626912675677985
2.325,-0.0637423199960421
2.33,-0.0648189570813821
2.335,-0.0659219749513088
2.34,-0.0670521990928653
2.345,-0.0682104858615681
2.35,-0.0693977240774522
2.355,-0.0706148367139702
2.36,-0.0718627826858242
2.365,-0.0731425587423523
2.37,-0.0744552014735229
2.375,-0.0758017894361406
2.38,-0.0771834454084196
2.385,-0.0786013387817291
2.39,-0.0800566880990061
2.395,-0.0815507637499665
2.4,-0.0830848908342049
2.405,-0.084660452203938
2.41,-0.0862788916992862
2.415,-0.0879417175898451
2.42,-0.0896505062375072
2.425,-0.0914069059966764
2.43,-0.0932126413693324
2.435,-0.095069517433869
2.44,-0.0969794245681334
2.445,-0.0989443434889547
2.45,-0.100966350632144
2.455,-0.103047623899159
2.46,-0.105190448798797
2.465,-0.107397225014775
2.47,-0.109670473432751
2.475,-0.112012843663316
2.48,-0.114427122100734
2.485,-0.116916240560834
2.49,-0.119483285545347
2.495,-0.122131508184368
2.5,-0.124864334913388
2.505,-0.127685378946655
2.51,-0.130598452614405
2.515,-0.133607580638003
2.52,-0.136717014424136
2.525,-0.139931247467092
2.53,-0.14325503195693
2.535,-0.146693396701036
2.54,-0.15025166647736
2.545,-0.153935482949568
2.55,-0.157750827287745
2.555,-0.161704044653099
2.56,-0.16580187072167
2.565,-0.170051460440588
2.57,-0.174460419231051
2.575,-0.179036836875371
2.58,-0.183789324351264
2.585,-0.188727053905744
2.59,-0.193859802693488
2.595,-0.19919800034129
2.6,-0.204752780841514
2.605,-0.210536039224016
2.61,-0.216560493508442
2.615,-0.222839752498371
2.62,-0.229388390045688
2.625,-0.236222026489962
2.63,-0.243357418063786
2.635,-0.250812555153268
2.64,-0.258606770414626
2.645,-0.266760857875064
2.65,-0.275297204291429
2.655,-0.284239934206421
2.66,-0.293615070332084
2.665,-0.30345071110869
2.67,-0.313777227537536
2.675,-0.324627481674475
2.68,-0.336037069503276
2.685,-0.348044591291432
2.69,-0.36069195297462
2.695,-0.374024702629889
2.7,-0.38809240669407
2.705,-0.402949071277368
2.71,-0.418653614729962
2.715,-0.435270398562208
2.72,-0.452869824921511
2.725,-0.471529010120709
2.73,-0.491332545229106
2.735,-0.512373356521145
2.74,-0.534753680680155
2.745,-0.558586172138243
2.75,-0.583995162872774
2.755,-0.611118098466922
2.76,-0.640107178386803
2.765,-0.671131233366124
2.77,-0.704377878686338
2.775,-0.740055989197882
2.78,-0.778398550395143
2.785,-0.819665950040052
2.79,-0.864149787105484
2.795,-0.912177289649219
2.8,-0.964116451218054
2.805,-1.02038201725203
2.81,-1.08144247963537
2.815,-1.14782827019479
2.82,-1.22014138407679
2.825,-1.29906671348093
2.83,-1.38538543371829
2.835,-1.47999086036165
2.84,-1.58390729288286
2.845,-1.69831248284537
2.85,-1.82456452214225
2.855,-1.96423415141409
2.86,-2.11914375893199
2.865,-2.29141470332971
2.87,-2.48352509176187
2.875,-2.69838084453406
2.88,-2.93940388415286
2.885,-3.21064277486476
2.89,-3.51691339832427
2.895,-3.8639807767206
2.9,-4.25879880811339
2.905,-4.70983399753779
2.91,-5.22751507406556
2.915,-5.82487803410813
2.92,-6.51852621490593
2.925,-7.33011932301913
2.93,-8.28879149742806
2.935,-9.43528623123857
2.94,-10.8294532775609
2.945,-12.5647567409596
2.95,-14.798146869258
2.955,-17.8105682965203
2.96,-22.0239474844038
2.965,-25.7788364790367
2.97,-22.4002298013928
2.975,-18.1165075711175
2.98,-15.0533139117645
2.985,-12.7956920638244
2.99,-11.0502309112857
2.995,-9.6533083962478
3,-8.50802973552517
