"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0289758593383462
2.005,-0.0292629745845946
2.01,-0.029555294104646
2.015,-0.0298528452475513
2.02,-0.0301556568345711
2.025,-0.0304637591829636
2.03,-0.0307771841305165
2.035,-0.0310959650609352
2.04,-0.0314201369300407
2.045,-0.0317497362928438
2.05,-0.0320848013314789
2.055,-0.0324253718840739
2.06,-0.032771489474523
2.065,-0.033123197343235
2.07,-0.0334805404788474
2.075,-0.033843565650982
2.08,-0.034212321443995
2.085,-0.0345868582918469
2.09,-0.0349672285140402
2.095,-0.0353534863527018
2.1,-0.0357456880108432
2.105,-0.0361438916917978
2.11,-0.0365481576399325
2.115,-0.0369585481825988
2.12,-0.0373751277734314
2.125,-0.0377979630369791
2.13,-0.0382271228147606
2.135,-0.038662678212722
2.14,-0.0391047026502328
2.145,-0.0395532719105747
2.15,-0.0400084641930387
2.155,-0.04047036016665
2.16,-0.0409390430255795
2.165,-0.0414145985463029
2.17,-0.0418971151465629
2.175,-0.0423866839461885
2.18,-0.0428833988298284
2.185,-0.0433873565116878
2.19,-0.0438986566023201
2.195,-0.0444174016775223
2.2,-0.0449436973494444
2.205,-0.0454776523399647
2.21,-0.0460193785564315
2.215,-0.0465689911697946
2.22,-0.0471266086953185
2.225,-0.0476923530758402
2.23,-0.0482663497677657
2.235,-0.0488487278298557
2.24,-0.0494396200148776
2.245,-0.0500391628643048
2.25,-0.0506474968060879
2.255,-0.0512647662556591
2.26,-0.0518911197202832
2.265,-0.0525267099068599
2.27,-0.0531716938333341
2.275,-0.0538262329438102
2.28,-0.0544904932275581
2.285,-0.0551646453420187
2.29,-0.0558488647399548
2.295,-0.0565433318009766
2.3,-0.0572482319674932
2.305,-0.0579637558853752
2.31,-0.0586900995494408
2.315,-0.0594274644539716
2.32,-0.0601760577484767
2.325,-0.0609360923988713
2.33,-0.0617077873543255
2.335,-0.0624913677199786
2.34,-0.0632870649357814
2.345,-0.0640951169616869
2.35,-0.0649157684694795
2.355,-0.0657492710414606
2.36,-0.0665958833763535
2.365,-0.0674558715026286
2.37,-0.0683295089996515
2.375,-0.0692170772269044
2.38,-0.0701188655616643
2.385,-0.0710351716454906
2.39,-0.0719663016398622
2.395,-0.0729125704914124
2.4,-0.0738743022071176
2.405,-0.0748518301399111
2.41,-0.0758454972851436
2.415,-0.0768556565883867
2.42,-0.0778826712650769
2.425,-0.0789269151324961
2.43,-0.0799887729546857
2.435,-0.0810686408008111
2.44,-0.0821669264176453
2.445,-0.0832840496167633
2.45,-0.0844204426771259
2.455,-0.0855765507637822
2.46,-0.0867528323634106
2.465,-0.0879497597374519
2.47,-0.0891678193937394
2.475,-0.0904075125773607
2.48,-0.0916693557818302
2.485,-0.092953881281326
2.49,-0.0942616376852026
2.495,-0.0955931905157044
2.5,-0.0969491228100473
2.505,-0.0983300357480685
2.51,-0.099736549306677
2.515,-0.101169302942399
2.52,-0.102628956303456
2.525,-0.1041161899728
2.53,-0.105631706243688
2.535,-0.1071762299294
2.54,-0.108750509208865
2.545,-0.110355316510011
2.55,-0.111991449432756
2.555,-0.113659731713731
2.56,-0.115361014234847
2.565,-0.117096176078047
2.57,-0.118866125628645
2.575,-0.120671801729818
2.58,-0.12251417489102
2.585,-0.124394248553143
2.59,-0.126313060413538
2.595,-0.128271683814145
2.6,-0.130271229196139
2.605,-0.132312845624807
2.61,-0.134397722388502
2.615,-0.13652709067583
2.62,-0.138702225335454
2.625,-0.14092444672317
2.63,-0.143195122641227
2.635,-0.145515670375182
2.64,-0.147887558833892
2.645,-0.15031231079863
2.65,-0.152791505287719
2.655,-0.155326780043451
2.66,-0.157919834148559
2.665,-0.160572430779928
2.67,-0.163286400107833
2.675,-0.16606364234947
2.68,-0.168906130986169
2.685,-0.171815916154356
2.69,-0.174795128220941
2.695,-0.177845981554649
2.7,-0.18097077850553
2.705,-0.184171913605781
2.71,-0.187451878005948
2.715,-0.190813264161562
2.72,-0.194258770786324
2.725,-0.197791208089199
2.73,-0.201413503313894
2.735,-0.205128706600712
2.74,-0.20893999719215
2.745,-0.212850690005187
2.75,-0.216864242595005
2.755,-0.22098426253666
2.76,-0.225214515253289
2.765,-0.229558932321627
2.77,-0.234021620287915
2.775,-0.238606870029952
2.78,-0.243319166703698
2.785,-0.248163200316023
2.79,-0.253143876968346
2.795,-0.258266330819583
2.8,-0.263535936820661
2.805,-0.268958324277162
2.81,-0.274539391301168
2.815,-0.28028532021857
2.82,-0.28620259400343
2.825,-0.292298013817132
2.83,-0.298578717736433
2.835,-0.305052200761873
2.84,-0.311726336205631
2.845,-0.318609398566577
2.85,-0.325710088009609
2.855,-0.333037556576595
2.86,-0.340601436267495
2.865,-0.348411869142544
2.87,-0.35647953960994
2.875,-0.364815709078315
2.88,-0.373432253169547
2.885,-0.382341701705514
2.89,-0.39155728170209
2.895,-0.401092963625376
2.9,-0.410963511189288
2.905,-0.421184534999866
2.91,-0.431772550380911
2.915,-0.442745039747822
2.92,-0.454120519931858
2.925,-0.465918614896651
2.93,-0.478160134332015
2.935,-0.490867158658506
2.94,-0.504063131029374
2.945,-0.517772956975795
2.95,-0.53202311240684
2.955,-0.546841760748533
2.96,-0.562258880087278
2.965,-0.578306401272813
2.97,-0.595018358036065
2.975,-0.612431050288537
2.98,-0.630583221893999
2.985,-0.649516254341547
2.99,-0.66927437790332
2.995,-0.689904902032299
3,-0.7114584669479
