"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0246255657666911
2.005,-0.0248943871544135
2.01,-0.0251644384852425
2.015,-0.0254357711047917
2.02,-0.0257084367145735
2.025,-0.0259824873828296
2.03,-0.0262579755554866
2.035,-0.0265349540672537
2.04,-0.0268134761528314
2.045,-0.0270935954582646
2.05,-0.027375366052456
2.055,-0.0276588424387759
2.06,-0.0279440795668896
2.065,-0.0282311328446691
2.07,-0.0285200581503097
2.075,-0.0288109118446072
2.08,-0.0291037507833745
2.085,-0.0293986323300596
2.09,-0.0296956143685403
2.095,-0.0299947553160778
2.1,-0.0302961141365022
2.105,-0.0305997503535399
2.11,-0.0309057240643935
2.115,-0.0312140959534842
2.12,-0.0315249273064379
2.125,-0.0318382800242622
2.13,-0.0321542166377639
2.135,-0.0324728003221954
2.14,-0.0327940949121198
2.145,-0.0331181649165343
2.15,-0.0334450755342485
2.155,-0.0337748926694808
2.16,-0.0341076829477667
2.165,-0.0344435137320892
2.17,-0.0347824531393237
2.175,-0.0351245700569333
2.18,-0.0354699341599813
2.185,-0.035818615928419
2.19,-0.0361706866646996
2.195,-0.0365262185116825
2.2,-0.0368852844708879
2.205,-0.0372479584210547
2.21,-0.0376143151370579
2.215,-0.037984430309151
2.22,-0.0383583805625943
2.225,-0.0387362434776174
2.23,-0.0391180976097819
2.235,-0.0395040225107094
2.24,-0.0398940987492232
2.245,-0.0402884079328782
2.25,-0.0406870327299079
2.255,-0.0410900568916049
2.26,-0.0414975652751386
2.265,-0.0419096438668018
2.27,-0.0423263798057454
2.275,-0.0427478614081572
2.28,-0.0431741781919397
2.285,-0.0436054209018764
2.29,-0.0440416815353135
2.295,-0.044483053368345
2.3,-0.0449296309825528
2.305,-0.0453815102922928
2.31,-0.0458387885725144
2.315,-0.0463015644872007
2.32,-0.0467699381183638
2.325,-0.0472440109956673
2.33,-0.047723886126663
2.335,-0.0482096680276586
2.34,-0.0487014627552667
2.345,-0.0491993779385876
2.35,-0.0497035228121129
2.355,-0.0502140082493202
2.36,-0.0507309467969931
2.365,-0.0512544527102936
2.37,-0.0517846419886011
2.375,-0.052321632412102
2.38,-0.0528655435792341
2.385,-0.0534164969449192
2.39,-0.0539746158596512
2.395,-0.0545400256094514
2.4,-0.0551128534567316
2.405,-0.0556932286820487
2.41,-0.0562812826268046
2.415,-0.0568771487369303
2.42,-0.0574809626075216
2.425,-0.0580928620285392
2.43,-0.0587129870314956
2.435,-0.0593414799372661
2.44,-0.0599784854049629
2.445,-0.0606241504819568
2.45,-0.0612786246550362
2.455,-0.0619420599027896
2.46,-0.0626146107491775
2.465,-0.0632964343183815
2.47,-0.0639876903909302
2.475,-0.0646885414611478
2.48,-0.0653991527959762
2.485,-0.0661196924951798
2.49,-0.0668503315529899
2.495,-0.0675912439212288
2.5,-0.0683426065739415
2.505,-0.0691045995735814
2.51,-0.0698774061388054
2.515,-0.0706612127139004
2.52,-0.0714562090399161
2.525,-0.0722625882274988
2.53,-0.0730805468315585
2.535,-0.0739102849277235
2.54,-0.0747520061907047
2.545,-0.0756059179745876
2.55,-0.0764722313951273
2.555,-0.0773511614140688
2.56,-0.0782429269256035
2.565,-0.079147750844962
2.57,-0.0800658601992427
2.575,-0.0809974862205498
2.58,-0.081942864441444
2.585,-0.0829022347928546
2.59,-0.0838758417044694
2.595,-0.0848639342076657
2.6,-0.0858667660411171
2.605,-0.0868845957590751
2.61,-0.0879176868424723
2.615,-0.0889663078128657
2.62,-0.0900307323493609
2.625,-0.0911112394085646
2.63,-0.0922081133476535
2.635,-0.0933216440507006
2.64,-0.0944521270582717
2.645,-0.0955998637004674
2.65,-0.0967651612334575
2.655,-0.0979483329796453
2.66,-0.0991496984715471
2.665,-0.100369583599503
2.67,-0.101608320763344
2.675,-0.102866249028119
2.68,-0.104143714284001
2.685,-0.105441069410531
2.69,-0.106758674445259
2.695,-0.108096896757007
2.7,-0.109456111223803
2.705,-0.110836700415713
2.71,-0.112239054782631
2.715,-0.113663572847248
2.72,-0.115110661403329
2.725,-0.116580735719454
2.73,-0.118074219748408
2.735,-0.119591546342371
2.74,-0.12113315747412
2.745,-0.122699504464363
2.75,-0.124291048215488
2.755,-0.125908259451842
2.76,-0.127551618966775
2.765,-0.129221617876672
2.77,-0.130918757882165
2.775,-0.132643551536749
2.78,-0.134396522523072
2.785,-0.136178205937074
2.79,-0.137989148580285
2.795,-0.139829909260486
2.8,-0.141701059101036
2.805,-0.143603181859107
2.81,-0.145536874253137
2.815,-0.147502746299751
2.82,-0.149501421660488
2.825,-0.151533537998646
2.83,-0.153599747346522
2.835,-0.155700716483414
2.84,-0.157837127324741
2.845,-0.160009677322573
2.85,-0.162219079878013
2.855,-0.16446606476575
2.86,-0.166751378571199
2.865,-0.169075785140614
2.87,-0.171440066044636
2.875,-0.173845021055616
2.88,-0.17629146863926
2.885,-0.178780246460976
2.89,-0.181312211907448
2.895,-0.183888242623872
2.9,-0.186509237067428
2.905,-0.189176115077447
2.91,-0.191889818462837
2.915,-0.194651311607333
2.92,-0.197461582093131
2.925,-0.200321641343485
2.93,-0.203232525284916
2.935,-0.206195295029629
2.94,-0.209211037578791
2.945,-0.212280866547368
2.95,-0.21540592291117
2.955,-0.218587375776862
2.96,-0.221826423175626
2.965,-0.2251242928813
2.97,-0.228482243253684
2.975,-0.231901564107895
2.98,-0.235383577610568
2.985,-0.238929639203737
2.99,-0.24254113855731
2.995,-0.246219500551
3,-0.249966186286685
