"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.997814145920707
2.005,-0.80932595607455
2.01,-0.669607469333944
2.015,-0.563539071384386
2.02,-0.481309718673978
2.025,-0.41637704724987
2.03,-0.364265794128604
2.035,-0.321842355366502
2.04,-0.286865495696716
2.045,-0.257701101173553
2.05,-0.233136784800352
2.055,-0.212258729548908
2.06,-0.194368204772032
2.065,-0.178923910614351
2.07,-0.165501469735758
2.075,-0.153764512277995
2.08,-0.143443732375029
2.085,-0.134321512359879
2.09,-0.126220492585961
2.095,-0.118994975329369
2.1,-0.112524390082082
2.105,-0.106708275851739
2.11,-0.101462392100968
2.115,-0.0967156779983277
2.12,-0.0924078554037578
2.125,-0.0884875247466608
2.13,-0.084910641493903
2.135,-0.0816392888320231
2.14,-0.078640682623626
2.145,-0.0758863597894347
2.15,-0.0733515125100819
2.155,-0.0710144390859916
2.16,-0.0688560886858214
2.165,-0.066859682088709
2.17,-0.0650103942690691
2.175,-0.0632950875671121
2.18,-0.0617020864401614
2.185,-0.0602209865525919
2.19,-0.0588424923501495
2.195,-0.0575582783632564
2.2,-0.0563608703582688
2.205,-0.0552435431553156
2.21,-0.054200232493524
2.215,-0.05322545877852
2.22,-0.0523142609153634
2.225,-0.0514621387300578
2.23,-0.0506650027282154
2.235,-0.0499191301408636
2.24,-0.0492211263735694
2.245,-0.0485678911123741
2.25,-0.0479565884542052
2.255,-0.0473846205243753
2.26,-0.0468496041232925
2.265,-0.0463493500109993
2.27,-0.0458818444942651
2.275,-0.0454452330281217
2.28,-0.0450378055837006
2.285,-0.0446579835681736
2.29,-0.0443043081112995
2.295,-0.0439754295578562
2.3,-0.0436700980260044
2.305,-0.0433871549098367
2.31,-0.0431255252197482
2.315,-0.0428842106675234
2.32,-0.0426622834146219
2.325,-0.0424588804120403
2.33,-0.0422731982686576
2.335,-0.0421044885925844
2.34,-0.0419520537564249
2.345,-0.0418152430430358
2.35,-0.0416934491334173
2.355,-0.0415861049025281
2.36,-0.0414926804927918
2.365,-0.0414126806382626
2.37,-0.0413456422153868
2.375,-0.041291131998928
2.38,-0.0412487446038177
2.385,-0.0412181005957612
2.39,-0.0411988447552086
2.395,-0.0411906444808347
2.4,-0.0411931883201498
2.405,-0.0412061846160253
2.41,-0.0412293602591083
2.415,-0.0412624595370176
2.42,-0.0413052430721719
2.425,-0.0413574868408102
2.43,-0.0414189812665477
2.435,-0.0414895303824085
2.44,-0.0415689510558449
2.445,-0.041657072271771
2.45,-0.0417537344691386
2.455,-0.0418587889269223
2.46,-0.0419720971958402
2.465,-0.0420935305724337
2.47,-0.0422229696124594
2.475,-0.0423603036807984
2.48,-0.0425054305353988
2.485,-0.0426582559429728
2.49,-0.0428186933243443
2.495,-0.0429866634276783
2.5,-0.043162094027805
2.505,-0.0433449196502313
2.51,-0.0435350813184248
2.515,-0.0437325263232388
2.52,-0.0439372080133721
2.525,-0.04414908560596
2.53,-0.0443681240165568
2.535,-0.0445942937077451
2.54,-0.0448275705559388
2.545,-0.0450679357358651
2.55,-0.0453153756224662
2.555,-0.0455698817100137
2.56,-0.0458314505483496
2.565,-0.0461000836962996
2.57,-0.0463757876924496
2.575,-0.0466585740435089
2.58,-0.0469484592306966
2.585,-0.0472454647347017
2.59,-0.0475496170798201
2.595,-0.0478609478980811
2.6,-0.0481794940142509
2.605,-0.0485052975527298
2.61,-0.0488384060674297
2.615,-0.0491788726958509
2.62,-0.0495267563385615
2.625,-0.0498821218652874
2.63,-0.0502450403487863
2.635,-0.0506155893273998
2.64,-0.0509938530969286
2.645,-0.0513799230318999
2.65,-0.0517738979354475
2.655,-0.0521758844159257
2.66,-0.0525859972865558
2.665,-0.0530043599821701
2.67,-0.0534311049837354
2.675,-0.0538663742369607
2.68,-0.0543103195453503
2.685,-0.0547631029100296
2.69,-0.0552248967783764
2.695,-0.0556958841497604
2.7,-0.0561762584693342
2.705,-0.0566662232186753
2.71,-0.0571659910846178
2.715,-0.057675782554217
2.72,-0.0581958237445777
2.725,-0.0587263432319113
2.73,-0.0592675675976578
2.735,-0.0598197153658219
2.74,-0.060382988974473
2.745,-0.0609575644209539
2.75,-0.0615435782672701
2.755,-0.0621411118216203
2.76,-0.0627501725632711
2.765,-0.0633706732952505
2.77,-0.0640024101291132
2.775,-0.0646450412377395
2.78,-0.0652980693069419
2.785,-0.0659608316298726
2.79,-0.066632502547477
2.795,-0.0673121130461378
2.8,-0.0679985913247346
2.805,-0.0686908256887607
2.81,-0.0693877472140002
2.815,-0.0700884248185284
2.82,-0.0707921608924986
2.825,-0.0714985730311935
2.83,-0.0722076480346655
2.835,-0.072919758580525
2.84,-0.0736356399249929
2.845,-0.0743563316348107
2.85,-0.0750830954216283
2.855,-0.0758173230519345
2.86,-0.0765604477039898
2.865,-0.0773138688790709
2.87,-0.0780788964965353
2.875,-0.0788567155024507
2.88,-0.0796483690991291
2.885,-0.0804547568635056
2.89,-0.081276643420557
2.895,-0.0821146736048877
2.9,-0.0829693907803808
2.905,-0.083841255875884
2.91,-0.084730665531082
2.915,-0.0856379684309155
2.92,-0.0865634794117158
2.925,-0.0875074912615949
2.93,-0.0884702843440942
2.935,-0.0894521342828486
2.94,-0.0904533179881766
2.945,-0.0914741183087085
2.95,-0.0925148275700858
2.955,-0.0935757502312277
2.96,-0.0946572048531997
2.965,-0.0957595255417582
2.97,-0.0968830629936006
2.975,-0.0980281852497715
2.98,-0.0991952782373133
2.985,-0.100384746161997
2.99,-0.101597011800346
2.995,-0.102832516727513
3,-0.104091721508562
