"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0343206256343943
2.005,-0.0348496139625586
2.01,-0.0353876131097986
2.015,-0.0359348378145498
2.02,-0.0364915085088722
2.025,-0.0370578515321754
2.03,-0.037634099353778
2.035,-0.0382204908047439
2.04,-0.0388172713194107
2.045,-0.0394246931871056
2.05,-0.0400430158145499
2.055,-0.0406725059994359
2.06,-0.0413134382157852
2.065,-0.0419660949116132
2.07,-0.0426307668195807
2.075,-0.0433077532812041
2.08,-0.0439973625853848
2.085,-0.044699912321929
2.09,-0.0454157297508625
2.095,-0.0461451521883185
2.1,-0.0468885274098904
2.105,-0.0476462140723204
2.11,-0.0484185821545185
2.115,-0.0492060134189077
2.12,-0.0500089018941705
2.125,-0.0508276543805684
2.13,-0.051662690979003
2.135,-0.0525144456451271
2.14,-0.0533833667698774
2.145,-0.0542699177878481
2.15,-0.055174577815043
2.155,-0.0560978423176645
2.16,-0.0570402238136439
2.165,-0.0580022526087473
2.17,-0.0589844775692459
2.175,-0.0599874669332041
2.18,-0.0610118091626137
2.185,-0.0620581138387282
2.19,-0.0631270126031201
2.195,-0.0642191601471144
2.2,-0.0653352352524934
2.205,-0.0664759418864712
2.21,-0.0676420103542109
2.215,-0.0688341985123782
2.22,-0.0700532930473587
2.225,-0.0713001108221861
2.23,-0.072575500296346
2.235,-0.0738803430230032
2.24,-0.0752155552285058
2.245,-0.0765820894793311
2.25,-0.0779809364420228
2.255,-0.0794131267420742
2.26,-0.0808797329281585
2.265,-0.0823818715484895
2.27,-0.0839207053467329
2.275,-0.085497445585285
2.28,-0.0871133545044435
2.285,-0.088769747926546
2.29,-0.0904679980148954
2.295,-0.092209536198025
2.3,-0.0939958562706165
2.305,-0.0958285176833867
2.31,-0.0977091490350576
2.315,-0.0996394517806919
2.32,-0.101621204171768
2.325,-0.103656265444531
2.33,-0.105746580274659
2.335,-0.107894183517534
2.34,-0.110101205255215
2.345,-0.112369876172786
2.35,-0.11470253328875
2.355,-0.11710162606618
2.36,-0.119569722933647
2.365,-0.122109518247355
2.37,-0.124723839728796
2.375,-0.127415656415037
2.38,-0.130188087162225
2.385,-0.133044409746319
2.39,-0.135988070609246
2.395,-0.139022695302809
2.4,-0.142152099687638
2.405,-0.14538030194974
2.41,-0.148711535502981
2.415,-0.152150262852383
2.42,-0.155701190500153
2.425,-0.159369284984297
2.43,-0.163159790148412
2.435,-0.167078245750831
2.44,-0.171130507532167
2.445,-0.175322768872023
2.45,-0.17966158417908
2.455,-0.184153894173323
2.46,-0.188807053235658
2.465,-0.193628859018435
2.47,-0.198627584530787
2.475,-0.203812012935498
2.48,-0.209191475319611
2.485,-0.214775891729527
2.49,-0.220575815793368
2.495,-0.226602483289302
2.5,-0.23286786505882
2.505,-0.239384724709497
2.51,-0.24616668160279
2.515,-0.253228279680136
2.52,-0.260585062745803
2.525,-0.268253656898503
2.53,-0.276251860887206
2.535,-0.284598745261039
2.54,-0.293314761290483
2.545,-0.302421860758966
2.55,-0.311943627862761
2.555,-0.321905424615252
2.56,-0.332334551332258
2.565,-0.343260423981421
2.57,-0.354714770414993
2.575,-0.366731847776241
2.58,-0.379348683680665
2.585,-0.392605344130857
2.59,-0.406545231535791
2.595,-0.421215416680268
2.6,-0.436667009039223
2.605,-0.452955570466504
2.61,-0.470141578023812
2.615,-0.488290942569651
2.62,-0.507475590721283
2.625,-0.527774118959344
2.63,-0.549272529993462
2.635,-0.572065063083188
2.64,-0.596255131852359
2.645,-0.621956385295842
2.65,-0.649293910214151
2.655,-0.678405596293364
2.66,-0.709443688558795
2.665,-0.742576556071303
2.67,-0.777990710624564
2.675,-0.815893114984384
2.68,-0.85651382705953
2.685,-0.900109034515151
2.69,-0.946964543983773
2.695,-0.997399800494709
2.7,-1.05177252639127
2.705,-1.11048408527066
2.71,-1.17398569588832
2.715,-1.24278564414948
2.72,-1.31745766903442
2.725,-1.39865073150264
2.73,-1.48710041523753
2.735,-1.58364225593282
2.74,-1.68922735343223
2.745,-1.80494069061394
2.75,-1.93202266726465
2.755,-2.07189445994396
2.76,-2.22618794476621
2.765,-2.39678107545231
2.77,-2.5858398023543
2.775,-2.79586786051609
2.78,-3.02976606020491
2.785,-3.2909030976663
2.79,-3.58320038031855
2.795,-3.91123392515878
2.8,-4.28035698115329
2.805,-4.69684742755543
2.81,-5.16808358095664
2.815,-5.70274912883771
2.82,-6.31105816964133
2.825,-7.00496367088379
2.83,-7.79823831967262
2.835,-8.70612041189088
2.84,-9.7437003307574
2.845,-10.9208733705669
2.85,-12.228348566225
2.855,-13.6026582703353
2.86,-14.8568823708431
2.865,-15.6266299119425
2.87,-15.5530318245836
2.875,-14.6826294104235
2.88,-13.406230566235
2.885,-12.057301294908
2.89,-10.7927568681444
2.895,-9.66143851772943
2.9,-8.66705886790536
2.905,-7.79797514560568
2.91,-7.03880969602615
2.915,-6.37456174460977
2.92,-5.7918655428897
2.925,-5.27921091740929
2.93,-4.82681289777541
2.935,-4.42638570013929
2.94,-4.07091239445925
2.945,-3.75443946846617
2.95,-3.47190245437538
2.955,-3.21898078752528
2.96,-2.99197780067003
2.965,-2.78772158033666
2.97,-2.60348290690377
2.975,-2.43690713497981
2.98,-2.28595746100457
2.985,-2.14886752092716
2.99,-2.0241016611061
2.995,-1.91032154391405
3,-1.80635800192588
