"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0295457136142784
2.005,-0.0298468926484075
2.01,-0.0301506998696272
2.015,-0.0304571671296919
2.02,-0.0307663266930774
2.025,-0.0310782112453283
2.03,-0.031392853901591
2.035,-0.0317102882152769
2.04,-0.032030548186927
2.045,-0.0323536682732408
2.05,-0.0326796833962734
2.055,-0.0330086289528132
2.06,-0.0333405408239682
2.065,-0.0336754553849159
2.07,-0.0340134095148546
2.075,-0.0343544406071674
2.08,-0.0346985865797765
2.085,-0.0350458858857025
2.09,-0.0353963775238576
2.095,-0.0357501010500346
2.1,-0.0361070965881317
2.105,-0.0364674048416027
2.11,-0.0368310671051439
2.115,-0.0371981252766312
2.12,-0.0375686218692631
2.125,-0.0379426000240099
2.13,-0.0383201035222853
2.135,-0.0387011767988841
2.14,-0.0390858649552052
2.145,-0.0394742137727283
2.15,-0.0398662697267931
2.155,-0.0402620800006661
2.16,-0.0406616924998761
2.165,-0.0410651558668998
2.17,-0.0414725194961112
2.175,-0.0418838335490874
2.18,-0.0422991489702013
2.185,-0.0427185175025823
2.19,-0.043141991704404
2.195,-0.043569624965509
2.2,-0.0440014715244085
2.205,-0.044437586485652
2.21,-0.0448780258375388
2.215,-0.0453228464702669
2.22,-0.0457721061944099
2.225,-0.0462258637598569
2.23,-0.0466841788751304
2.235,-0.0471471122271302
2.24,-0.047614725501319
2.245,-0.0480870814023467
2.25,-0.0485642436751188
2.255,-0.0490462771263558
2.26,-0.0495332476465816
2.265,-0.0500252222326624
2.27,-0.0505222690107872
2.275,-0.051024457259987
2.28,-0.0515318574361831
2.285,-0.0520445411967564
2.29,-0.0525625814256805
2.295,-0.053086052259195
2.3,-0.0536150291121003
2.305,-0.0541495887045934
2.31,-0.0546898090897434
2.315,-0.0552357696815784
2.32,-0.0557875512838048
2.325,-0.0563452361191755
2.33,-0.0569089078595588
2.335,-0.0574786516566411
2.34,-0.0580545541733644
2.345,-0.0586367036160872
2.35,-0.0592251897674638
2.355,-0.0598201040200919
2.36,-0.0604215394109235
2.365,-0.061029590656499
2.37,-0.0616443541889551
2.375,-0.0622659281929013
2.38,-0.0628944126431296
2.385,-0.0635299093432171
2.39,-0.0641725219650253
2.395,-0.064822356089117
2.4,-0.0654795192461117
2.405,-0.0661441209590412
2.41,-0.0668162727866585
2.415,-0.0674960883678033
2.42,-0.0681836834667931
2.425,-0.0688791760198849
2.43,-0.0695826861828521
2.435,-0.0702943363796843
2.44,-0.0710142513524341
2.445,-0.0717425582122645
2.45,-0.0724793864917062
2.455,-0.0732248681981664
2.46,-0.073979137868723
2.465,-0.0747423326262236
2.47,-0.075514592236744
2.475,-0.0762960591684269
2.48,-0.0770868786517269
2.485,-0.0778871987411367
2.49,-0.0786971703783906
2.495,-0.079516947457201
2.5,-0.0803466868895828
2.505,-0.081186548673767
2.51,-0.0820366959638064
2.515,-0.0828972951408409
2.52,-0.0837685158861469
2.525,-0.0846505312559502
2.53,-0.0855435177580893
2.535,-0.0864476554305557
2.54,-0.0873631279219974
2.545,-0.088290122574167
2.55,-0.0892288305064402
2.555,-0.0901794467024348
2.56,-0.0911421700987466
2.565,-0.0921172036759227
2.57,-0.0931047545516993
2.575,-0.0941050340765213
2.58,-0.0951182579315335
2.585,-0.0961446462289333
2.59,-0.0971844236149067
2.595,-0.0982378193751051
2.6,-0.0993050675428087
2.605,-0.100386407009795
2.61,-0.101482081640016
2.615,-0.102592340386122
2.62,-0.103717437408989
2.625,-0.104857632200206
2.63,-0.10601318970774
2.635,-0.107184380464742
2.64,-0.108371480721668
2.645,-0.109574772581748
2.65,-0.110794544139938
2.655,-0.112031089625389
2.66,-0.113284709547603
2.665,-0.114555710846315
2.67,-0.115844407045223
2.675,-0.117151118409686
2.68,-0.118476172108457
2.685,-0.119819902379618
2.69,-0.121182650700769
2.695,-0.122564765963624
2.7,-0.123966604653123
2.705,-0.125388531031198
2.71,-0.126830917325281
2.715,-0.128294143921713
2.72,-0.12977859956419
2.725,-0.131284681557354
2.73,-0.132812795975704
2.735,-0.134363357877922
2.74,-0.135936791526829
2.745,-0.137533530615049
2.75,-0.139154018496588
2.755,-0.140798708424468
2.76,-0.142468063794567
2.765,-0.144162558395866
2.77,-0.145882676667233
2.775,-0.147628913960949
2.78,-0.149401776813147
2.785,-0.151201783221358
2.79,-0.153029462929314
2.795,-0.154885357719288
2.8,-0.156770021712043
2.805,-0.158684021674734
2.81,-0.160627937336865
2.815,-0.162602361714552
2.82,-0.164607901443345
2.825,-0.166645177119743
2.83,-0.168714823651753
2.835,-0.170817490618621
2.84,-0.17295384264002
2.845,-0.175124559754954
2.85,-0.177330337810587
2.855,-0.179571888861307
2.86,-0.181849941578224
2.865,-0.184165241669418
2.87,-0.186518552311186
2.875,-0.188910654590587
2.88,-0.191342347959519
2.885,-0.193814450700672
2.89,-0.196327800405643
2.895,-0.198883254465439
2.9,-0.201481690573808
2.905,-0.204124007243557
2.91,-0.206811124336282
2.915,-0.209543983605783
2.92,-0.212323549255474
2.925,-0.21515080851015
2.93,-0.218026772202425
2.935,-0.220952475374171
2.94,-0.223928977893298
2.945,-0.226957365086237
2.95,-0.230038748386432
2.955,-0.233174265999235
2.96,-0.236365083583516
2.965,-0.239612394950331
2.97,-0.242917422779074
2.975,-0.246281419351331
2.98,-0.24970566730294
2.985,-0.253191480394448
2.99,-0.25674020430048
2.995,-0.260353217418182
3,-0.264031931695265
