"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.025646540561016
2.005,-0.0258177170704667
2.01,-0.025989510274853
2.015,-0.0261619375793339
2.02,-0.0263350171418361
2.025,-0.026508767953882
2.03,-0.0266832099322113
2.035,-0.0268583640230382
2.04,-0.0270342523208331
2.045,-0.0272108982041377
2.05,-0.0273883264912532
2.055,-0.0275665636191761
2.06,-0.0277456378499401
2.065,-0.0279255795092339
2.07,-0.0281064212632479
2.075,-0.0282881984409721
2.08,-0.0284709494106509
2.085,-0.0286547160211303
2.09,-0.0288395441212428
2.095,-0.0290254841733894
2.1,-0.02921259198146
2.105,-0.0294009295581097
2.11,-0.0295905661627784
2.115,-0.0297815795500197
2.12,-0.0299740574782933
2.125,-0.0301680995432972
2.13,-0.0303638194181168
2.135,-0.0305613476067259
2.14,-0.0307608348497902
2.145,-0.0309624563654497
2.15,-0.0311664171673231
2.155,-0.0313729587838986
2.16,-0.031582367817293
2.165,-0.0317949869393883
2.17,-0.0320112291507094
2.175,-0.0322315964552034
2.18,-0.0324567045822137
2.185,-0.0326873160958006
2.19,-0.0329243852984029
2.195,-0.0331691199695702
2.2,-0.0334230675297979
2.205,-0.0336882372778213
2.21,-0.0339672769563297
2.215,-0.0342637329181292
2.22,-0.0345824420333319
2.225,-0.0349301367535498
2.23,-0.0353164053603157
2.235,-0.0357552638459545
2.24,-0.0362678205653933
2.245,-0.0368869755286953
2.25,-0.0376660860375462
2.255,-0.0386957616636951
2.26,-0.0401382045396704
2.265,-0.0423011172044279
2.27,-0.0458010756492422
2.275,-0.051892331313679
2.28,-0.0626551590957743
2.285,-0.0771593675297645
2.29,-0.0797941989143104
2.295,-0.0664449886862321
2.3,-0.0547463268650672
2.305,-0.0481913750291385
2.31,-0.0446776023760224
2.315,-0.0427253216068099
2.32,-0.0416001404466546
2.325,-0.0409404805674983
2.33,-0.0405589742560421
2.335,-0.0403526491775114
2.34,-0.0402617498011242
2.345,-0.0402499066473403
2.35,-0.0402940543845913
2.355,-0.040379037412123
2.36,-0.0404945875568776
2.365,-0.0406335602077677
