"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0203480270243294
2.005,-0.0205216401184694
2.01,-0.0206969225939475
2.015,-0.0208738895915489
2.02,-0.0210525566472309
2.025,-0.0212329397007926
2.03,-0.0214150551049632
2.035,-0.0215989196349601
2.04,-0.0217845504985399
2.045,-0.0219719653466028
2.05,-0.0221611822843375
2.055,-0.0223522198830339
2.06,-0.0225450971925211
2.065,-0.0227398337543708
2.07,-0.0229364496158591
2.075,-0.0231349653447798
2.08,-0.0233354020452094
2.085,-0.0235377813742574
2.09,-0.0237421255599143
2.095,-0.0239484574201099
2.1,-0.0241568003830765
2.105,-0.0243671785091474
2.11,-0.0245796165141391
2.115,-0.0247941397944425
2.12,-0.0250107744540511
2.125,-0.0252295473336644
2.13,-0.0254504860421306
2.135,-0.0256736189904479
2.14,-0.0258989754286246
2.145,-0.0261265854856871
2.15,-0.0263564802132215
2.155,-0.0265886916328381
2.16,-0.0268232527880067
2.165,-0.0270601978008107
2.17,-0.027299561934182
2.175,-0.0275413816603258
2.18,-0.0277856947360884
2.185,-0.028032540286173
2.19,-0.0282819588952214
2.195,-0.0285339927099245
2.2,-0.0287886855525589
2.205,-0.0290460830474859
2.21,-0.0293062327624427
2.215,-0.0295691843667844
2.22,-0.029834989809093
2.225,-0.0301037035170948
2.23,-0.0303753826232548
2.235,-0.0306500872200227
2.24,-0.0309278806494465
2.245,-0.0312088298327153
2.25,-0.0314930056461743
2.255,-0.0317804833517257
2.26,-0.0320713430909264
2.265,-0.0323656704540263
2.27,-0.03266355713747
2.275,-0.0329651017061293
2.28,-0.0332704104800708
2.285,-0.0335795985698817
2.29,-0.0338927910900245
2.295,-0.0342101245862385
2.3,-0.0345317487216685
2.305,-0.0348578282768808
2.31,-0.0351885455326186
2.315,-0.0355241031215712
2.32,-0.035864727457756
2.325,-0.0362106728812084
2.33,-0.0365622266934843
2.335,-0.0369197153092303
2.34,-0.0372835118147762
2.345,-0.0376540453124268
2.35,-0.0380318125467353
2.355,-0.0384173924686464
2.36,-0.0388114646113103
2.365,-0.0392148324519531
2.37,-0.039628453352971
2.375,-0.0400534772644103
2.38,-0.0404912972076662
2.385,-0.0409436157647029
2.39,-0.0414125335490163
2.395,-0.0419006682138694
2.4,-0.0424113163970821
2.405,-0.042948676801599
2.41,-0.0435181614696004
2.415,-0.0441268359934115
2.42,-0.0447840507557185
2.425,-0.0455023588073875
2.43,-0.0462988685939271
2.435,-0.04719726120299
2.44,-0.0482308227828015
2.445,-0.0494470027365966
2.45,-0.0509141467498625
2.455,-0.0527308775757347
2.46,-0.0550370151249142
2.465,-0.0580183932621423
2.47,-0.0618767596621027
2.475,-0.0666840784858806
2.48,-0.0719890682528884
2.485,-0.0763018962547377
2.49,-0.0775564881158586
2.495,-0.0752204505084924
2.5,-0.0709981521171414
2.505,-0.0667980435431526
2.51,-0.0634648091850274
2.515,-0.0610786691641601
2.52,-0.0594604464690094
2.525,-0.0584079174017651
2.53,-0.0577604301786428
2.535,-0.0574028194154235
2.54,-0.0572551448628104
2.545,-0.0572621730344976
2.55,-0.0573854614779648
2.555,-0.0575979197202743
2.56,-0.0578801814769199
2.565,-0.0582181981057552
2.57,-0.0586016333434815
2.575,-0.0590227810258978
2.58,-0.0594758258462459
2.585,-0.0599563313607672
2.59,-0.0604608803913426
2.595,-0.0609868189904226
2.6,-0.061532071735839
2.605,-0.062095006811392
2.61,-0.062674336285968
2.615,-0.0632690415866322
2.62,-0.0638783172179655
2.625,-0.064501527843925
2.63,-0.0651381752596681
2.635,-0.0657878727566675
2.64,-0.0664503250672493
2.645,-0.0671253125575547
2.65,-0.0678126786829356
2.655,-0.0685123199689349
2.66,-0.0692241779623294
2.665,-0.0699482327302122
2.67,-0.0706844975838656
2.675,-0.0714330147782406
2.68,-0.0721938519934208
2.685,-0.0729670994468464
2.69,-0.0737528675172038
2.695,-0.0745512847859827
2.7,-0.0753624964216962
2.705,-0.07618666284695
2.71,-0.0770239586402362
2.715,-0.0778745716335266
2.72,-0.078738702174252
2.725,-0.0796165625259023
2.73,-0.0805083763863691
2.735,-0.0814143785067508
2.74,-0.0823348143965059
2.745,-0.0832699401032537
2.75,-0.0842200220575886
2.755,-0.0851853369748919
2.76,-0.0861661718074792
2.765,-0.0871628237416319
2.77,-0.0881756002348881
2.775,-0.0892048190897937
2.78,-0.0902508085610487
2.785,-0.0913139074933664
2.79,-0.0923944654879937
2.795,-0.0934928430961537
2.8,-0.0946094120380278
2.805,-0.0957445554461675
2.81,-0.096898668132559
2.815,-0.0980721568786572
2.82,-0.0992654407480466
2.825,-0.100478951421398
2.83,-0.101713133553731
2.835,-0.102968445153927
2.84,-0.104245357986799
2.845,-0.105544357997868
2.85,-0.106865945761368
2.855,-0.108210636951944
2.86,-0.109578962840672
2.865,-0.110971470816049
2.87,-0.112388724930855
2.875,-0.113831306475684
2.88,-0.11529981458016
2.885,-0.116794866842939
2.89,-0.118317099991625
2.895,-0.11986717057387
2.9,-0.121445755681031
2.905,-0.123053553705851
2.91,-0.124691285135669
2.915,-0.126359693382913
2.92,-0.128059545654578
2.925,-0.129791633862665
2.93,-0.13155677557751
2.935,-0.133355815026284
2.94,-0.135189624138814
2.945,-0.137059103643289
2.95,-0.138965184214364
2.955,-0.140908827676428
2.96,-0.142891028265022
2.965,-0.144912813949438
2.97,-0.146975247819871
2.975,-0.149079429542623
2.98,-0.1512264968871
2.985,-0.153417627328598
2.99,-0.155654039731093
2.995,-0.157936996114574
3,-0.160267803511694
