"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.385358844870799
2.005,-0.42456431988378
2.01,-0.469879561562862
2.015,-0.522585958413414
2.02,-0.584306389381617
2.025,-0.657116086644245
2.03,-0.743695878934203
2.035,-0.847546298411878
2.04,-0.973289901752624
2.045,-1.12710245212029
2.05,-1.31733336144617
2.055,-1.55540445079677
2.06,-1.85711549662018
2.065,-2.24453255031679
2.07,-2.74867044629435
2.075,-3.41312178084056
2.08,-4.29831746134895
2.085,-5.48395333014624
2.09,-7.05751655348921
2.095,-9.03323628603503
2.1,-10.9986860709417
2.105,-11.5716541376026
2.11,-10.1340337793006
2.115,-8.10812313592635
2.12,-6.36524811342272
2.125,-5.02555252919962
2.13,-4.0194724423485
2.135,-3.26253992585217
2.14,-2.68727556519344
2.145,-2.24436484220181
2.15,-1.89862548925606
2.155,-1.62503321437967
2.16,-1.40568893352584
2.165,-1.22766710745552
2.17,-1.08152691978084
2.175,-0.960288804501798
2.18,-0.858729355010934
2.185,-0.77289233013909
2.19,-0.699746442048405
2.195,-0.63694338673477
2.2,-0.582644885636449
2.205,-0.535397688585962
2.21,-0.494042249800562
2.215,-0.457645293808258
2.22,-0.425449508833029
2.225,-0.396835646543369
2.23,-0.371293698987124
2.235,-0.348400781578014
2.24,-0.327804016769881
2.245,-0.309207180182807
2.25,-0.292360201821957
2.255,-0.277050851581251
2.26,-0.263098108871941
2.265,-0.250346840400868
2.27,-0.238663501259386
2.275,-0.227932641911351
2.28,-0.218054053944678
2.285,-0.208940425220481
2.29,-0.200515403631685
2.295,-0.192711990456009
2.3,-0.185471200986143
2.305,-0.178740943007405
2.31,-0.172475073700042
2.315,-0.166632603359084
2.32,-0.161177020463097
2.325,-0.156075717470345
2.33,-0.151299500568111
2.335,-0.146822169669646
2.34,-0.142620157412703
2.345,-0.138672217893824
2.35,-0.134959157473908
2.355,-0.131463601291107
2.36,-0.128169790177579
2.365,-0.125063403544887
2.37,-0.122131404516215
2.375,-0.119361904172128
2.38,-0.116744042263582
2.385,-0.114267882150541
2.39,-0.111924318061573
2.395,-0.109704993051627
2.4,-0.107602226271484
2.405,-0.105608948361106
2.41,-0.10371864394675
2.415,-0.101925300363433
2.42,-0.100223361844638
2.425,-0.0986076885233993
2.43,-0.097073519676027
2.435,-0.0956164407142603
2.44,-0.0942323534954973
2.445,-0.0929174495754435
2.45,-0.0916681860748093
2.455,-0.0904812638722574
2.46,-0.0893536078710127
2.465,-0.0882823491170367
2.47,-0.0872648085729572
2.475,-0.0862984823751347
2.48,-0.0853810284210617
2.485,-0.0845102541519223
2.49,-0.0836841054103651
2.495,-0.082900656266893
2.5,-0.0821580997201285
2.505,-0.0814547391864069
2.51,-0.0807889807033767
2.515,-0.0801593257802147
2.52,-0.0795643648341545
2.525,-0.0790027711593379
2.53,-0.0784732953795193
2.535,-0.0779747603410503
2.54,-0.0775060564070182
2.545,-0.0770661371172119
2.55,-0.0766540151821307
2.555,-0.0762687587823207
2.56,-0.0759094881470686
2.565,-0.0755753723889521
2.57,-0.0752656265730161
2.575,-0.0749795090012286
2.58,-0.074716318694756
2.585,-0.0744753930581099
2.59,-0.0742561057107021
2.595,-0.0740578644726463
2.6,-0.0738801094927824
2.605,-0.0737223115079774
2.61,-0.0735839702236998
2.615,-0.0734646128067436
2.62,-0.0733637924817271
2.625,-0.0732810872237386
2.63,-0.0732160985400976
2.635,-0.0731684503348442
2.64,-0.0731377878500176
2.645,-0.0731237766783602
2.65,-0.0731261018424415
2.655,-0.0731444669356413
2.66,-0.0731785933207857
2.665,-0.0732282193825717
2.67,-0.0732930998301962
2.675,-0.0733730050468954
2.68,-0.0734677204834051
2.685,-0.0735770460924683
2.69,-0.0737007958018705
2.695,-0.0738387970235818
2.7,-0.0739908901967903
2.705,-0.0741569283628071
2.71,-0.0743367767699328
2.715,-0.0745303125065554
2.72,-0.0747374241608412
2.725,-0.0749580115055324
2.73,-0.0751919852064567
2.735,-0.0754392665534619
2.74,-0.0756997872125841
2.745,-0.0759734889983401
2.75,-0.0762603236651352
2.755,-0.0765602527167882
2.76,-0.0768732472333734
2.765,-0.077199287714495
2.77,-0.0775383639382306
2.775,-0.0778904748351453
2.78,-0.0782556283765708
2.785,-0.0786338414766968
2.79,-0.079025139907822
2.795,-0.0794295582282944
2.8,-0.0798471397226567
2.805,-0.0802779363535543
2.81,-0.0807220087250227
2.815,-0.0811794260567475
2.82,-0.0816502661689776
2.825,-0.0821346154778227
2.83,-0.0826325690005328
2.835,-0.0831442303706379
2.84,-0.0836697118626146
2.845,-0.0842091344259045
2.85,-0.0847626277280737
2.855,-0.0853303302069718
2.86,-0.0859123891316928
2.865,-0.0865089606722493
2.87,-0.0871202099777772
2.875,-0.0877463112632629
2.88,-0.0883874479045963
2.885,-0.0890438125419751
2.89,-0.0897156071915296
2.895,-0.0904030433651806
2.9,-0.0911063421986498
2.905,-0.0918257345876642
2.91,-0.0925614613322617
2.915,-0.093313773289323
2.92,-0.0940829315332117
2.925,-0.0948692075246784
2.93,-0.095672883287976
2.935,-0.0964942515962888
2.94,-0.0973336161655054
2.945,-0.0981912918564387
2.95,-0.0990676048855247
2.955,-0.0999628930441537
2.96,-0.100877505926671
2.965,-0.101811805167206
2.97,-0.102766164685419
2.975,-0.103740970941296
2.98,-0.104736623199149
2.985,-0.105753533800952
2.99,-0.106792128449145
2.995,-0.107852846499144
3,-0.108936141261634
