"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0275786145880721
2.005,-0.0279439332762479
2.01,-0.0283154816497836
2.015,-0.0286933772914708
2.02,-0.0290777412251356
2.025,-0.0294686980241507
2.03,-0.0298663759240951
2.035,-0.0302709069397499
2.04,-0.030682426986591
2.045,-0.0311010760069898
2.05,-0.0315269981013396
2.055,-0.0319603416642946
2.06,-0.0324012595263819
2.065,-0.0328499091011739
2.07,-0.0333064525383332
2.075,-0.0337710568827538
2.08,-0.034243894240051
2.085,-0.0347251419487697
2.09,-0.0352149827595178
2.095,-0.0357136050214016
2.1,-0.036221202876117
2.105,-0.036737976459982
2.11,-0.0372641321143397
2.115,-0.0377998826047094
2.12,-0.0383454473490942
2.125,-0.0389010526558649
2.13,-0.0394669319717175
2.135,-0.0400433261401428
2.14,-0.040630483670945
2.145,-0.0412286610213446
2.15,-0.0418381228891923
2.155,-0.0424591425189773
2.16,-0.0430920020211355
2.165,-0.043736992705459
2.17,-0.0443944154291867
2.175,-0.0450645809605974
2.18,-0.0457478103588729
2.185,-0.0464444353710217
2.19,-0.0471547988467995
2.195,-0.047879255172492
2.2,-0.0486181707245997
2.205,-0.0493719243444012
2.21,-0.0501409078345572
2.215,-0.0509255264788535
2.22,-0.0517261995863837
2.225,-0.0525433610614192
2.23,-0.0533774600003829
2.235,-0.0542289613174013
2.24,-0.0550983463999692
2.245,-0.055986113796414
2.25,-0.0568927799368795
2.255,-0.0578188798897357
2.26,-0.0587649681553874
2.265,-0.0597316194995516
2.27,-0.0607194298283182
2.275,-0.0617290171073277
2.28,-0.0627610223276253
2.285,-0.0638161105208871
2.29,-0.0648949718269166
2.295,-0.0659983226164762
2.3,-0.0671269066727165
2.305,-0.0682814964347091
2.31,-0.0694628943068176
2.315,-0.0706719340378521
2.32,-0.0719094821742954
2.325,-0.0731764395921286
2.33,-0.0744737431120812
2.335,-0.0758023672035562
2.34,-0.0771633257827145
2.345,-0.0785576741107377
2.35,-0.0799865107985787
2.355,-0.0814509799250303
2.36,-0.0829522732754996
2.365,-0.0844916327092315
2.37,-0.086070352663479
2.375,-0.0876897828036357
2.38,-0.0893513308290532
2.385,-0.0910564654449863
2.39,-0.0928067195118991
2.395,-0.0946036933841988
2.4,-0.096449058451461
2.405,-0.0983445608961062
2.41,-0.100292025682666
2.415,-0.102293360794955
2.42,-0.104350561738679
2.425,-0.10646571632853
2.43,-0.108641009780255
2.435,-0.110878730129866
2.44,-0.113181274004033
2.445,-0.115551152767581
2.45,-0.117990999076254
2.455,-0.120503573865257
2.46,-0.123091773806597
2.465,-0.125758639271161
2.47,-0.128507362834517
2.475,-0.131341298368751
2.48,-0.134263970766477
2.485,-0.137279086347145
2.49,-0.140390544000219
2.495,-0.143602447124822
2.5,-0.146919116430701
2.505,-0.150345103671418
2.51,-0.153885206387181
2.515,-0.157544483741876
2.52,-0.161328273546997
2.525,-0.16524221057374
2.53,-0.169292246264423
2.535,-0.173484669965051
2.54,-0.177826131812737
2.545,-0.182323667424929
2.55,-0.186984724551965
2.555,-0.19181719187069
2.56,-0.196829430114998
2.565,-0.202030305759056
2.57,-0.207429227491455
2.575,-0.213036185743259
2.58,-0.218861795560814
2.585,-0.224917343144911
2.59,-0.231214836412813
2.595,-0.237767059978039
2.6,-0.244587634986356
2.605,-0.251691084294857
2.61,-0.259092903535593
2.615,-0.266809638666303
2.62,-0.274858970679632
2.625,-0.283259808219638
2.63,-0.292032388941465
2.635,-0.3011983905485
2.64,-0.310781052552184
2.645,-0.32080530992501
2.65,-0.331297939959094
2.655,-0.342287723803078
2.66,-0.353805624332135
2.665,-0.365884982212014
2.67,-0.378561732252359
2.675,-0.391874642410609
2.68,-0.405865578110461
2.685,-0.420579794883484
2.69,-0.436066262734767
2.695,-0.452378026080964
2.7,-0.469572603619351
2.705,-0.487712433068843
2.71,-0.506865366388919
2.715,-0.527105221841792
2.72,-0.548512400130844
2.725,-0.571174572839268
2.73,-0.595187452524915
2.735,-0.620655655119445
2.74,-0.647693666753873
2.745,-0.676426928812209
2.75,-0.706993056925481
2.755,-0.739543211787449
2.76,-0.774243642128594
2.765,-0.811277422953822
2.77,-0.850846415257103
2.775,-0.893173476891595
2.78,-0.938504958106589
2.785,-0.987113519453511
2.79,-1.03930131427764
2.795,-1.09540358277118
2.8,-1.15579270942661
2.805,-1.22088280046009
2.81,-1.29113484200048
2.815,-1.36706250298438
2.82,-1.44923864789261
2.825,-1.53830262241794
2.83,-1.63496836795743
2.835,-1.7400334056742
2.84,-1.85438870366455
2.845,-1.97902939547549
2.85,-2.11506624599163
2.855,-2.26373764847893
2.86,-2.42642176491063
2.865,-2.60464816152178
2.87,-2.80010789890547
2.875,-3.01466044393066
2.88,-3.25033487649991
2.885,-3.50932150885655
2.89,-3.79394797316047
2.895,-4.10663068678287
2.9,-4.44978780452283
2.905,-4.82569248840473
2.91,-5.23623447988123
2.915,-5.68254240665649
2.92,-6.16439870961005
2.925,-6.67935680434896
2.93,-7.22145971442558
2.935,-7.77949911186469
2.94,-8.33492770680889
2.945,-8.85998170023409
2.95,-9.31736637073368
2.955,-9.66366042852136
2.96,-9.85811427689755
2.965,-9.87518017823475
2.97,-9.71430032533695
2.975,-9.40006106239207
2.98,-8.97260147260417
2.985,-8.47507190780431
2.99,-7.94470991807505
2.995,-7.40931787107263
3,-6.88751312088285
