"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0275564206908675
2.005,-0.0278321891567276
2.01,-0.0281086969084937
2.015,-0.0283859889401518
2.02,-0.0286641099323547
2.025,-0.0289431042581813
2.03,-0.029223015988889
2.035,-0.029503888899648
2.04,-0.0297857664752747
2.045,-0.0300686919159325
2.05,-0.0303527081428534
2.055,-0.0306378578040334
2.06,-0.0309241832799475
2.065,-0.0312117266892555
2.07,-0.0315005298945119
2.075,-0.0317906345078922
2.08,-0.0320820818969233
2.085,-0.0323749131902383
2.09,-0.0326691692833233
2.095,-0.0329648908443258
2.1,-0.0332621183198464
2.105,-0.0335608919407729
2.11,-0.0338612517281582
2.115,-0.0341632374990903
2.12,-0.0344668888726476
2.125,-0.0347722452758566
2.13,-0.0350793459497021
2.135,-0.03538822995518
2.14,-0.0356989361794136
2.145,-0.0360115033417941
2.15,-0.0363259700001948
2.155,-0.036642374557249
2.16,-0.036960755266658
2.165,-0.0372811502396025
2.17,-0.0376035974512084
2.175,-0.0379281347470533
2.18,-0.0382547998498162
2.185,-0.0385836303659306
2.19,-0.0389146637923843
2.195,-0.0392479375235588
2.2,-0.0395834888581854
2.205,-0.0399213550063913
2.21,-0.0402615730968476
2.215,-0.040604180183999
2.22,-0.0409492132554274
2.225,-0.0412967092393033
2.23,-0.0416467050119813
2.235,-0.041999237405677
2.24,-0.0423543432162962
2.245,-0.042712059211383
2.25,-0.0430724221382046
2.255,-0.0434354687319619
2.26,-0.0438012357241586
2.265,-0.0441697598510994
2.27,-0.044541077862565
2.275,-0.0449152265306196
2.28,-0.0452922426585859
2.285,-0.0456721630902085
2.29,-0.0460550247189537
2.295,-0.0464408644975242
2.3,-0.0468297194475395
2.305,-0.0472216266693956
2.31,-0.0476166233523502
2.315,-0.0480147467847708
2.32,-0.0484160343646369
2.325,-0.048820523610209
2.33,-0.0492282521709507
2.335,-0.0496392578386612
2.34,-0.0500535785588454
2.345,-0.0504712524423341
2.35,-0.0508923177771321
2.355,-0.0513168130405276
2.36,-0.0517447769114849
2.365,-0.0521762482832629
2.37,-0.0526112662763528
2.375,-0.0530498702516744
2.38,-0.053492099824076
2.385,-0.0539379948761232
2.39,-0.0543875955722155
2.395,-0.0548409423730061
2.4,-0.0552980760501488
2.405,-0.0557590377013824
2.41,-0.0562238687659667
2.415,-0.0566926110404638
2.42,-0.057165306694875
2.425,-0.0576419982891822
2.43,-0.0581227287902202
2.435,-0.0586075415890144
2.44,-0.0590964805184472
2.445,-0.0595895898713963
2.45,-0.0600869144192709
2.455,-0.0605884994309955
2.46,-0.0610943906924451
2.465,-0.0616046345263336
2.47,-0.06211927781258
2.475,-0.0626383680091778
2.48,-0.0631619531735153
2.485,-0.0636900819842782
2.49,-0.0642228037638194
2.495,-0.064760168501102
2.5,-0.0653022268751744
2.505,-0.0658490302792377
2.51,-0.0664006308452768
2.515,-0.0669570814693037
2.52,-0.0675184358372132
2.525,-0.0680847484512578
2.53,-0.0686560746571872
2.535,-0.0692324706720509
2.54,-0.0698139936126622
2.545,-0.0704007015247925
2.55,-0.070992653413053
2.555,-0.0715899092715483
2.56,-0.0721925301152406
2.565,-0.0728005780121423
2.57,-0.0734141161162489
2.575,-0.0740332087013455
2.58,-0.0746579211956033
2.585,-0.0752883202170558
2.59,-0.0759244736099704
2.595,-0.0765664504820965
2.6,-0.0772143212428584
2.605,-0.0778681576425134
2.61,-0.0785280328122496
2.615,-0.0791940213053205
2.62,-0.0798661991391983
2.625,-0.0805446438387839
2.63,-0.0812294344806764
2.635,-0.0819206517386009
2.64,-0.0826183779299239
2.645,-0.0833226970633681
2.65,-0.0840336948879178
2.655,-0.0847514589429667
2.66,-0.0854760786096941
2.665,-0.0862076451637633
2.67,-0.0869462518293511
2.675,-0.0876919938345107
2.68,-0.0884449684679669
2.685,-0.0892052751373083
2.69,-0.0899730154286768
2.695,-0.0907482931679492
2.7,-0.0915312144834683
2.705,-0.0923218878703642
2.71,-0.0931204242564951
2.715,-0.0939269370700646
2.72,-0.0947415423089349
2.725,-0.0955643586117181
2.73,-0.0963955073306413
2.735,-0.0972351126062727
2.74,-0.0980833014441323
2.745,-0.0989402037932674
2.75,-0.0998059526267738
2.755,-0.100680684024395
2.76,-0.101564537257205
2.765,-0.102457654874427
2.77,-0.103360182792471
2.775,-0.104272270386211
2.78,-0.105194070582575
2.785,-0.106125739956523
2.79,-0.107067438829454
2.795,-0.108019331370078
2.8,-0.108981585697882
2.805,-0.109954373989193
2.81,-0.110937872585938
2.815,-0.111932262107134
2.82,-0.112937727563239
2.825,-0.113954458473345
2.83,-0.114982648985388
2.835,-0.116022497999346
2.84,-0.117074209293591
2.845,-0.11813799165438
2.85,-0.119214059008677
2.855,-0.120302630560262
2.86,-0.121403930929305
2.865,-0.122518190295449
2.87,-0.123645644544471
2.875,-0.124786535418665
2.88,-0.12594111067095
2.885,-0.127109624222897
2.89,-0.128292336326671
2.895,-0.129489513731055
2.9,-0.130701429851593
2.905,-0.13192836494502
2.91,-0.133170606288
2.915,-0.134428448360326
2.92,-0.1357021930327
2.925,-0.136992149759116
2.93,-0.138298635774051
2.935,-0.13962197629453
2.94,-0.140962504727153
2.945,-0.142320562880231
2.95,-0.143696501181148
2.955,-0.145090678899033
2.96,-0.146503464372898
2.965,-0.147935235245316
2.97,-0.149386378701833
2.975,-0.15085729171613
2.98,-0.152348381301186
2.985,-0.153860064766445
2.99,-0.155392769981216
2.995,-0.156946935644359
3,-0.158523011560432
