"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.114696719731356
2.005,-0.120364631824878
2.01,-0.12645071244389
2.015,-0.132996063575561
2.02,-0.14004692154681
2.025,-0.147655444622882
2.03,-0.155880645679518
2.035,-0.16478950153681
2.04,-0.174458278579194
2.045,-0.184974124686694
2.05,-0.196436991064068
2.055,-0.208961965374678
2.06,-0.222682121190793
2.065,-0.237752020298609
2.07,-0.254352046853049
2.075,-0.272693810019544
2.08,-0.293026930588284
2.085,-0.315647635577637
2.09,-0.340909734811552
2.095,-0.369238760590585
2.1,-0.401150335327
2.105,-0.437274211877941
2.11,-0.478385913186277
2.115,-0.525448433459608
2.12,-0.57966684070799
2.125,-0.642558189049558
2.13,-0.716036174184717
2.135,-0.802500310791633
2.14,-0.904894652007133
2.145,-1.0266494760448
2.15,-1.17134658249968
2.155,-1.3419618017252
2.16,-1.53998221916558
2.165,-1.76584366235781
2.17,-2.02255306630639
2.175,-2.3211462867065
2.18,-2.68312817535215
2.185,-3.13902709789713
2.19,-3.72780169541967
2.195,-4.50039822451936
2.2,-5.5278028567529
2.205,-6.91467897774937
2.21,-8.82240243716345
2.215,-11.4985272819357
2.22,-15.1400062009285
2.225,-17.7675282427518
2.23,-15.0596816830459
2.235,-11.4707777810301
2.24,-8.84257430400093
2.245,-6.96448953922546
2.25,-5.59110381594445
2.255,-4.56371212472828
2.26,-3.78027699920368
2.265,-3.17290563173723
2.27,-2.69503270403596
2.275,-2.31396445686366
2.28,-2.00631535875984
2.285,-1.75509281113545
2.29,-1.5477753921006
2.295,-1.37501672422317
2.3,-1.22975571020406
2.305,-1.10659669428434
2.31,-1.00137201930614
2.315,-0.910829590928361
2.32,-0.832407193152791
2.325,-0.764067703058128
2.33,-0.704177523892821
2.335,-0.651416009848084
2.34,-0.604707338596442
2.345,-0.563168800889179
2.35,-0.526071208927491
2.355,-0.492808331053013
2.36,-0.462873107527672
2.365,-0.435839002895639
2.37,-0.41134528015414
2.375,-0.3890852920314
2.38,-0.368797110272436
2.385,-0.350255979306521
2.39,-0.333268202988873
2.395,-0.317666164210212
2.4,-0.303304245511574
2.405,-0.290055470471983
2.41,-0.277808724903584
2.415,-0.266466446946493
2.42,-0.255942698307634
2.425,-0.246161546827276
2.43,-0.237055704538203
2.435,-0.228565376338797
2.44,-0.2206372830334
2.445,-0.213223829328957
2.45,-0.206282392816965
2.455,-0.199774714319473
2.46,-0.193666373472048
2.465,-0.187926336235677
2.47,-0.18252656331381
2.475,-0.177441670309193
2.48,-0.172648631973081
2.485,-0.168126524144135
2.49,-0.163856297998557
2.495,-0.159820582079045
2.5,-0.156003508271259
2.505,-0.152390558479443
2.51,-0.148968429239194
2.515,-0.145724911912314
2.52,-0.142648786450229
2.525,-0.139729727000009
2.53,-0.136958217869708
2.535,-0.134325478575172
2.54,-0.131823396864927
2.545,-0.129444468767998
2.55,-0.127181744836221
2.555,-0.125028781860728
2.56,-0.122979599435155
2.565,-0.121028640817762
2.57,-0.119170737613289
2.575,-0.117401077854654
2.58,-0.115715177115692
2.585,-0.1141088523306
2.59,-0.112578198034242
2.595,-0.111119564770972
2.6,-0.109729539448824
2.605,-0.108404927441469
2.61,-0.107142736262593
2.615,-0.105940160656938
2.62,-0.104794568969341
2.625,-0.103703490668287
2.63,-0.102664604913671
2.635,-0.101675730070265
2.64,-0.100734814078674
2.645,-0.0998399256047491
2.65,-0.0989892458965545
2.655,-0.0981810612851447
2.66,-0.0974137562718386
2.665,-0.0966858071503436
2.67,-0.0959957761171781
2.675,-0.0953423058283454
2.68,-0.0947241143642413
2.685,-0.0941399905684538
2.69,-0.0935887897292617
2.695,-0.0930694295756129
2.7,-0.0925808865619163
2.705,-0.0921221924183763
2.71,-0.091692430945662
2.715,-0.0912907350345994
2.72,-0.090916283893327
2.725,-0.0905683004658519
2.73,-0.0902460490273756
2.735,-0.0899488329429991
2.74,-0.0896759925775514
2.745,-0.0894269033453614
2.75,-0.0892009738897034
2.755,-0.0889976443824609
2.76,-0.0888163849354595
2.765,-0.0886566941154392
2.77,-0.0885180975554507
2.775,-0.0884001466559407
2.78,-0.0883024173693599
2.785,-0.0882245090626364
2.79,-0.0881660434522432
2.795,-0.0881266636070719
2.8,-0.0881060330146429
2.805,-0.0881038347065246
2.81,-0.088119770439216
2.815,-0.088153559926924
2.82,-0.0882049401230348
2.825,-0.0882736645472534
2.83,-0.0883595026556706
2.835,-0.0884622392511223
2.84,-0.0885816739315314
2.845,-0.088717620573978
2.85,-0.0888699068524673
2.855,-0.0890383737875083
2.86,-0.0892228753257371
2.865,-0.0894232779479493
2.87,-0.0896394603040436
2.875,-0.0898713128734681
2.88,-0.0901187376498634
2.885,-0.0903816478487003
2.89,-0.0906599676368084
2.895,-0.0909536318827293
2.9,-0.0912625859269557
2.905,-0.0915867853711578
2.91,-0.0919261958855827
2.915,-0.0922807930338518
2.92,-0.0926505621144438
2.925,-0.0930354980182461
2.93,-0.0934356051015401
2.935,-0.0938508970738739
2.94,-0.0942813969003437
2.945,-0.0947271367177584
2.95,-0.0951881577643243
2.955,-0.0956645103224205
2.96,-0.0961562536741026
2.965,-0.0966634560690662
2.97,-0.0971861947047062
2.975,-0.0977245557180629
2.98,-0.0982786341894145
2.985,-0.0988485341573022
2.99,-0.0994343686447759
2.995,-0.100036259696806
3,-0.100654338428583
