"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0403034723894802
2.005,-0.0407916424409999
2.01,-0.0412841440433831
2.015,-0.0417809941846904
2.02,-0.0422822109810907
2.025,-0.0427878136877172
2.03,-0.0432978227098307
2.035,-0.0438122596142953
2.04,-0.0443311471413248
2.045,-0.0448545092165799
2.05,-0.0453823709635617
2.055,-0.0459147587162967
2.06,-0.0464517000323811
2.065,-0.0469932237063144
2.07,-0.0475393597831736
2.075,-0.0480901395726058
2.08,-0.0486455956631748
2.085,-0.0492057619370138
2.09,-0.0497706735848467
2.095,-0.0503403671213317
2.1,-0.0509148804007691
2.105,-0.0514942526331564
2.11,-0.052078524400598
2.115,-0.0526677376740907
2.12,-0.0532619358306463
2.125,-0.0538611636708161
2.13,-0.0544654674365837
2.135,-0.0550748948296284
2.14,-0.0556894950299776
2.145,-0.0563093187150666
2.15,-0.0569344180791711
2.155,-0.0575648468532641
2.16,-0.0582006603252704
2.165,-0.0588419153607213
2.17,-0.0594886704238674
2.175,-0.0601409855991719
2.18,-0.0607989226132624
2.185,-0.061462544857325
2.19,-0.0621319174099188
2.195,-0.0628071070602614
2.2,-0.0634881823319631
2.205,-0.0641752135072372
2.21,-0.0648682726515596
2.215,-0.0655674336388372
2.22,-0.0662727721770315
2.225,-0.0669843658342995
2.23,-0.0677022940656195
2.235,-0.0684266382399493
2.24,-0.0691574816678597
2.245,-0.069894909629746
2.25,-0.0706390094045302
2.255,-0.0713898702989254
2.26,-0.0721475836772476
2.265,-0.0729122429917897
2.27,-0.0736839438137554
2.275,-0.0744627838647852
2.28,-0.075248863049061
2.285,-0.0760422834859977
2.29,-0.0768431495435725
2.295,-0.0776515678722463
2.3,-0.0784676474395108
2.305,-0.0792914995651057
2.31,-0.0801232379568348
2.315,-0.0809629787470988
2.32,-0.0818108405300528
2.325,-0.0826669443994754
2.33,-0.0835314139873242
2.335,-0.0844043755029997
2.34,-0.0852859577733321
2.345,-0.0861762922832779
2.35,-0.0870755132174185
2.355,-0.0879837575021521
2.36,-0.0889011648486889
2.365,-0.0898278777968501
2.37,-0.0907640417596323
2.375,-0.0917098050686217
2.38,-0.0926653190202021
2.385,-0.0936307379226471
2.39,-0.094606219144054
2.395,-0.0955919231611472
2.4,-0.0965880136090035
2.405,-0.0975946573316679
2.41,-0.0986120244337002
2.415,-0.0996402883326871
2.42,-0.100679625812695
2.425,-0.10173021707873
2.43,-0.102792245812181
2.435,-0.103865899227319
2.44,-0.104951368128799
2.445,-0.106048846970273
2.45,-0.107158533914058
2.455,-0.108280630891926
2.46,-0.109415343667037
2.465,-0.110562881897024
2.47,-0.111723459198249
2.475,-0.112897293211287
2.48,-0.114084605667638
2.485,-0.11528562245769
2.49,-0.116500573699988
2.495,-0.117729693811812
2.5,-0.118973221581103
2.505,-0.120231400239786
2.51,-0.12150447753848
2.515,-0.122792705822669
2.52,-0.124096342110341
2.525,-0.125415648171181
2.53,-0.126750890607257
2.535,-0.128102340935341
2.54,-0.129470275670857
2.545,-0.130854976413488
2.55,-0.132256729934511
2.555,-0.1336758282659
2.56,-0.135112568791227
2.565,-0.136567254338419
2.57,-0.138040193274455
2.575,-0.139531699601983
2.58,-0.141042093058007
2.585,-0.142571699214594
2.59,-0.14412084958179
2.595,-0.145689881712678
2.6,-0.147279139310741
2.605,-0.148888972339574
2.61,-0.150519737134978
2.615,-0.152171796519578
2.62,-0.153845519920015
2.625,-0.155541283486779
2.63,-0.157259470216808
2.635,-0.159000470078937
2.64,-0.160764680142278
2.645,-0.162552504707672
2.65,-0.164364355442289
2.655,-0.166200651517501
2.66,-0.168061819750191
2.665,-0.169948294747572
2.67,-0.171860519055679
2.675,-0.173798943311692
2.68,-0.175764026400238
2.685,-0.177756235613827
2.69,-0.179776046817603
2.695,-0.181823944618591
2.7,-0.183900422539659
2.705,-0.186005983198366
2.71,-0.188141138490937
2.715,-0.190306409781626
2.72,-0.192502328097651
2.725,-0.19472943433005
2.73,-0.196988279440671
2.735,-0.199279424675651
2.74,-0.201603441785664
2.745,-0.203960913253321
2.75,-0.206352432528062
2.755,-0.20877860426894
2.76,-0.211240044595728
2.765,-0.213737381348768
2.77,-0.216271254358077
2.775,-0.218842315722204
2.78,-0.221451230097356
2.785,-0.22409867499745
2.79,-0.226785341105645
2.795,-0.229511932598096
2.8,-0.232279167480563
2.805,-0.23508777793876
2.81,-0.237938510703172
2.815,-0.240832127429301
2.82,-0.243769405094258
2.825,-0.246751136410745
2.83,-0.249778130259526
2.835,-0.252851212141593
2.84,-0.255971224651245
2.845,-0.259139027971536
2.85,-0.262355500393508
2.855,-0.265621538860808
2.86,-0.268938059541432
2.865,-0.272305998428381
2.87,-0.275726311971307
2.875,-0.279199977741174
2.88,-0.282727995130356
2.885,-0.286311386090583
2.89,-0.289951195911455
2.895,-0.293648494042436
2.9,-0.297404374961411
2.905,-0.301219959093231
2.91,-0.305096393781892
2.915,-0.309034854320267
2.92,-0.313036545041656
2.925,-0.317102700477815
2.93,-0.321234586588347
2.935,-0.325433502066942
2.94,-0.329700779730241
2.945,-0.334037787995612
2.95,-0.338445932454731
2.955,-0.342926657550277
2.96,-0.347481448363774
2.965,-0.352111832523245
2.97,-0.35681938224003
2.975,-0.36160571648492
2.98,-0.366472503314613
2.985,-0.371421462360422
2.99,-0.376454367492078
2.995,-0.381573049670694
3,-0.386779400005912
