"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-19.2722353693677
2.005,-19.2722353693677
2.01,-19.2722353693677
2.015,-19.2722353693677
2.02,-19.2722353693677
2.025,-19.2722353693677
2.03,-19.2722353693677
2.035,-19.2722353693677
2.04,-19.2722353693677
2.045,-19.2722353693677
2.05,-19.2722353693677
2.055,-19.2722353693677
2.06,-19.2722353693677
2.065,-19.2722353693677
2.07,-19.2722353693677
2.075,-19.2722353693677
2.08,-19.2722353693677
2.085,-19.2722353693677
2.09,-19.2722353693677
2.095,-19.2722353693677
2.1,-19.2722353693677
2.105,-19.2722353693677
2.11,-19.2722353693677
2.115,-19.2722353693677
2.12,-19.2722353693677
2.125,-19.2722353693677
2.13,-19.2722353693677
2.135,-19.2722353693677
2.14,-19.2722353693677
2.145,-19.2722353693677
2.15,-19.2722353693677
2.155,-19.2722353693677
2.16,-19.2722353693677
2.165,-19.2722353693677
2.17,-19.2722353693677
2.175,-19.2722353693677
2.18,-19.2722353693677
2.185,-19.2722353693677
2.19,-19.2722353693677
2.195,-19.2722353693677
2.2,-19.2722353693677
2.205,-19.2722353693677
2.21,-19.2722353693677
2.215,-19.2722353693677
2.22,-19.2722353693677
2.225,-19.2722353693677
2.23,-19.2722353693677
2.235,-19.2722353693677
2.24,-19.2722353693677
2.245,-19.2722353693677
2.25,-19.2722353693677
2.255,-19.2722353693677
2.26,-19.2722353693677
2.265,-19.2722353693677
2.27,-19.2722353693677
2.275,-19.2722353693677
2.28,-19.2722353693677
2.285,-19.2722353693677
2.29,-19.2722353693677
2.295,-19.2722353693677
2.3,-19.2722353693677
2.305,-19.2722353693677
2.31,-19.2722353693677
2.315,-19.2722353693677
2.32,-19.2722353693677
2.325,-19.2722353693677
2.33,-19.2722353693677
2.335,-19.2722353693677
2.34,-19.2722353693677
2.345,-19.2722353693677
2.35,-19.2722353693677
2.355,-19.2722353693677
2.36,-19.2722353693677
2.365,-19.2722353693677
2.37,-19.2722353693677
2.375,-19.2722353693677
2.38,-19.2722353693677
2.385,-19.2722353693677
2.39,-19.2722353693677
2.395,-19.2722353693677
2.4,-19.2722353693677
2.405,-19.2722353693677
2.41,-19.2722353693677
2.415,-19.2722353693677
2.42,-19.2722353693677
2.425,-19.2722353693677
2.43,-19.2722353693677
2.435,-19.2722353693677
2.44,-19.2722353693677
2.445,-19.2722353693677
2.45,-19.2722353693677
2.455,-19.2722353693677
2.46,-19.2722353693677
2.465,-19.2722353693677
2.47,-19.2722353693677
2.475,-19.2722353693677
2.48,-19.2722353693677
2.485,-19.2722353693677
2.49,-19.2722353693677
2.495,-19.2722353693677
2.5,-19.2722353693677
2.505,-19.2722353693677
2.51,-19.2722353693677
2.515,-19.2722353693677
2.52,-19.2722353693677
2.525,-19.2722353693677
2.53,-19.2722353693677
2.535,-19.2722353693677
2.54,-19.2722353693677
2.545,-19.2722353693677
2.55,-19.2722353693677
2.555,-19.2722353693677
2.56,-19.2722353693677
2.565,-19.2722353693677
2.57,-19.2722353693677
2.575,-19.2722353693677
2.58,-19.2722353693677
2.585,-19.2722353693677
2.59,-19.2722353693677
2.595,-19.2722353693677
2.6,-19.2722353693677
2.605,-19.2722353693677
2.61,-19.2722353693677
2.615,-19.2722353693677
2.62,-19.2722353693677
2.625,-19.2722353693677
2.63,-19.2722353693677
2.635,-19.2722353693677
2.64,-19.2722353693677
2.645,-19.2722353693677
2.65,-19.2722353693677
2.655,-19.2722353693677
2.66,-19.2722353693677
2.665,-19.2722353693677
2.67,-19.2722353693677
2.675,-19.2722353693677
2.68,-19.2722353693677
2.685,-19.2722353693677
2.69,-19.2722353693677
2.695,-19.2722353693677
2.7,-19.2722353693677
2.705,-19.2722353693677
2.71,-19.2722353693677
2.715,-19.2722353693677
2.72,-19.2722353693677
2.725,-19.2722353693677
2.73,-19.2722353693677
2.735,-19.2722353693677
2.74,-19.2722353693677
2.745,-19.2722353693677
2.75,-19.2722353693677
2.755,-19.2722353693677
2.76,-19.2722353693677
2.765,-19.2722353693677
2.77,-19.2722353693677
2.775,-19.2722353693677
2.78,-19.2722353693677
2.785,-19.2722353693677
2.79,-19.2722353693677
2.795,-19.2722353693677
2.8,-19.2722353693677
2.805,-19.2722353693677
2.81,-19.2722353693677
2.815,-19.2722353693677
2.82,-19.2722353693677
2.825,-19.2722353693677
2.83,-19.2722353693677
2.835,-19.2722353693677
2.84,-19.2722353693677
2.845,-19.2722353693677
2.85,-19.2722353693677
2.855,-19.2722353693677
2.86,-19.2722353693677
2.865,-19.2722353693677
2.87,-19.2722353693677
2.875,-19.2722353693677
2.88,-19.2722353693677
2.885,-19.2722353693677
2.89,-19.2722353693677
2.895,-19.2722353693677
2.9,-19.2722353693677
2.905,-19.2722353693677
2.91,-19.2722353693677
2.915,-19.2722353693677
2.92,-19.2722353693677
2.925,-19.2722353693677
2.93,-19.2722353693677
2.935,-19.2722353693677
2.94,-19.2722353693677
2.945,-19.2722353693677
2.95,-19.2722353693677
2.955,-19.2722353693677
2.96,-19.2722353693677
2.965,-19.2722353693677
2.97,-19.2722353693677
2.975,-19.2722353693677
2.98,-19.2722353693677
2.985,-19.2722353693677
2.99,-19.2722353693677
2.995,-19.2722353693677
3,-19.2722353693677
