"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0527278475187308
2.005,-0.0538627003834359
2.01,-0.0550378237362999
2.015,-0.0562545109417036
2.02,-0.0575141224538458
2.025,-0.0588180896559308
2.03,-0.060167918960088
2.035,-0.0615651961883288
2.04,-0.0630115912565131
2.045,-0.0645088631853165
2.05,-0.0660588654642653
2.055,-0.0676635517973435
2.06,-0.0693249822611788
2.065,-0.0710453299097535
2.07,-0.0728268878626741
2.075,-0.0746720769175544
2.08,-0.076583453730875
2.085,-0.0785637196159454
2.09,-0.0806157300113165
2.095,-0.0827425046781319
2.1,-0.0849472386907715
2.105,-0.0872333142914923
2.11,-0.0896043136869005
2.115,-0.0920640328720625
2.12,-0.0946164965768209
2.125,-0.0972659744388103
2.13,-0.100016998518554
2.135,-0.102874382284409
2.14,-0.105843241208763
2.145,-0.108929015132343
2.15,-0.112137492570695
2.155,-0.11547483715631
2.16,-0.118947616431626
2.165,-0.122562833232582
2.17,-0.126327959930211
2.175,-0.130250975828684
2.18,-0.134340408053716
2.185,-0.138605376304897
2.19,-0.1430556418909
2.195,-0.147701661517682
2.2,-0.152554646358197
2.205,-0.157626626998452
2.21,-0.162930524930485
2.215,-0.168480231349216
2.22,-0.174290694109004
2.225,-0.180378013808964
2.23,-0.186759550106119
2.235,-0.193454039504732
2.24,-0.200481726042346
2.245,-0.207864506491385
2.25,-0.215626091924572
2.255,-0.223792187758008
2.26,-0.232390694693739
2.265,-0.241451933341766
2.27,-0.251008895718413
2.275,-0.261097527304613
2.28,-0.271757043916714
2.285,-0.283030288309232
2.29,-0.294964132212158
2.295,-0.307609930426988
2.3,-0.321024034692927
2.305,-0.335268376320076
2.31,-0.35041112810942
2.315,-0.36652745788876
2.32,-0.383700388147813
2.325,-0.402021778826908
2.33,-0.421593453390067
2.335,-0.442528492003927
2.34,-0.464952720082087
2.345,-0.489006425806108
2.35,-0.514846346704094
2.355,-0.542647973210019
2.36,-0.572608226658609
2.365,-0.604948580787014
2.37,-0.639918710010488
2.375,-0.677800765135955
2.38,-0.718914398555706
2.385,-0.763622687309705
2.39,-0.812339134966667
2.395,-0.865535973635839
2.4,-0.923754037603238
2.405,-0.987614542674034
2.41,-1.05783318362543
2.415,-1.13523706054426
2.42,-1.22078506887451
2.425,-1.31559254517112
2.43,-1.42096116080447
2.435,-1.53841531274747
2.44,-1.66974659297437
2.445,-1.81706835285578
2.45,-1.9828829558827
2.455,-2.17016509129326
2.46,-2.38246559720451
2.465,-2.62404176774826
2.47,-2.90002234965263
2.475,-3.21661880557463
2.48,-3.58139969373165
2.485,-4.0036535296965
2.49,-4.49487965944542
2.495,-5.06947079945374
2.5,-5.74569269127871
2.505,-6.54713902898552
2.51,-7.50496341060885
2.515,-8.66137823376937
2.52,-10.0750623952076
2.525,-11.8283108408118
2.53,-14.0275286981006
2.535,-16.7285590553155
2.54,-19.3779639446962
2.545,-19.6344847056899
2.55,-17.1716826411535
2.555,-14.4500830579389
2.56,-12.2140409921635
2.565,-10.4357405589883
2.57,-9.00709835826685
2.575,-7.84193330870669
2.58,-6.8787633923535
2.585,-6.07362584063973
2.59,-5.39433275500568
2.595,-4.81671094281197
2.6,-4.32219725101954
2.605,-3.8962728294393
2.61,-3.52741282786406
2.615,-3.20635910508042
2.62,-2.92560139300469
2.625,-2.67899737568715
2.63,-2.46148829780142
2.635,-2.26888218994454
2.64,-2.09768617925458
2.645,-1.94497520454683
2.65,-1.80828821512329
2.655,-1.68554542273282
2.66,-1.57498187393214
2.665,-1.47509379866328
2.67,-1.38459504268715
2.675,-1.3023815144112
2.68,-1.22750203990609
2.685,-1.15913436930084
2.69,-1.09656534433066
2.695,-1.03917444217452
2.7,-0.986420070195559
2.705,-0.937828110888514
2.71,-0.892982314409442
2.715,-0.851516213599921
2.72,-0.813106298009522
2.725,-0.777466232555811
2.73,-0.744341945817107
2.735,-0.713507444595134
2.74,-0.684761236916117
2.745,-0.657923266310952
2.75,-0.632832277008677
2.755,-0.609343543364185
2.76,-0.587326908031166
2.765,-0.566665082568045
2.77,-0.547252171713091
2.775,-0.528992388792021
2.78,-0.511798934873568
2.785,-0.495593018562978
2.79,-0.480302996879622
2.795,-0.465863620631788
2.8,-0.452215370182872
2.805,-0.439303869584353
2.81,-0.427079368800247
2.815,-0.415496285222182
2.82,-0.404512796920052
2.825,-0.39409048112814
2.83,-0.384193992362016
2.835,-0.374790775323509
2.84,-0.365850808400652
2.845,-0.357346374124627
2.85,-0.349251853421131
2.855,-0.341543540901629
2.86,-0.334199478790682
2.865,-0.327199307387882
2.87,-0.320524130223875
2.875,-0.314156392295619
2.88,-0.308079769961718
2.885,-0.302279071248406
2.89,-0.296740145464456
2.895,-0.291449801152071
2.9,-0.286395731512944
2.905,-0.281566446546998
2.91,-0.276951211227171
2.915,-0.272539989109106
2.92,-0.268323390840746
2.925,-0.264292627095142
2.93,-0.260439465501121
2.935,-0.256756191191774
2.94,-0.253235570630655
2.945,-0.249870818411221
2.95,-0.246655566756159
2.955,-0.243583837471353
2.96,-0.240650016133802
2.965,-0.237848828314965
2.97,-0.23517531766053
2.975,-0.232624825665127
2.98,-0.230192972996174
2.985,-0.227875642234935
2.99,-0.225668961915452
2.995,-0.223569291753172
3,-0.221573208965188
