"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0234988348334996
2.005,-0.0239057634913854
2.01,-0.0243109746796958
2.015,-0.024714820078475
2.02,-0.0251176566288455
2.025,-0.0255198468251529
2.03,-0.0259217590211993
2.035,-0.0263237677513285
2.04,-0.0267262540671528
2.045,-0.027129605890791
2.05,-0.0275342183854936
2.055,-0.0279404943445547
2.06,-0.0283488445994588
2.065,-0.0287596884482088
2.07,-0.0291734541048254
2.075,-0.0295905791710041
2.08,-0.0300115111309034
2.085,-0.0304367078700749
2.09,-0.0308666382194495
2.095,-0.0313017825253383
2.1,-0.0317426332462602
2.105,-0.0321896955773796
2.11,-0.0326434881031693
2.115,-0.0331045434788015
2.12,-0.0335734091405206
2.125,-0.0340506480449991
2.13,-0.0345368394373771
2.135,-0.035032579647254
2.14,-0.035538482911414
2.145,-0.0360551822214841
2.15,-0.0365833301939766
2.155,-0.0371235999593667
2.16,-0.0376766860657351
2.165,-0.0382433053914105
2.17,-0.038824198059595
2.175,-0.039420128346286
2.18,-0.0400318855710028
2.185,-0.040660284957594
2.19,-0.0413061684499813
2.195,-0.0419704054649919
2.2,-0.0426538935613271
2.205,-0.0433575590004186
2.21,-0.0440823571713831
2.215,-0.0448292728485001
2.22,-0.0455993202458604
2.225,-0.0463935428300934
2.23,-0.0472130128486858
2.235,-0.0480588305285613
2.24,-0.048932122897823
2.245,-0.0498340421833059
2.25,-0.0507657637383408
2.255,-0.0517284834600406
2.26,-0.0527234146639034
2.265,-0.0537517843970516
2.27,-0.0548148291908255
2.275,-0.0559137902800397
2.28,-0.0570499083509709
2.285,-0.0582244179241633
2.29,-0.0594385415316281
2.295,-0.060693483911111
2.3,-0.061990426511582
2.305,-0.0633305226816874
2.31,-0.064714893992805
2.315,-0.066144628224814
2.32,-0.0676207796083368
2.325,-0.0691443719626818
2.33,-0.070716405383611
2.335,-0.0723378671083469
2.34,-0.0740097471071544
2.345,-0.075733058814085
2.35,-0.0775088652114592
2.355,-0.0793383102274518
2.36,-0.0812226551058197
2.365,-0.0831633190819594
2.37,-0.0851619233786036
2.375,-0.0872203372514391
2.38,-0.0893407246051748
2.385,-0.0915255895958857
2.39,-0.0937778196589798
2.395,-0.0961007245632575
2.4,-0.09849807038387
2.405,-0.100974107687127
2.41,-0.10353359369148
2.415,-0.106181808665861
2.42,-0.10892456730147
2.425,-0.111768226203333
2.43,-0.114719688961329
2.435,-0.11778641045901
2.44,-0.120976402159756
2.445,-0.124298240084277
2.45,-0.127761077083197
2.455,-0.131374660840212
2.46,-0.135149358845162
2.465,-0.139096191378985
2.47,-0.143226873377201
2.475,-0.147553865902215
2.48,-0.15209043786806
2.485,-0.156850738629947
2.49,-0.161849882076522
2.495,-0.167104042943174
2.5,-0.172630566197548
2.505,-0.178448090530024
2.51,-0.184576687210092
2.515,-0.191038015843162
2.52,-0.197855498882088
2.525,-0.205054517117147
2.53,-0.212662628792505
2.535,-0.220709815485049
2.54,-0.229228758444073
2.545,-0.238255149742044
2.55,-0.247828043346226
2.555,-0.257990252110432
2.56,-0.268788797733642
2.565,-0.280275421971608
2.57,-0.292507168860262
2.575,-0.305547049467027
2.58,-0.319464802790651
2.585,-0.334337768959488
2.59,-0.35025189392845
2.595,-0.367302888565349
2.6,-0.385597569497294
2.605,-0.405255414543524
2.61,-0.426410372227252
2.615,-0.449212973031024
2.62,-0.473832800111836
2.625,-0.500461389598865
2.63,-0.529315645962483
2.635,-0.560641877042911
2.64,-0.594720577152615
2.645,-0.631872116498369
2.65,-0.6724635326611
2.655,-0.716916667172969
2.66,-0.765717950143005
2.665,-0.819430212074679
2.67,-0.878706999322072
2.675,-0.944309994439652
2.68,-1.01713030351534
2.685,-1.09821458087792
2.69,-1.18879723285227
2.695,-1.29034029779066
2.7,-1.40458306911686
2.705,-1.53360415378448
2.71,-1.6798995018928
2.715,-1.84648109667968
2.72,-2.03700260173705
2.725,-2.2559205575339
2.73,-2.508703096929
2.735,-2.80210330540346
2.74,-3.14452256405707
2.745,-3.54650291808001
2.75,-4.0214115263753
2.755,-4.586424449819
2.76,-5.26400255281571
2.765,-6.08422660184739
2.77,-7.08873531818955
2.775,-8.33788313764578
2.78,-9.92494151929607
2.785,-12.0073690281959
2.79,-14.8844798193896
2.795,-19.200718936844
2.8,-25.3974821784595
2.805,-22.5381861852734
2.81,-17.0434683712683
2.815,-13.5339052060392
2.82,-11.1021276313748
2.825,-9.29843915961922
2.83,-7.90310782668962
2.835,-6.79375100658328
2.84,-5.8948188593872
2.845,-5.15603781987882
2.85,-4.54208827561771
2.855,-4.02716207864791
2.86,-3.59185249311477
2.865,-3.22125253198879
2.87,-2.90372470045949
2.875,-2.63006759401578
2.88,-2.39293020296779
2.885,-2.18638826050091
2.89,-2.00563084453008
2.895,-1.8467244364147
2.9,-1.70643280563235
2.905,-1.58207795375612
2.91,-1.47143174663073
2.915,-1.37263078156136
2.92,-1.28410903374882
2.925,-1.20454422879507
2.93,-1.1328148936795
2.935,-1.06796577177378
2.94,-1.0091798293654
2.945,-0.955755486209488
2.95,-0.907088008235619
2.955,-0.862654232966083
2.96,-0.821999976216623
2.965,-0.784729605841424
2.97,-0.750497374615923
2.975,-0.719000187199379
2.98,-0.689971540989769
2.985,-0.663176431716082
2.99,-0.638407054939341
2.995,-0.61547916663743
3,-0.594228991553575
