"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.127275292936754
2.005,-0.127275292936754
2.01,-0.127275292936754
2.015,-0.127275292936754
2.02,-0.127275292936754
2.025,-0.127275292936754
2.03,-0.127275292936754
2.035,-0.127275292936754
2.04,-0.127275292936754
2.045,-0.127275292936754
2.05,-0.127275292936754
2.055,-0.127275292936754
2.06,-0.127275292936754
2.065,-0.127275292936754
2.07,-0.127275292936754
2.075,-0.127275292936754
2.08,-0.127275292936754
2.085,-0.127275292936754
2.09,-0.127275292936754
2.095,-0.127275292936754
2.1,-0.127275292936754
2.105,-0.127275292936754
2.11,-0.127275292936754
2.115,-0.127275292936754
2.12,-0.127275292936754
2.125,-0.127275292936754
2.13,-0.127275292936754
2.135,-0.127275292936754
2.14,-0.127275292936754
2.145,-0.127275292936754
2.15,-0.127275292936754
2.155,-0.127275292936754
2.16,-0.127275292936754
2.165,-0.127275292936754
2.17,-0.127275292936754
2.175,-0.127275292936754
2.18,-0.127275292936754
2.185,-0.127275292936754
2.19,-0.127275292936754
2.195,-0.127275292936754
2.2,-0.127275292936754
2.205,-0.127275292936754
2.21,-0.127275292936754
2.215,-0.127275292936754
2.22,-0.127275292936754
2.225,-0.127275292936754
2.23,-0.127275292936754
2.235,-0.127275292936754
2.24,-0.127275292936754
2.245,-0.127275292936754
2.25,-0.127275292936754
2.255,-0.127275292936754
2.26,-0.127275292936754
2.265,-0.127275292936754
2.27,-0.127275292936754
2.275,-0.127275292936754
2.28,-0.127275292936754
2.285,-0.127275292936754
2.29,-0.127275292936754
2.295,-0.127275292936754
2.3,-0.127275292936754
2.305,-0.127275292936754
2.31,-0.127275292936754
2.315,-0.127275292936754
2.32,-0.127275292936754
2.325,-0.127275292936754
2.33,-0.127275292936754
2.335,-0.127275292936754
2.34,-0.127275292936754
2.345,-0.127275292936754
2.35,-0.127275292936754
2.355,-0.127275292936754
2.36,-0.127275292936754
2.365,-0.127275292936754
2.37,-0.127275292936754
2.375,-0.127275292936754
2.38,-0.127275292936754
2.385,-0.127275292936754
2.39,-0.127275292936754
2.395,-0.127275292936754
2.4,-0.127275292936754
2.405,-0.127275292936754
2.41,-0.127275292936754
2.415,-0.127275292936754
2.42,-0.127275292936754
2.425,-0.127275292936754
2.43,-0.127275292936754
2.435,-0.127275292936754
2.44,-0.127275292936754
2.445,-0.127275292936754
2.45,-0.127275292936754
2.455,-0.127275292936754
2.46,-0.127275292936754
2.465,-0.127275292936754
2.47,-0.127275292936754
2.475,-0.127275292936754
2.48,-0.127275292936754
2.485,-0.127275292936754
2.49,-0.127275292936754
2.495,-0.127275292936754
2.5,-0.127275292936754
2.505,-0.127275292936754
2.51,-0.127275292936754
2.515,-0.127275292936754
2.52,-0.127275292936754
2.525,-0.127275292936754
2.53,-0.127275292936754
2.535,-0.127275292936754
2.54,-0.127275292936754
2.545,-0.127275292936754
2.55,-0.127275292936754
2.555,-0.127275292936754
2.56,-0.127275292936754
2.565,-0.127275292936754
2.57,-0.127275292936754
2.575,-0.127275292936754
2.58,-0.127275292936754
2.585,-0.127275292936754
2.59,-0.127275292936754
2.595,-0.127275292936754
2.6,-0.127275292936754
2.605,-0.127275292936754
2.61,-0.127275292936754
2.615,-0.127275292936754
2.62,-0.127275292936754
2.625,-0.127275292936754
2.63,-0.127275292936754
2.635,-0.127275292936754
2.64,-0.127275292936754
2.645,-0.127275292936754
2.65,-0.127275292936754
2.655,-0.127275292936754
2.66,-0.127275292936754
2.665,-0.127275292936754
2.67,-0.127275292936754
2.675,-0.127275292936754
2.68,-0.127275292936754
2.685,-0.127275292936754
2.69,-0.127275292936754
2.695,-0.127275292936754
2.7,-0.127275292936754
2.705,-0.127275292936754
2.71,-0.127275292936754
2.715,-0.127275292936754
2.72,-0.127275292936754
2.725,-0.127275292936754
2.73,-0.127275292936754
2.735,-0.127275292936754
2.74,-0.127275292936754
2.745,-0.127275292936754
2.75,-0.127275292936754
2.755,-0.127275292936754
2.76,-0.127275292936754
2.765,-0.127275292936754
2.77,-0.127275292936754
2.775,-0.127275292936754
2.78,-0.127275292936754
2.785,-0.127275292936754
2.79,-0.127275292936754
2.795,-0.127275292936754
2.8,-0.127275292936754
2.805,-0.127275292936754
2.81,-0.127275292936754
2.815,-0.127275292936754
2.82,-0.127275292936754
2.825,-0.127275292936754
2.83,-0.127275292936754
2.835,-0.127275292936754
2.84,-0.127275292936754
2.845,-0.127275292936754
2.85,-0.127275292936754
2.855,-0.127275292936754
2.86,-0.127275292936754
2.865,-0.127275292936754
2.87,-0.127275292936754
2.875,-0.127275292936754
2.88,-0.127275292936754
2.885,-0.127275292936754
2.89,-0.127275292936754
2.895,-0.127275292936754
2.9,-0.127275292936754
2.905,-0.127275292936754
2.91,-0.127275292936754
2.915,-0.127275292936754
2.92,-0.127275292936754
2.925,-0.127275292936754
2.93,-0.127275292936754
2.935,-0.127275292936754
2.94,-0.127275292936754
2.945,-0.127275292936754
2.95,-0.127275292936754
2.955,-0.127275292936754
2.96,-0.127275292936754
2.965,-0.127275292936754
2.97,-0.127275292936754
2.975,-0.127275292936754
2.98,-0.127275292936754
2.985,-0.127275292936754
2.99,-0.127275292936754
2.995,-0.127275292936754
3,-0.127275292936754
