"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0386317404245782
2.005,-0.0392727981279085
2.01,-0.0399476354117522
2.015,-0.040657043151522
2.02,-0.0414018609313421
2.025,-0.0421829798165359
2.03,-0.0430013453182345
2.035,-0.0438579605653014
2.04,-0.0447538897001575
2.045,-0.0456902615165196
2.05,-0.0466682733587845
2.055,-0.0476891953045883
2.06,-0.048754374654025
2.065,-0.0498652407513004
2.07,-0.0510233101669747
2.075,-0.0522301922716881
2.08,-0.053487595235282
2.085,-0.0547973324884524
2.09,-0.0561613296878809
2.095,-0.0575816322297833
2.1,-0.0590604133614234
2.105,-0.0605999829451707
2.11,-0.062202796935334
2.115,-0.0638714676343007
2.12,-0.0656087748015473
2.125,-0.0674176776969546
2.13,-0.0693013281486028
2.135,-0.0712630847452303
2.14,-0.0733065282644515
2.145,-0.0754354784603528
2.15,-0.0776540123481752
2.155,-0.079966484139372
2.16,-0.0823775469983411
2.165,-0.0848921768121468
2.17,-0.0875156981872938
2.175,-0.0902538129135093
2.18,-0.0931126311636785
2.185,-0.0960987057323862
2.19,-0.0992190696534287
2.195,-0.102481277579792
2.2,-0.105893451358997
2.205,-0.109464330293057
2.21,-0.113203326637065
2.215,-0.117120586964544
2.22,-0.121227060113203
2.225,-0.125534572522944
2.23,-0.130055911891686
2.235,-0.134804920205691
2.24,-0.139796597353462
2.245,-0.145047216708763
2.25,-0.150574454274134
2.255,-0.156397533215909
2.26,-0.162537385901976
2.265,-0.169016835881834
2.27,-0.175860802633608
2.275,-0.183096532356365
2.28,-0.190753858620694
2.285,-0.198865497323275
2.29,-0.207467381140848
2.295,-0.216599039570605
2.3,-0.22630403170635
2.305,-0.236630440169779
2.31,-0.247631436138109
2.315,-0.259365927238985
2.32,-0.271899302289328
2.325,-0.285304289522451
2.33,-0.29966194818375
2.335,-0.315062817313884
2.34,-0.331608250347334
2.345,-0.34941197004596
2.35,-0.368601885530702
2.355,-0.389322222110802
2.36,-0.411736025675011
2.365,-0.436028117160125
2.37,-0.462408589765627
2.375,-0.491116963062678
2.38,-0.522427135147466
2.385,-0.556653308066764
2.39,-0.594157104925444
2.395,-0.635356152026291
2.4,-0.680734469583253
2.405,-0.730855104597887
2.41,-0.786375555504471
2.415,-0.848066688304974
2.42,-0.916836039013346
2.425,-0.993756651950255
2.43,-1.08010293760346
2.435,-1.17739547447683
2.44,-1.287457263982
2.445,-1.41248472836259
2.45,-1.55513779372754
2.455,-1.71865483329113
2.46,-1.90700022644727
2.465,-2.12505508072005
2.47,-2.37886570229803
2.475,-2.67597044579222
2.48,-3.02583500766258
2.485,-3.44044167193245
2.49,-3.93510460366639
2.495,-4.52963130060162
2.5,-5.25004064807903
2.505,-6.13122297752587
2.51,-7.22126860184042
2.515,-8.58881972702435
2.52,-10.3355902607401
2.525,-12.6136785980237
2.53,-15.6034692031292
2.535,-18.9647801303251
2.54,-19.4651274701024
2.545,-16.3245120601449
2.55,-13.2269224328514
2.555,-10.8552809711317
2.56,-9.04698494958087
2.565,-7.63860642698616
2.57,-6.5199198338931
2.575,-5.61725491971876
2.58,-4.87964189376776
2.585,-4.2705443926384
2.59,-3.76300240868976
2.595,-3.33667146800913
2.6,-2.9759319475399
2.605,-2.66862779831739
2.61,-2.40519344323715
2.615,-2.17803122165815
2.62,-1.9810571213417
2.625,-1.80936332110663
2.63,-1.65896395859663
2.635,-1.5266014163723
2.64,-1.40959732254616
2.645,-1.30573701061252
2.65,-1.21317927643814
2.655,-1.13038542862708
2.66,-1.0560631651737
2.665,-0.989121921126234
2.67,-0.928637146704227
2.675,-0.873821578554892
2.68,-0.824002017376236
2.685,-0.778600464153329
2.69,-0.737118724047082
2.695,-0.699125782661012
2.7,-0.66424740936753
2.705,-0.632157557896943
2.71,-0.602571223835802
2.715,-0.575238488270922
2.72,-0.549939531212577
2.725,-0.526480441146476
2.73,-0.504689680756594
2.735,-0.484415095551112
2.74,-0.465521373356429
2.745,-0.447887879604782
2.75,-0.431406806943633
2.755,-0.415981588647229
2.76,-0.401525534162573
2.765,-0.387960652303278
2.77,-0.375216633451331
2.775,-0.363229966904103
2.78,-0.351943173420637
2.785,-0.34130413624316
2.79,-0.33126551652913
2.795,-0.321784241330584
2.8,-0.312821054086174
2.805,-0.30434011911428
2.81,-0.296308672868263
2.815,-0.288696715780804
2.82,-0.281476739420274
2.825,-0.27462348443643
2.83,-0.268113725410305
2.835,-0.261926079262701
2.84,-0.256040834334046
2.845,-0.250439797638203
2.85,-0.245106158125477
2.855,-0.240024364074404
2.86,-0.235180012975608
2.865,-0.230559752480309
2.87,-0.22615119116609
2.875,-0.22194281802793
2.88,-0.217923929736676
2.885,-0.214084564823381
2.89,-0.210415444048711
2.895,-0.20690791630435
2.9,-0.203553909469488
2.905,-0.200345885712231
2.91,-0.197276800783774
2.915,-0.194340066904211
2.92,-0.19152951888344
2.925,-0.188839383159893
2.93,-0.186264249474224
2.935,-0.183799044925562
2.94,-0.181439010184768
2.945,-0.179179677662668
2.95,-0.177016851452424
2.955,-0.17494658888364
2.96,-0.172965183542327
2.965,-0.171069149625554
2.97,-0.169255207512546
2.975,-0.167520270445777
2.98,-0.165861432225778
2.985,-0.164275955832834
2.99,-0.162761262896828
2.995,-0.161314923944122
3,-0.159934649356812
