"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0507021386809011
2.005,-0.0514820224964636
2.01,-0.0522764602513961
2.015,-0.0530855959627784
2.02,-0.0539095798556134
2.025,-0.0547485685160043
2.03,-0.0556027250497522
2.035,-0.0564722192465084
2.04,-0.0573572277497513
2.045,-0.0582579342327282
2.05,-0.0591745295806186
2.055,-0.0601072120791211
2.06,-0.061056187609713
2.065,-0.0620216698518199
2.07,-0.0630038804921418
2.075,-0.0640030494414207
2.08,-0.0650194150588925
2.085,-0.0660532243847606
2.09,-0.0671047333809476
2.095,-0.0681742071804656
2.1,-0.0692619203457224
2.105,-0.0703681571361049
2.11,-0.0714932117852231
2.115,-0.0726373887881397
2.12,-0.0738010031990394
2.125,-0.0749843809396788
2.13,-0.0761878591191066
2.135,-0.0774117863650601
2.14,-0.0786565231675114
2.145,-0.0799224422348815
2.15,-0.0812099288633775
2.155,-0.0825193813200391
2.16,-0.0838512112400408
2.165,-0.0852058440388119
2.17,-0.0865837193396102
2.175,-0.0879852914172012
2.18,-0.0894110296582819
2.185,-0.0908614190393746
2.19,-0.0923369606229389
2.195,-0.0938381720724595
2.2,-0.0953655881873219
2.205,-0.0969197614583368
2.21,-0.0985012626448057
2.215,-0.100110681374043
2.22,-0.101748626764385
2.225,-0.103415728072654
2.23,-0.105112635367227
2.235,-0.106840020227789
2.24,-0.108598576473023
2.245,-0.110389020917431
2.25,-0.11221209415866
2.255,-0.114068561396712
2.26,-0.115959213286465
2.265,-0.117884866825069
2.27,-0.119846366275859
2.275,-0.121844584130418
2.28,-0.123880422110648
2.285,-0.125954812212711
2.29,-0.128068717794806
2.295,-0.130223134710927
2.3,-0.132419092492763
2.305,-0.134657655582097
2.31,-0.136939924616151
2.315,-0.139267037768472
2.32,-0.14164017214808
2.325,-0.144060545259797
2.33,-0.146529416528772
2.335,-0.149048088892443
2.34,-0.151617910463343
2.345,-0.154240276266332
2.35,-0.156916630054081
2.355,-0.159648466204823
2.36,-0.162437331706621
2.365,-0.165284828232693
2.37,-0.16819261431254
2.375,-0.171162407603938
2.38,-0.174195987271161
2.385,-0.177295196475139
2.39,-0.180461944981517
2.395,-0.183698211893061
2.4,-0.187006048513162
2.405,-0.190387581347659
2.41,-0.193845015252593
2.415,-0.197380636736044
2.42,-0.200996817422674
2.425,-0.204696017690144
2.43,-0.208480790487169
2.435,-0.212353785343605
2.44,-0.2163177525836
2.445,-0.220375547753611
2.45,-0.224530136277788
2.455,-0.228784598354128
2.46,-0.233142134105604
2.465,-0.237606069001516
2.47,-0.242179859565216
2.475,-0.24686709938557
2.48,-0.251671525450622
2.485,-0.256597024823203
2.49,-0.261647641679612
2.495,-0.266827584733921
2.5,-0.27214123507209
2.505,-0.277593154421708
2.51,-0.283188093885054
2.515,-0.288931003165131
2.52,-0.294827040316463
2.525,-0.300881582054707
2.53,-0.307100234661651
2.535,-0.313488845524861
2.54,-0.320053515354055
2.545,-0.326800611119506
2.55,-0.33373677976111
2.555,-0.340868962720444
2.56,-0.348204411352058
2.565,-0.355750703274642
2.57,-0.363515759727252
2.575,-0.371507864000945
2.58,-0.379735681021557
2.585,-0.3882082781654
2.59,-0.396935147396041
2.595,-0.405926228817429
2.6,-0.415191935746203
2.605,-0.424743181414375
2.61,-0.434591407422602
2.615,-0.444748614074095
2.62,-0.455227392729999
2.625,-0.466040960338691
2.63,-0.47720319630421
2.635,-0.488728681873053
2.64,-0.500632742233552
2.645,-0.512931491538825
2.65,-0.525641881082332
2.655,-0.538781750874846
2.66,-0.5523698848934
2.665,-0.566426070296421
2.67,-0.580971160925286
2.675,-0.596027145440873
2.68,-0.611617220475009
2.685,-0.627765869210689
2.69,-0.64449894584265
2.695,-0.661843766410807
2.7,-0.679829206544388
2.705,-0.698485806704139
2.71,-0.717845885564505
2.715,-0.737943662237672
2.72,-0.758815388107184
2.725,-0.780499489111515
2.73,-0.803036719397763
2.735,-0.826470327353501
2.74,-0.850846235121829
2.745,-0.876213232811326
2.75,-0.902623188730329
2.755,-0.930131277104814
2.76,-0.958796224882415
2.765,-0.988680579383135
2.77,-1.01985099873212
2.775,-1.05237856720254
2.78,-1.08633913781003
2.785,-1.12181370473584
2.79,-1.15888880841677
2.795,-1.19765697642863
2.8,-1.23821720361023
2.805,-1.28067547522929
2.81,-1.32514533738553
2.815,-1.3717485192834
2.82,-1.42061561249327
2.825,-1.47188681286174
2.83,-1.52571273133592
2.835,-1.58225528064269
2.84,-1.64168864552121
2.845,-1.7042003450584
2.85,-1.76999239663725
2.855,-1.83928259209494
2.86,-1.91230589792408
2.865,-1.9893159927637
2.87,-2.07058695705157
2.875,-2.15641513159037
2.88,-2.24712116397195
2.885,-2.34305226437923
2.89,-2.44458469533382
2.895,-2.55212652359974
2.9,-2.66612066684084
2.905,-2.78704827296204
2.91,-2.91543247660067
2.915,-3.0518425853119
2.92,-3.19689875805321
2.925,-3.35127725119169
2.93,-3.51571632319037
2.935,-3.69102290935832
2.94,-3.87808020386264
2.945,-4.07785631927965
2.95,-4.29141423650017
2.955,-4.51992331265658
2.96,-4.76467268560676
2.965,-5.02708700516825
2.97,-5.30874503983177
2.975,-5.61140186073386
2.98,-5.93701550150905
2.985,-6.28777924389552
2.99,-6.66616099528496
2.995,-7.07495161278743
3,-7.51732448305825
