"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00243695645517829
2.005,-0.00244455863515058
2.01,-0.00245210869885565
2.015,-0.00245960778782602
2.02,-0.00246705703464276
2.025,-0.00247445756307041
2.03,-0.00248181048818805
2.035,-0.00248911691651752
2.04,-0.00249637794613039
2.045,-0.00250359466680024
2.05,-0.00251076816009715
2.055,-0.00251789949951972
2.06,-0.0025249897506021
2.065,-0.00253203997104311
2.07,-0.0025390512108046
2.075,-0.00254602451222709
2.08,-0.00255296091015221
2.085,-0.00255986143200462
2.09,-0.00256672709792312
2.095,-0.00257355892084836
2.1,-0.00258035790663661
2.105,-0.0025871250541484
2.11,-0.0025938613553633
2.115,-0.00260056779546564
2.12,-0.00260724535295064
2.125,-0.00261389499970336
2.13,-0.00262051770111063
2.135,-0.00262711441614965
2.14,-0.00263368609746324
2.145,-0.00264023369146877
2.15,-0.00264675813843335
2.155,-0.00265326037256542
2.16,-0.00265974132209765
2.165,-0.00266620190937084
2.17,-0.00267264305092067
2.175,-0.00267906565755485
2.18,-0.00268547063443023
2.185,-0.00269185888113764
2.19,-0.00269823129178387
2.195,-0.00270458875504757
2.2,-0.00271093215427954
2.205,-0.00271726236756537
2.21,-0.00272358026779105
2.215,-0.00272988672273261
2.22,-0.00273618259510432
2.225,-0.00274246874265421
2.23,-0.0027487460182151
2.235,-0.00275501526977309
2.24,-0.00276127734054183
2.245,-0.00276753306902324
2.25,-0.00277378328907407
2.255,-0.00278002882996566
2.26,-0.00278627051645435
2.265,-0.00279250916884031
2.27,-0.00279874560302055
2.275,-0.00280498063055937
2.28,-0.00281121505874326
2.285,-0.00281744969063689
2.29,-0.00282368532514674
2.295,-0.00282992275707508
2.3,-0.00283616277716825
2.305,-0.00284240617218411
2.31,-0.00284865372493643
2.315,-0.00285490621435469
2.32,-0.00286116441552748
2.325,-0.00286742909977
2.33,-0.00287370103465397
2.335,-0.00287998098408189
2.34,-0.00288626970831311
2.345,-0.00289256796402936
2.35,-0.00289887650437628
2.355,-0.0029051960790097
2.36,-0.00291152743414677
2.365,-0.00291787131260837
2.37,-0.00292422845386256
2.375,-0.00293059959407859
2.38,-0.00293698546616159
2.385,-0.00294338679979603
2.39,-0.00294980432149489
2.395,-0.00295623875463922
2.4,-0.00296269081952058
2.405,-0.00296916123337483
2.41,-0.0029756507104332
2.415,-0.00298215996195711
2.42,-0.00298868969627284
2.425,-0.0029952406188217
2.43,-0.00300181343218804
2.435,-0.00300840883613879
2.44,-0.00301502752766784
2.445,-0.00302167020101921
2.45,-0.00302833754773819
2.455,-0.00303503025669446
2.46,-0.00304174901412461
2.465,-0.003048494503662
2.47,-0.00305526740637635
2.475,-0.00306206840080364
2.48,-0.00306889816297799
2.485,-0.00307575736645862
2.49,-0.00308264668238878
2.495,-0.00308956677948798
2.5,-0.00309651832411767
2.505,-0.00310350198028793
2.51,-0.00311051840970482
2.515,-0.00311756827178773
2.52,-0.00312465222370894
2.525,-0.00313177092041585
2.53,-0.00313892501466377
2.535,-0.00314611515704392
2.54,-0.00315334199600662
2.545,-0.00316060617789697
2.55,-0.00316790834697226
2.555,-0.00317524914544056
2.56,-0.00318262921347906
2.565,-0.00319004918925728
2.57,-0.0031975097089737
2.575,-0.00320501140687031
2.58,-0.00321255491526824
2.585,-0.00322014086457946
2.59,-0.00322776988334047
2.595,-0.00323544259823653
2.6,-0.00324315963412185
2.605,-0.00325092161404188
2.61,-0.0032587291592632
2.615,-0.00326658288928223
2.62,-0.00327448342186287
2.625,-0.00328243137305972
2.63,-0.00329042735721707
2.635,-0.00329847198702109
2.64,-0.0033065658734921
2.645,-0.00331470962603477
2.65,-0.00332290385243042
2.655,-0.00333114915887662
2.66,-0.00333944614999685
