"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.019945482807979
2.005,-0.0201596459771816
2.01,-0.0203777304952635
2.015,-0.0205998156216355
2.02,-0.020825983108445
2.025,-0.0210563172885908
2.03,-0.0212909051674873
2.035,-0.0215298365187577
2.04,-0.0217732039840198
2.045,-0.0220211031770345
2.05,-0.0222736327923325
2.055,-0.0225308947186458
2.06,-0.0227929941572711
2.065,-0.023060039745732
2.07,-0.0233321436868969
2.075,-0.023609421883896
2.08,-0.0238919940811161
2.085,-0.0241799840115804
2.09,-0.0244735195510328
2.095,-0.0247727328791081
2.1,-0.0250777606479065
2.105,-0.0253887441584317
2.11,-0.0257058295452289
2.115,-0.0260291679697236
2.12,-0.0263589158226986
2.125,-0.0266952349364071
2.13,-0.0270382928068404
2.135,-0.0273882628267234
2.14,-0.0277453245298013
2.145,-0.0281096638470762
2.15,-0.0284814733756241
2.155,-0.0288609526607315
2.16,-0.0292483084920899
2.165,-0.0296437552148472
2.17,-0.0300475150563729
2.175,-0.0304598184696485
2.18,-0.0308809044942452
2.185,-0.0313110211359089
2.19,-0.0317504257658954
2.195,-0.0321993855411529
2.2,-0.0326581778466735
2.205,-0.0331270907613232
2.21,-0.0336064235485573
2.215,-0.0340964871735632
2.22,-0.0345976048484937
2.225,-0.0351101126074486
2.23,-0.0356343599131688
2.235,-0.0361707102973609
2.24,-0.0367195420368463
2.245,-0.0372812488677975
2.25,-0.0378562407405299
2.255,-0.0384449446174921
2.26,-0.0390478053172902
2.265,-0.039665286407766
2.27,-0.040297871151448
2.275,-0.0409460635068251
2.28,-0.0416103891892868
2.285,-0.0422913967957723
2.29,-0.0429896589975192
2.295,-0.0437057738056583
2.3,-0.0444403659147149
2.305,-0.0451940881295802
2.31,-0.0459676228818351
2.315,-0.0467616838418968
2.32,-0.0475770176338962
2.325,-0.0484144056608363
2.33,-0.0492746660481208
2.335,-0.0501586557143149
2.34,-0.0510672725786358
2.345,-0.0520014579156173
2.35,-0.0529621988681031
2.355,-0.0539505311309076
2.36,-0.0549675418183254
2.365,-0.0560143725300776
2.37,-0.0570922226313443
2.375,-0.0582023527641192
2.38,-0.0593460886086086
2.385,-0.060524824915095
2.39,-0.0617400298286285
2.395,-0.0629932495309652
2.4,-0.0642861132264617
2.405,-0.0656203385012535
2.41,-0.06699773708777
2.415,-0.0684202210698291
2.42,-0.0698898095670128
2.425,-0.0714086359408506
2.43,-0.0729789555696108
2.435,-0.0746031542432898
2.44,-0.0762837572356287
2.445,-0.0780234391159461
2.45,-0.0798250343701148
2.455,-0.0816915489074077
2.46,-0.0836261725381574
2.465,-0.0856322925163859
2.47,-0.0877135082519691
2.475,-0.0898736473084005
2.48,-0.0921167828154565
2.485,-0.0944472524405774
2.49,-0.0968696790795419
2.495,-0.0993889934456019
2.5,-0.102010458757514
2.505,-0.104739697750789
2.51,-0.107582722263712
2.515,-0.110545965680541
2.52,-0.113636318549365
2.525,-0.116861167732129
2.53,-0.120228439489927
2.535,-0.123746646958838
2.54,-0.127424942531283
2.545,-0.131273175726297
2.55,-0.135301957210866
2.555,-0.139522729724927
2.56,-0.143947846767121
2.565,-0.148590660018909
2.57,-0.153465616624436
2.575,-0.158588367605387
2.58,-0.163975888878392
2.585,-0.169646616561878
2.59,-0.175620598515204
2.595,-0.181919664352488
2.6,-0.18856761652468
2.605,-0.195590445476289
2.61,-0.203016572369587
2.615,-0.21087712344346
2.62,-0.219206240754461
2.625,-0.228041434855145
2.63,-0.237423985926166
2.635,-0.247399401026158
2.64,-0.258017936497121
2.645,-0.269335196212133
2.65,-0.281412818337943
2.655,-0.294319265683226
2.66,-0.30813073760899
2.665,-0.322932225009404
2.67,-0.338818734178326
2.675,-0.355896710646937
2.68,-0.374285700549407
2.685,-0.394120295047828
2.69,-0.41555241321088
2.695,-0.438753990984949
2.7,-0.463920159155767
2.705,-0.491273012289964
2.71,-0.521066094627908
2.715,-0.553589759148769
2.72,-0.58917759434484
2.725,-0.628214161984905
2.73,-0.671144351427075
2.735,-0.71848473597979
2.74,-0.770837419889127
2.745,-0.828906998088488
2.75,-0.893521424759725
2.755,-0.965657814406409
2.76,-1.04647449881195
2.765,-1.1373510601571
2.77,-1.23993858988927
2.775,-1.35622313453791
2.78,-1.48860625564432
2.785,-1.64000795821561
2.79,-1.81399909427292
2.795,-2.01497298557402
2.8,-2.24836986577727
2.805,-2.52097357385151
2.81,-2.84130912554239
2.815,-3.22018502008187
2.82,-3.67145079044263
2.825,-4.21308973531008
2.83,-4.86886411420388
2.835,-5.6709341800227
2.84,-6.66433115453056
2.845,-7.91528609602329
2.85,-9.52848233839346
2.855,-11.6880840826221
2.86,-14.7767052103757
2.865,-19.8570423928986
2.87,-32.3569784125125
2.875,-23.3092319865439
2.88,-16.5572621931672
2.885,-12.8958876716713
2.89,-10.4512465369575
2.895,-8.66863472999427
2.9,-7.30571016951853
2.905,-6.23276720157885
2.91,-5.37110369705611
2.915,-4.66882419706389
2.92,-4.08970955486681
2.925,-3.60746174842489
2.93,-3.20244104093596
2.935,-2.85967414033512
2.94,-2.56756446813082
2.945,-2.3170177352085
2.95,-2.10082779229185
2.955,-1.91323353191959
2.96,-1.74959255447582
2.965,-1.6061369455115
2.97,-1.47978814512863
2.975,-1.36801511777337
2.98,-1.26872470891031
2.985,-1.18017620829038
2.99,-1.10091429710107
2.995,-1.02971607536186
3,-0.965548954571079
