"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0139192056120078
2.005,-0.0139627406507794
2.01,-0.0140065810442907
2.015,-0.0140507343271358
2.02,-0.0140952079676282
2.025,-0.0141400093684345
2.03,-0.0141851458672392
2.035,-0.0142306247373599
2.04,-0.0142764531884229
2.045,-0.0143226383670114
2.05,-0.0143691873573197
2.055,-0.014416107181823
2.06,-0.0144634048019346
2.065,-0.0145110871186854
2.07,-0.0145591609733903
2.075,-0.0146076331483304
2.08,-0.0146565103674368
2.085,-0.0147057992969784
2.09,-0.0147555065462505
2.095,-0.0148056386682717
2.1,-0.0148562021604899
2.105,-0.0149072034654838
2.11,-0.0149586489716702
2.115,-0.0150105450140401
2.12,-0.0150628978748503
2.125,-0.015115713784375
2.13,-0.0151689989216242
2.135,-0.0152227594150943
2.14,-0.015277001343495
2.145,-0.015331730736513
2.15,-0.0153869535755595
2.155,-0.0154426757945375
2.16,-0.0154989032806066
2.165,-0.015555641874956
2.17,-0.0156128973735838
2.175,-0.0156706755280895
2.18,-0.0157289820464612
2.185,-0.0157878225938885
2.19,-0.0158472027935502
2.195,-0.0159071282274479
2.2,-0.0159676044372213
2.205,-0.0160286369249692
2.21,-0.0160902311541054
2.215,-0.0161523925501833
2.22,-0.0162151265017622
2.225,-0.0162784383612646
2.23,-0.0163423334458388
2.235,-0.0164068170382447
2.24,-0.0164718943877371
2.245,-0.0165375707109537
2.25,-0.0166038511928244
2.255,-0.0166707409874809
2.26,-0.0167382452191752
2.265,-0.0168063689832134
2.27,-0.0168751173468954
2.275,-0.0169444953504557
2.28,-0.0170145080080337
2.285,-0.0170851603086319
2.29,-0.0171564572171047
2.295,-0.0172284036751295
2.3,-0.0173010046022336
2.305,-0.0173742648967719
2.31,-0.0174481894369793
2.315,-0.0175227830819685
2.32,-0.0175980506728054
2.325,-0.017673997033532
2.33,-0.0177506269722647
2.335,-0.0178279452822433
2.34,-0.0179059567429227
2.345,-0.0179846661210975
2.35,-0.0180640781719833
2.355,-0.0181441976403702
2.36,-0.0182250292617362
2.365,-0.0183065777634204
2.37,-0.0183888478657692
2.375,-0.0184718442833279
2.38,-0.0185555717260134
2.385,-0.0186400349003467
2.39,-0.0187252385106427
2.395,-0.0188111872602567
2.4,-0.0188978858528296
2.405,-0.0189853389935573
2.41,-0.0190735513904437
2.415,-0.0191625277556216
2.42,-0.0192522728066355
2.425,-0.019342791267778
2.43,-0.0194340878714246
2.435,-0.0195261673593744
2.44,-0.0196190344842486
