"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0147005071132137
2.005,-0.0147618673921425
2.01,-0.0148236723156319
2.015,-0.0148859274668397
2.02,-0.01494863841714
2.025,-0.0150118107266783
2.03,-0.0150754499448937
2.035,-0.0151395616110787
2.04,-0.0152041512549155
2.045,-0.0152692243970066
2.05,-0.0153347865494437
2.055,-0.0154008432163306
2.06,-0.0154673998943399
2.065,-0.0155344620732651
2.07,-0.0156020352365623
2.075,-0.0156701248619077
2.08,-0.0157387364217435
2.085,-0.0158078753838425
2.09,-0.0158775472118627
2.095,-0.0159477573658922
2.1,-0.0160185113030335
2.105,-0.0160898144779454
2.11,-0.0161616723434227
2.115,-0.0162340903509507
2.12,-0.0163070739512934
2.125,-0.0163806285950409
2.13,-0.01645475973321
2.135,-0.0165294728178053
2.14,-0.0166047733024009
2.145,-0.016680666642734
2.15,-0.0167571582972867
2.155,-0.0168342537278629
2.16,-0.0169119584002046
2.165,-0.0169902777845682
2.17,-0.01706921735633
2.175,-0.0171487825965938
2.18,-0.0172289789927897
2.185,-0.0173098120392907
2.19,-0.0173912872380191
2.195,-0.0174734100990703
2.2,-0.0175561861413308
2.205,-0.0176396208931038
2.21,-0.0177237198927438
2.215,-0.0178084886892781
2.22,-0.0178939328430609
2.225,-0.0179800579263987
2.23,-0.0180668695242149
2.235,-0.0181543732346863
2.24,-0.0182425746698997
2.245,-0.0183314794565326
2.25,-0.0184210932364905
2.255,-0.0185114216675993
2.26,-0.018602470424265
2.265,-0.0186942451981778
2.27,-0.0187867516989665
2.275,-0.0188799956549153
2.28,-0.0189739828136481
2.285,-0.0190687189428456
2.29,-0.0191642098309273
2.295,-0.0192604612877925
2.3,-0.0193574791455259
2.305,-0.0194552692591262
2.31,-0.0195538375072383
2.315,-0.0196531897928847
2.32,-0.0197533320442338
2.325,-0.0198542702153104
2.33,-0.0199560102867931
2.335,-0.0200585582667542
2.34,-0.020161920191433
2.345,-0.0202661021260208
2.35,-0.0203711101654378
2.355,-0.0204769504351323
2.36,-0.0205836290918713
2.365,-0.0206911523245448
2.37,-0.0207995263549868
2.375,-0.0209087574387885
2.38,-0.0210188518661388
2.385,-0.0211298159626352
2.39,-0.0212416560901534
2.395,-0.0213543786476818
2.4,-0.0214679900721932
2.405,-0.0215824968395012
