"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00243083547761296
2.005,-0.00243722227642382
2.01,-0.00244360274511256
2.015,-0.00244997702280872
2.02,-0.00245634524909174
2.025,-0.0024627075639746
2.03,-0.00246906410789803
2.035,-0.0024754150217189
2.04,-0.00248176044670642
2.045,-0.00248810052453533
2.05,-0.00249443539726859
2.055,-0.00250076520735926
2.06,-0.00250709009763993
2.065,-0.00251341021131017
2.07,-0.00251972569193939
2.075,-0.00252603668344762
2.08,-0.00253234333010928
2.085,-0.00253864577653688
2.09,-0.00254494416767803
2.095,-0.00255123864880877
2.1,-0.00255752936552482
2.105,-0.00256381646374067
2.11,-0.00257010008966737
2.115,-0.00257638038982701
2.12,-0.0025826575110305
2.125,-0.0025889316003786
2.13,-0.00259520280524931
2.135,-0.00260147127329793
2.14,-0.00260773715244833
2.145,-0.0026140005908901
2.15,-0.00262026173706307
2.155,-0.00262652073966122
2.16,-0.00263277774762299
2.165,-0.0026390329101265
2.17,-0.00264528637657793
2.175,-0.00265153829661733
2.18,-0.00265778882010706
2.185,-0.00266403809712019
2.19,-0.00267028627794534
2.195,-0.00267653351307508
2.2,-0.00268277995320694
2.205,-0.00268902574922793
2.21,-0.00269527105222037
2.215,-0.0027015160134493
2.22,-0.0027077607843635
2.225,-0.00271400551658484
2.23,-0.00272025036190445
2.235,-0.00272649547228366
2.24,-0.00273274099984822
2.245,-0.00273898709687192
2.25,-0.00274523391578814
2.255,-0.00275148160917733
2.26,-0.00275773032976025
2.265,-0.00276398023040183
2.27,-0.00277023146410152
2.275,-0.00277648418398849
2.28,-0.0027827385433158
2.285,-0.00278899469546912
2.29,-0.00279525279394357
2.295,-0.00280151299235239
2.3,-0.00280777544442118
2.305,-0.00281404030398208
2.31,-0.00282030772497378
2.315,-0.00282657786142997
2.32,-0.0028328508674851
2.325,-0.00283912689736474
2.33,-0.00284540610537885
2.335,-0.00285168864593621
2.34,-0.00285797467351263
2.345,-0.00286426434267601
2.35,-0.00287055780806124
2.355,-0.00287685522438087
2.36,-0.00288315674641252
2.365,-0.00288946252900659
2.37,-0.00289577272706704
2.375,-0.00290208749556865
2.38,-0.00290840698953591
2.385,-0.00291473136404968
2.39,-0.00292106077424146
2.395,-0.00292739537529336
2.4,-0.00293373532242848
2.405,-0.0029400807709215
2.41,-0.0029464318760794
2.415,-0.00295278879324436
2.42,-0.00295915167780242
2.425,-0.00296552068516904
2.43,-0.00297189597078234
2.435,-0.00297827769011658
2.44,-0.00298466599866678
2.445,-0.00299106105194866
2.45,-0.00299746300550448
2.455,-0.00300387201488372
2.46,-0.00301028823566527
2.465,-0.00301671182342561
2.47,-0.00302314293376389
2.475,-0.0030295817222807
2.48,-0.00303602834458964
2.485,-0.00304248295630192
2.49,-0.00304894571303695
2.495,-0.00305541677040882
2.5,-0.00306189628403694
2.505,-0.0030683844095306
2.51,-0.00307488130249765
2.515,-0.00308138711853679
2.52,-0.00308790201323562
2.525,-0.00309442614217646
2.53,-0.00310095966091994
2.535,-0.00310750272502044
2.54,-0.00311405549000871
2.545,-0.00312061811140539
2.55,-0.00312719074470559
2.555,-0.0031337735453808
2.56,-0.00314036666888661
2.565,-0.00314697027064634
2.57,-0.00315358450606161
2.575,-0.00316020953050852
2.58,-0.00316684549932702
2.585,-0.00317349256783057
2.59,-0.0031801508913013
2.595,-0.00318682062498522
2.6,-0.00319350192409219
2.605,-0.00320019494380173
2.61,-0.00320689983924757
2.615,-0.00321361676553119
2.62,-0.00322034587770827
2.625,-0.00322708733079838
2.63,-0.00323384127977145
2.635,-0.00324060787956033
2.64,-0.00324738728504919
2.645,-0.00325417965107068
2.65,-0.00326098513242324
2.655,-0.00326780388383929
2.66,-0.00327463606001514
2.665,-0.00328148181559074
2.67,-0.00328834130515256
2.675,-0.00329521468323843
2.68,-0.00330210210432594
2.685,-0.00330900372284214
2.69,-0.00331591969315577
2.695,-0.00332285016958405
2.7,-0.00332979530637337
2.705,-0.00333675525772631
2.71,-0.00334373017777175
2.715,-0.00335072022059186
2.72,-0.00335772554019413
2.725,-0.00336474629052974
2.73,-0.00337178262548481
2.735,-0.0033788346988853
2.74,-0.00338590266448538
2.745,-0.00339298667597905
2.75,-0.00340008688699044
2.755,-0.00340720345107679
2.76,-0.00341433652172838
2.765,-0.00342148625236951
2.77,-0.00342865279634504
2.775,-0.00343583630693867
2.78,-0.00344303693736236
2.785,-0.0034502548407544
2.79,-0.00345749017017844
2.795,-0.00346474307862831
2.8,-0.00347201371902515
2.805,-0.00347930224421355
2.81,-0.00348660880696539
2.815,-0.00349393355997407
2.82,-0.00350127665586128
2.825,-0.00350863824716926
2.83,-0.00351601848636466
2.835,-0.00352341752583278
2.84,-0.00353083551789011
2.845,-0.00353827261476018
2.85,-0.00354572896860449
2.855,-0.00355320473148965
2.86,-0.00356070005540867
2.865,-0.00356821509227898
2.87,-0.00357574999392896
2.875,-0.00358330491210469
2.88,-0.00359087999847765
2.885,-0.00359847540463608
2.89,-0.00360609128207723
2.895,-0.00361372778222474
2.9,-0.00362138505641322
2.905,-0.00362906325589497
2.91,-0.00363676253183714
2.915,-0.00364448303532556
2.92,-0.00365222491735606
2.925,-0.00365998832884124
2.93,-0.00366777342060757
2.935,-0.0036755803433954
2.94,-0.00368340924786089
2.945,-0.00369126028456827
2.95,-0.00369913360400534
2.955,-0.0037070293565564
2.96,-0.00371494769253317
2.965,-0.00372288876214773
2.97,-0.00373085271553767
2.975,-0.00373883970273516
2.98,-0.00374684987369692
2.985,-0.00375488337828487
2.99,-0.00376294036627196
2.995,-0.0037710209873441
3,-0.00377912539109436
