"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0227447116729222
2.005,-0.0229573674158781
2.01,-0.0231713420285653
2.015,-0.023386671083121
2.02,-0.0236033902202949
2.025,-0.0238215351558801
2.03,-0.0240411416872343
2.035,-0.0242622456998779
2.04,-0.0244848831741795
2.045,-0.0247090901921407
2.05,-0.0249349029442726
2.055,-0.0251623577365608
2.06,-0.0253914909975497
2.065,-0.0256223392855361
2.07,-0.0258549392958537
2.075,-0.0260893278682822
2.08,-0.0263255419945916
2.085,-0.0265636188261878
2.09,-0.0268035956818921
2.095,-0.0270455100558723
2.1,-0.0272893996256704
2.105,-0.0275353022604308
2.11,-0.0277832560292132
2.115,-0.0280332992095032
2.12,-0.0282854702958594
2.125,-0.0285398080087289
2.13,-0.0287963513034269
2.135,-0.0290551393792863
2.14,-0.0293162116890077
2.145,-0.0295796079481598
2.15,-0.0298453681449054
2.155,-0.0301135325498846
2.16,-0.0303841417263455
2.165,-0.0306572365404572
2.17,-0.0309328581718291
2.175,-0.0312110481242882
2.18,-0.0314918482368553
2.185,-0.0317753006949674
2.19,-0.0320614480419445
2.195,-0.0323503331907236
2.2,-0.0326419994358152
2.205,-0.0329364904655663
2.21,-0.033233850374682
2.215,-0.0335341236770181
2.22,-0.0338373553186992
2.225,-0.0341435906915115
2.23,-0.0344528756466089
2.235,-0.034765256508558
2.24,-0.0350807800896933
2.245,-0.0353994937048249
2.25,-0.0357214451862817
2.255,-0.0360466828993484
2.26,-0.0363752557580238
2.265,-0.0367072132412172
2.27,-0.0370426054092964
2.275,-0.0373814829210732
2.28,-0.037723897051177
2.285,-0.0380698997078989
2.29,-0.0384195434514433
2.295,-0.0387728815126684
2.3,-0.0391299678122653
2.305,-0.0394908569804716
2.31,-0.0398556043772265
2.315,-0.0402242661129053
2.32,-0.0405968990695256
2.325,-0.0409735609225538
2.33,-0.0413543101632422
2.335,-0.0417392061215636
2.34,-0.0421283089897392
2.345,-0.0425216798463929
2.35,-0.0429193806813386
2.355,-0.0433214744210096
2.36,-0.0437280249545992
2.365,-0.0441390971608639
2.37,-0.0445547569356621
2.375,-0.0449750712202392
2.38,-0.0454001080302541
2.385,-0.0458299364856232
2.39,-0.0462646268411561
2.395,-0.0467042505180275
2.4,-0.0471488801361278
2.405,-0.0475985895472866
2.41,-0.0480534538694237
2.415,-0.048513549521651
2.42,-0.0489789542603216
2.425,-0.0494497472161384
2.43,-0.0499260089322403
2.435,-0.0504078214034045
2.44,-0.0508952681163361
2.445,-0.0513884340910919
2.45,-0.0518874059236973
2.455,-0.0523922718299454
2.46,-0.052903121690494
2.465,-0.0534200470972129
2.47,-0.0539431414008823
2.475,-0.0544724997602585
2.48,-0.0550082191925843
2.485,-0.0555503986255262
2.49,-0.0560991389506588
2.495,-0.0566545430784896
2.5,-0.057216715995116
2.505,-0.0577857648205287
2.51,-0.0583617988686499
2.515,-0.0589449297091442
2.52,-0.0595352712310556
2.525,-0.0601329397083517
2.53,-0.0607380538674274
2.535,-0.0613507349566192
2.54,-0.0619711068178124
2.545,-0.0625992959602195
2.55,-0.0632354316363841
2.555,-0.0638796459204709
2.56,-0.0645320737889899
2.565,-0.0651928532039254
2.57,-0.0658621251984498
2.575,-0.0665400339652752
2.58,-0.0672267269476974
2.585,-0.0679223549334823
2.59,-0.0686270721516564
2.595,-0.0693410363723196
2.6,-0.070064409009547
2.605,-0.0707973552275465
2.61,-0.0715400440501341
2.615,-0.0722926484736621
2.62,-0.0730553455835215
2.625,-0.0738283166743385
2.63,-0.0746117473739929
2.635,-0.0754058277716061
2.64,-0.076210752549614
2.645,-0.0770267211201061
2.65,-0.0778539377655276
2.655,-0.078692611783964
2.66,-0.0795429576391206
2.665,-0.080405195115192
2.67,-0.0812795494767876
2.675,-0.0821662516340946
2.68,-0.0830655383134825
2.685,-0.0839776522337178
2.69,-0.0849028422880179
2.695,-0.0858413637321515
2.7,-0.086793478378816
2.705,-0.0877594547984774
2.71,-0.0887395685269845
2.715,-0.0897341022801443
2.72,-0.0907433461755503
2.725,-0.0917675979619328
2.73,-0.0928071632562803
2.735,-0.0938623557890807
2.74,-0.0949334976579296
2.745,-0.0960209195898556
2.75,-0.0971249612126933
2.755,-0.0982459713358272
2.76,-0.0993843082406654
2.765,-0.100540339981263
2.77,-0.101714444695412
2.775,-0.10290701092664
2.78,-0.104118437957565
2.785,-0.105349136154985
2.79,-0.106599527327202
2.795,-0.10787004509407
2.8,-0.109161135270205
2.805,-0.110473256261952
2.81,-0.111806879478594
2.815,-0.113162489758388
2.82,-0.11454058581003
2.825,-0.115941680670125
2.83,-0.117366302177374
2.835,-0.118814993464047
2.84,-0.120288313465554
2.845,-0.121786837448734
2.85,-0.123311157559724
2.855,-0.124861883392132
2.86,-0.126439642576369
2.865,-0.128045081391018
2.87,-0.129678865397134
2.875,-0.131341680096433
2.88,-0.133034231614343
2.885,-0.134757247408965
2.89,-0.136511477007032
2.895,-0.138297692767977
2.9,-0.140116690677305
2.905,-0.141969291170507
2.91,-0.143856339988817
2.915,-0.145778709068106
2.92,-0.14773729746245
2.925,-0.1497330323037
2.93,-0.151766869798734
2.935,-0.15383979626593
2.94,-0.155952829212602
2.945,-0.158107018455143
2.95,-0.160303447283753
2.955,-0.162543233673721
2.96,-0.164827531545235
2.965,-0.167157532073931
2.97,-0.169534465054374
2.975,-0.171959600318823
2.98,-0.174434249213743
2.985,-0.176959766136652
2.99,-0.179537550135952
2.995,-0.182169046576651
3,-0.184855748874838
