"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0388976078082974
2.005,-0.0442317519317182
2.01,-0.0522732073323604
2.015,-0.0650482863802865
2.02,-0.0863733939562948
2.025,-0.122523929779388
2.03,-0.176259406542596
2.035,-0.21684038640273
2.04,-0.193102327604755
2.045,-0.139713462218584
2.05,-0.0996558731956049
2.055,-0.0754744441252631
2.06,-0.0610509435551582
2.065,-0.0521172755973285
2.07,-0.0463357923141707
2.075,-0.0424462406236547
2.08,-0.0397458359145916
2.085,-0.0378250138189027
2.09,-0.0364345446391542
2.095,-0.0354166817351408
2.1,-0.0346680371564526
2.105,-0.0341187377387538
2.11,-0.0337202685975923
2.115,-0.0334381329926673
2.12,-0.0332472793992415
2.125,-0.0331291712188874
2.13,-0.0330698609260248
2.135,-0.0330586951358717
2.14,-0.0330874257534044
2.145,-0.033149588339525
2.15,-0.0332400598974517
2.155,-0.0333547393671272
2.16,-0.0334903134683894
2.165,-0.0336440828343647
2.17,-0.0338138313457686
2.175,-0.0339977268314129
2.18,-0.0341942448219595
2.185,-0.0344021094403031
2.19,-0.0346202471655669
2.195,-0.0348477503637871
2.2,-0.0350838482968082
2.205,-0.0353278839065906
2.21,-0.0355792950962046
2.215,-0.0358375995385899
2.22,-0.0361023822728957
2.225,-0.036373285518468
2.23,-0.0366500002643724
2.235,-0.036932259289157
2.24,-0.0372198313392952
2.245,-0.0375125162515046
2.25,-0.0378101408478585
2.255,-0.0381125554668417
2.26,-0.0384196310201593
2.265,-0.0387312564861143
2.27,-0.0390473367671468
2.275,-0.0393677908522832
2.28,-0.0396925502359742
2.285,-0.0400215575532784
2.29,-0.0403547653982705
2.295,-0.0406921352982061
2.3,-0.0410336368204668
2.305,-0.0413792467931236
2.31,-0.0417289486229756
2.315,-0.0420827316975249
2.32,-0.0424405908593536
2.325,-0.0428025259432145
2.33,-0.0431685413675358
2.335,-0.0435386457732883
2.34,-0.0439128517041597
2.345,-0.0442911753228774
2.35,-0.0446736361592177
2.355,-0.0450602568858494
2.36,-0.0454510631187263
2.365,-0.045846083239125
2.37,-0.0462453482348458
2.375,-0.0466488915584197
2.38,-0.0470567490004113
2.385,-0.0474689585761742
2.39,-0.0478855604246306
2.395,-0.0483065967177705
2.4,-0.0487321115797881
2.405,-0.0491621510148835
2.41,-0.0495967628428174
2.415,-0.0500359966415156
2.42,-0.0504799036960259
2.425,-0.0509285369532033
2.43,-0.0513819509816495
2.435,-0.0518402019363949
2.44,-0.0523033475279105
2.445,-0.0527714469951221
2.45,-0.0532445610820129
2.455,-0.0537227520176088
2.46,-0.0542060834990189
2.465,-0.0546946206773429
2.47,-0.0551884301461847
2.475,-0.0556875799326347
2.48,-0.0561921394905226
2.485,-0.0567021796958068
2.49,-0.0572177728439256
2.495,-0.0577389926490857
2.5,-0.0582659142452509
2.505,-0.0587986141888283
2.51,-0.0593371704629539
2.515,-0.0598816624832566
2.52,-0.0604321711050795
2.525,-0.0609887786320801
2.53,-0.0615515688261247
2.535,-0.0621206269185221
2.54,-0.0626960396224121
2.545,-0.063277895146417
2.55,-0.0638662832094199
2.555,-0.0644612950565049
2.56,-0.0650630234759835
2.565,-0.0656715628175358
2.57,-0.0662870090114147
2.575,-0.0669094595887261
2.58,-0.0675390137027323
2.585,-0.0681757721512304
2.59,-0.0688198373999356
2.595,-0.0694713136069218
2.6,-0.0701303066480776
2.605,-0.0707969241435889
2.61,-0.071471275485482
2.615,-0.0721534718661578
2.62,-0.0728436263080147
2.625,-0.0735418536941059
2.63,-0.0742482707998278
2.635,-0.0749629963257283
2.64,-0.0756861509313572
2.645,-0.0764178572702341
2.65,-0.0771582400259062
2.655,-0.0779074259491552
2.66,-0.0786655438963271
2.665,-0.079432724868818
2.67,-0.0802091020537716
2.675,-0.0809948108659417
2.68,-0.0817899889907994
2.685,-0.0825947764288686
2.69,-0.0834093155413571
2.695,-0.0842337510970521
2.7,-0.085068230320553
2.705,-0.0859129029418623
2.71,-0.0867679212473263
2.715,-0.0876334401320053
2.72,-0.0885096171534858
2.725,-0.0893966125871295
2.73,-0.0902945894828666
2.735,-0.091203713723496
2.74,-0.0921241540845755
2.745,-0.0930560822959076
2.75,-0.093999673104685
2.755,-0.0949551043403126
2.76,-0.0959225569809628
2.765,-0.0969022152218939
2.77,-0.0978942665455784
2.775,-0.0988989017936965
2.78,-0.099916315241006
2.785,-0.100946704671192
2.79,-0.101990271454688
2.795,-0.103047220628546
2.8,-0.104117760978401
2.805,-0.1052021051226
2.81,-0.106300469598506
2.815,-0.107413074951082
2.82,-0.108540145823781
2.825,-0.109681911051807
2.83,-0.110838603757806
2.835,-0.112010461450071
2.84,-0.113197726123282
2.845,-0.114400644361883
2.85,-0.11561946744615
2.855,-0.116854451461022
2.86,-0.118105857407745
2.865,-0.119373951318443
2.87,-0.120659004373664
2.875,-0.121961293022955
2.88,-0.123281099108609
2.885,-0.124618709992602
2.89,-0.125974418686817
2.895,-0.127348523986695
2.9,-0.128741330608299
2.905,-0.130153149328983
2.91,-0.131584297131684
2.915,-0.133035097352964
2.92,-0.134505879834911
2.925,-0.135996981080954
2.93,-0.137508744415739
2.935,-0.13904152014914
2.94,-0.140595665744542
2.945,-0.14217154599145
2.95,-0.143769533182617
2.955,-0.145390007295724
2.96,-0.147033356179796
2.965,-0.148699975746406
2.97,-0.150390270165896
2.975,-0.152104652068593
2.98,-0.153843542751304
2.985,-0.155607372389098
2.99,-0.157396580252606
2.995,-0.159211614930894
3,-0.161052934560124
