"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0488054859705132
2.005,-0.0496455887747623
2.01,-0.0505005715310403
2.015,-0.0513707571557354
2.02,-0.0522564777425532
2.025,-0.0531580748889026
2.03,-0.0540759000356628
2.035,-0.0550103148209109
2.04,-0.0559616914483432
2.045,-0.0569304130710202
2.05,-0.0579168741911993
2.055,-0.0589214810770182
2.06,-0.0599446521968479
2.065,-0.0609868186721296
2.07,-0.0620484247496944
2.075,-0.063129928294398
2.08,-0.0642318013031565
2.085,-0.0653545304414217
2.09,-0.0664986176032091
2.095,-0.0676645804958689
2.1,-0.0688529532508485
2.105,-0.0700642870617563
2.11,-0.0712991508511503
2.115,-0.0725581319674881
2.12,-0.0738418369138432
2.125,-0.0751508921100053
2.13,-0.0764859446897491
2.135,-0.0778476633350801
2.14,-0.0792367391494727
2.145,-0.0806538865721447
2.15,-0.082099844335593
2.155,-0.0835753764687182
2.16,-0.085081273348044
2.165,-0.0866183527996312
2.17,-0.0881874612545124
2.175,-0.0897894749606351
2.18,-0.0914253012543983
2.185,-0.0930958798952384
2.19,-0.0948021844667677
2.195,-0.0965452238482688
2.2,-0.0983260437606318
2.205,-0.100145728390975
2.21,-0.102005402100593
2.215,-0.10390623122107
2.22,-0.105849425943812
2.225,-0.107836242308499
2.23,-0.10986798429645
2.235,-0.111946006035163
2.24,-0.114071714120836
2.245,-0.116246570066073
2.25,-0.118472092880478
2.255,-0.12074986179243
2.26,-0.123081519120821
2.265,-0.125468773306261
2.27,-0.127913402111844
2.275,-0.130417256004348
2.28,-0.132982261727463
2.285,-0.135610426079605
2.29,-0.138303839909594
2.295,-0.141064682344689
2.3,-0.143895225266351
2.305,-0.146797838050363
2.31,-0.14977499258917
2.315,-0.152829268615663
2.32,-0.155963359349056
2.325,-0.159180077485195
2.33,-0.162482361555297
2.335,-0.165873282679025
2.34,-0.169356051739883
2.345,-0.172934027013106
2.35,-0.176610722278687
2.355,-0.180389815454793
2.36,-0.184275157789752
2.365,-0.188270783653888
2.37,-0.192380920975969
2.375,-0.196610002372775
2.38,-0.200962677024343
2.385,-0.205443823352036
2.39,-0.210058562561403
2.395,-0.214812273117231
2.4,-0.219710606224124
2.405,-0.224759502392323
2.41,-0.22996520917571
2.415,-0.235334300176697
2.42,-0.24087369542129
2.425,-0.246590683217128
2.43,-0.252492943617698
2.435,-0.258588573627424
2.44,-0.264886114294998
2.445,-0.271394579856398
2.45,-0.278123489104437
2.455,-0.285082899178861
2.46,-0.292283441990021
2.465,-0.299736363510086
2.47,-0.307453566189183
2.475,-0.315447654779638
2.48,-0.323731985880403
2.485,-0.33232072154564
2.49,-0.34122888733719
2.495,-0.350472435240288
2.5,-0.360068311906344
2.505,-0.370034532735959
2.51,-0.380390262370858
2.515,-0.391155902225223
2.52,-0.402353185756351
2.525,-0.41400528225242
2.53,-0.426136910002372
2.535,-0.43877445981122
2.54,-0.451946129934464
2.545,-0.465682073629658
2.55,-0.480014560663564
2.555,-0.494978154271523
2.56,-0.510609905244713
2.565,-0.52694956502343
2.57,-0.544039819903843
2.575,-0.561926548725912
2.58,-0.580659106705417
2.585,-0.600290638409081
2.59,-0.620878423253863
2.595,-0.642484257347426
2.6,-0.665174875984003
2.605,-0.689022421678106
2.61,-0.714104963268861
2.615,-0.740507072372717
2.62,-0.768320464317092
2.625,-0.79764471166977
2.63,-0.82858803960905
2.635,-0.861268213682018
2.64,-0.89581353200174
2.645,-0.932363935672042
2.65,-0.971072253241326
2.655,-1.01210559732195
2.66,-1.05564693422632
2.665,-1.10189685063272
2.67,-1.15107554498564
2.675,-1.20342507565662
2.68,-1.25921190296242
2.685,-1.31872976810826
2.69,-1.38230295917688
2.695,-1.45029002264958
2.7,-1.5230879889116
2.705,-1.60113719212844
2.71,-1.68492677925446
2.715,-1.77500102036683
2.72,-1.87196655381847
2.725,-1.97650072595855
2.73,-2.08936121785025
2.735,-2.21139719253781
2.74,-2.34356224878537
2.745,-2.4869295347738
2.75,-2.64270946362659
2.755,-2.81227058995624
2.76,-2.99716436472974
2.765,-3.19915470215132
2.77,-3.42025359314802
2.775,-3.66276442511421
2.78,-3.9293352778412
2.785,-4.22302535628434
2.79,-4.5473890433356
2.795,-4.90658405534605
2.8,-5.3055132665103
2.805,-5.75001462783684
2.81,-6.24712145741469
2.815,-6.80542842869539
2.82,-7.43562100641556
2.825,-8.15126613690376
2.83,-8.9700369334703
2.835,-9.91569220391967
2.84,-11.0214445305029
2.845,-12.3360678722597
2.85,-13.9359189123965
2.855,-15.9513511669845
2.86,-18.6345880771563
2.865,-22.5819270604115
2.87,-29.8342109728759
2.875,-34.6950903631016
2.88,-24.6649090403783
2.885,-19.9226661919763
2.89,-16.890878333341
2.895,-14.6830989928927
2.9,-12.962904661207
2.905,-11.5668314992168
2.91,-10.402899028444
2.915,-9.41400921393855
2.92,-8.56211401616614
2.925,-7.82045914095315
2.93,-7.16942219223766
2.935,-6.5941180362835
2.94,-6.08294220572351
2.945,-5.62664344228172
2.95,-5.217709884973
2.955,-4.84994901568859
2.96,-4.51819159633335
2.965,-4.2180774309883
2.97,-3.94589662667375
2.975,-3.69846944407811
2.98,-3.47305360171126
2.985,-3.26727152942992
2.99,-3.07905240731557
2.995,-2.90658536530417
3,-2.74828125135701
