"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.037445180655857
2.005,-0.0380638770869956
2.01,-0.0386974400825941
2.015,-0.0393461628357649
2.02,-0.0400103504045646
2.025,-0.0406903201664478
2.03,-0.0413864022943764
2.035,-0.0420989402557609
2.04,-0.0428282913354149
2.045,-0.0435748271838506
2.05,-0.0443389343922985
2.055,-0.0451210150959108
2.06,-0.0459214876067085
2.065,-0.0467407870779106
2.07,-0.0475793662014392
2.075,-0.0484376959404567
2.08,-0.0493162662988889
2.085,-0.0502155871301398
2.09,-0.0511361889871513
2.095,-0.0520786240163041
2.1,-0.0530434668976633
2.105,-0.0540313158343185
2.11,-0.0550427935937527
2.115,-0.0560785486043058
2.12,-0.0571392561100953
2.125,-0.0582256193879238
2.13,-0.0593383710299555
2.135,-0.0604782742962204
2.14,-0.0616461245412918
2.145,-0.0628427507197486
2.15,-0.0640690169754045
2.155,-0.0653258243196287
2.16,-0.0666141124044285
2.165,-0.0679348613964452
2.17,-0.0692890939583857
2.175,-0.0706778773449471
2.18,-0.0721023256207853
2.185,-0.0735636020086405
2.19,-0.0750629213763817
2.195,-0.0766015528723214
2.2,-0.0781808227189359
2.205,-0.0798021171758746
2.21,-0.0814668856839865
2.215,-0.0831766442030295
2.22,-0.084932978756661
2.225,-0.0867375491995171
2.23,-0.0885920932222303
2.235,-0.0904984306116152
2.24,-0.0924584677846243
2.245,-0.0944742026162027
2.25,-0.09654772958284
2.255,-0.0986812452454808
2.26,-0.100877054097363
2.265,-0.103137574804657
2.27,-0.105465346870046
2.275,-0.107863037752093
2.28,-0.11033345047612
2.285,-0.112879531775336
2.29,-0.115504380804642
2.295,-0.118211258473142
2.3,-0.121003597445681
2.305,-0.123885012868331
2.31,-0.126859313877796
2.315,-0.129930515960361
2.32,-0.133102854232129
2.325,-0.136380797719231
2.33,-0.139769064724148
2.335,-0.143272639372752
2.34,-0.146896789445899
2.345,-0.150647085609744
2.35,-0.15452942217034
2.355,-0.158550039490816
2.36,-0.162715548223617
2.365,-0.167032955525923
2.37,-0.171509693444034
2.375,-0.176153649672099
2.38,-0.180973200912392
2.385,-0.185977249088907
2.39,-0.191175260693545
2.395,-0.196577309574768
2.4,-0.202194123513321
2.405,-0.20803713496833
2.41,-0.214118536420836
2.415,-0.220451340790975
2.42,-0.227049447460641
2.425,-0.233927714496126
2.43,-0.24110203773614
2.435,-0.248589437491105
2.44,-0.256408153690511
2.445,-0.264577750418822
2.45,-0.273119230897932
2.455,-0.282055164108263
2.46,-0.291409824393416
2.465,-0.301209345567855
2.47,-0.311481891246795
2.475,-0.32225784334621
2.48,-0.333570010963439
2.485,-0.345453862150392
2.49,-0.357947781438697
2.495,-0.371093356376305
2.5,-0.384935696797472
2.505,-0.399523791082542
2.51,-0.41491090428373
2.515,-0.431155023711997
2.52,-0.448319358416313
2.525,-0.466472899960388
2.53,-0.485691053038135
2.535,-0.506056345797478
2.54,-0.527659231297329
2.545,-0.550598993347651
2.55,-0.574984772127273
2.555,-0.600936727500376
2.56,-0.628587360933029
2.565,-0.658083020434814
2.57,-0.689585617124475
2.575,-0.723274586972578
2.58,-0.759349137166179
2.585,-0.798030823562694
2.59,-0.839566514087199
2.595,-0.88423180296705
2.6,-0.932334952742894
2.605,-0.984221455482766
2.61,-1.04027932209634
2.615,-1.10094522977381
2.62,-1.16671168320585
2.625,-1.23813537644753
2.63,-1.31584698044103
2.635,-1.40056262807827
2.64,-1.49309742658795
2.645,-1.59438139906294
2.65,-1.70547834729959
2.655,-1.82760824260482
2.66,-1.96217389805
2.665,-2.11079286667367
2.67,-2.27533576288777
2.675,-2.45797254527072
2.68,-2.66122876876059
2.685,-2.88805447687105
2.69,-3.14190936190372
2.695,-3.42686923866135
2.7,-3.74776102766572
2.705,-4.11033678462261
2.71,-4.52150262409189
2.715,-4.98962702494051
2.72,-5.52496739015484
2.725,-6.14027827537906
2.73,-6.85170766878591
2.735,-7.68016499217936
2.74,-8.6534870667038
2.745,-9.80999502035144
2.75,-11.2045195249119
2.755,-12.9186660739231
2.76,-15.0763958924445
2.765,-17.8465776887163
2.77,-21.2084192059245
2.775,-23.1962882134495
2.78,-20.9060812747448
2.785,-17.6027709569365
2.79,-14.928064933588
2.795,-12.8475646780065
2.8,-11.1942713308012
2.805,-9.84886357488497
2.81,-8.73282313535559
2.815,-7.79324114552126
2.82,-6.99305109575363
2.825,-6.30529912267583
2.83,-5.70974598128852
2.835,-5.19078492533415
2.84,-4.73611791003967
2.845,-4.33588280799647
2.85,-3.98205799947321
2.855,-3.66804325385414
2.86,-3.3883562538195
2.865,-3.13840729225779
2.87,-2.91432832778514
2.875,-2.71284084340645
2.88,-2.53115207414606
2.885,-2.36687242348076
2.89,-2.21794900600383
2.895,-2.0826116647283
2.9,-1.95932877367207
2.905,-1.84677080755099
2.91,-1.74378013878032
2.915,-1.64934586989746
2.92,-1.5625827672835
2.925,-1.4827135562533
2.93,-1.40905398605741
2.935,-1.34100018833532
2.94,-1.27801794262445
2.945,-1.21963353375128
2.95,-1.16542594271814
2.955,-1.11502015830117
2.96,-1.0680814334207
2.965,-1.02431034027681
2.97,-0.983438502673767
2.975,-0.945224903981342
2.98,-0.909452685658258
2.985,-0.875926364866807
2.99,-0.844469410976941
2.995,-0.814922130120508
3,-0.787139814757021
