"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.891112049487002
2.005,-0.747046405857433
2.01,-0.633848847934901
2.015,-0.543925630831285
2.02,-0.471713575957946
2.025,-0.41311691718804
2.03,-0.365096507060331
2.035,-0.325376218229733
2.04,-0.292234465471725
2.045,-0.264356039057589
2.05,-0.240726277893867
2.055,-0.220554935440973
2.06,-0.203220943343825
2.065,-0.188231973846945
2.07,-0.175194562356804
2.075,-0.163791829212384
2.08,-0.15376671808515
2.085,-0.144909274764311
2.09,-0.137046911176759
2.095,-0.130036894040236
2.1,-0.1237605051934
2.105,-0.11811846821799
2.11,-0.113027341709761
2.115,-0.108416655943272
2.12,-0.104226625305252
2.125,-0.100406309701502
2.13,-0.0969121283405681
2.135,-0.0937066517973634
2.14,-0.0907576151441098
2.145,-0.0880371076935311
2.15,-0.0855209046027537
2.155,-0.0831879130139803
2.16,-0.0810197111286079
2.165,-0.0790001630432433
2.17,-0.0771150956288116
2.175,-0.0753520264387991
2.18,-0.0736999337625071
2.185,-0.0721490616247558
2.19,-0.0706907538740654
2.195,-0.0693173125722118
2.2,-0.0680218767576442
2.205,-0.0667983183478918
2.21,-0.0656411525068989
2.215,-0.0645454602586688
2.22,-0.0635068215003391
2.225,-0.0625212568720683
2.23,-0.0615851771910821
2.235,-0.0606953393634526
2.24,-0.0598488078577276
2.245,-0.0590429209660225
2.25,-0.0582752611961256
2.255,-0.0575436292365534
2.26,-0.0568460210188989
2.265,-0.0561806074710818
2.27,-0.0555457166134586
2.275,-0.0549398176988701
2.28,-0.0543615071395589
2.285,-0.0538094959990853
2.29,-0.0532825988576706
2.295,-0.0527797238848947
2.3,-0.0522998639757287
2.305,-0.051842088824617
2.31,-0.0514055378285221
2.315,-0.050989413723658
2.32,-0.0505929768726511
2.325,-0.0502155401291793
2.33,-0.0498564642161095
2.335,-0.0495151535608797
2.34,-0.0491910525386166
2.345,-0.0488836420793653
2.35,-0.0485924366008458
2.355,-0.0483169812327318
2.36,-0.0480568493022007
2.365,-0.0478116400540311
2.37,-0.0475809765814921
2.375,-0.0473645039468686
2.38,-0.0471618874728189
2.385,-0.0469728111878043
2.39,-0.0467969764105806
2.395,-0.0466341004604501
2.4,-0.0464839154812038
2.405,-0.0463461673681186
2.41,-0.0462206147883488
2.415,-0.0461070282860985
2.42,-0.0460051894648026
2.425,-0.04591489023937
2.43,-0.0458359321521734
2.435,-0.0457681257471478
2.44,-0.0457112899968728
2.445,-0.0456652517780404
2.45,-0.0456298453911198
2.455,-0.045604912120467
2.46,-0.0455902998314592
2.465,-0.0455858626015419
2.47,-0.0455914603824139
2.475,-0.0456069586907786
2.48,-0.0456322283253561
2.485,-0.045667145108064
2.49,-0.0457115896474386
2.495,-0.0457654471225802
2.5,-0.0458286070860016
2.505,-0.0459009632839907
2.51,-0.0459824134931122
2.515,-0.046072859371706
2.52,-0.0461722063252335
2.525,-0.0462803633845199
2.53,-0.0463972430959451
2.535,-0.0465227614227817
2.54,-0.0466568376568792
2.545,-0.0467993943400355
2.55,-0.0469503571943991
2.555,-0.0471096550613302
2.56,-0.0472772198481729
2.565,-0.0474529864824846
2.57,-0.0476368928732261
2.575,-0.0478288798785851
2.58,-0.0480288912799625
2.585,-0.0482368737618839
2.59,-0.0484527768974419
2.595,-0.0486765531390599
2.6,-0.0489081578142537
2.605,-0.0491475491262309
2.61,-0.049394688159034
2.615,-0.0496495388871168
2.62,-0.0499120681891153
2.625,-0.0501822458657017
2.63,-0.0504600446613403
2.635,-0.050745440289878
2.64,-0.051038411463779
2.645,-0.0513389399269655
2.65,-0.0516470104911604
2.655,-0.0519626110756321
2.66,-0.052285732750308
2.665,-0.0526163697821786
2.67,-0.0529545196849439
2.675,-0.0533001832718706
2.68,-0.0536533647118357
2.685,-0.0540140715885055
2.69,-0.0543823149626683
2.695,-0.0547581094376945
2.7,-0.0551414732281036
2.705,-0.0555324282312681
2.71,-0.0559310001022763
2.715,-0.0563372183319057
2.72,-0.056751116327813
2.725,-0.0571727314988967
2.73,-0.0576021053428892
2.735,-0.0580392835372498
2.74,-0.0584843160333255
2.745,-0.0589372571538846
2.75,-0.0593981656940739
2.755,-0.0598671050258123
2.76,-0.0603441432057185
2.765,-0.060829353086632
2.77,-0.0613228124327833
2.775,-0.0618246040386934
2.78,-0.0623348158518955
2.785,-0.0628535410995358
2.79,-0.063380878418965
2.795,-0.0639169319923913
2.8,-0.0644618116857063
2.805,-0.0650156331915767
2.81,-0.0655785181769296
2.815,-0.0661505944348759
2.82,-0.0667319960413006
2.825,-0.0673228635160982
2.83,-0.0679233439893088
2.835,-0.068533591372207
2.84,-0.069153766533478
2.845,-0.0697840374806849
2.85,-0.0704245795470801
2.855,-0.0710755755839918
2.86,-0.0717372161588952
2.865,-0.0724096997593365
2.87,-0.0730932330028984
2.875,-0.0737880308533566
2.88,-0.0744943168432013
2.885,-0.0752123233027386
2.89,-0.0759422915959479
2.895,-0.0766844723632701
2.9,-0.0774391257715758
2.905,-0.0782065217714912
2.91,-0.0789869403623053
2.915,-0.079780671864713
2.92,-0.080588017201575
2.925,-0.0814092881870011
2.93,-0.0822448078239276
2.935,-0.0830949106105454
2.94,-0.0839599428557364
2.945,-0.0848402630038847
2.95,-0.0857362419692897
2.955,-0.0866482634804967
2.96,-0.0875767244348503
2.965,-0.0885220352635632
2.97,-0.0894846203076501
2.975,-0.0904649182050424
2.98,-0.0914633822892303
2.985,-0.092480480999782
2.99,-0.09351669830512
2.995,-0.0945725341379319
3,-0.0956485048435821
