"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.240565325936191
2.005,-0.240565325936191
2.01,-0.240565325936191
2.015,-0.240565325936191
2.02,-0.240565325936191
2.025,-0.240565325936191
2.03,-0.240565325936191
2.035,-0.240565325936191
2.04,-0.240565325936191
2.045,-0.240565325936191
2.05,-0.240565325936191
2.055,-0.240565325936191
2.06,-0.240565325936191
2.065,-0.240565325936191
2.07,-0.240565325936191
2.075,-0.240565325936191
2.08,-0.240565325936191
2.085,-0.240565325936191
2.09,-0.240565325936191
2.095,-0.240565325936191
2.1,-0.240565325936191
2.105,-0.240565325936191
2.11,-0.240565325936191
2.115,-0.240565325936191
2.12,-0.240565325936191
2.125,-0.240565325936191
2.13,-0.240565325936191
2.135,-0.240565325936191
2.14,-0.240565325936191
2.145,-0.240565325936191
2.15,-0.240565325936191
2.155,-0.240565325936191
2.16,-0.240565325936191
2.165,-0.240565325936191
2.17,-0.240565325936191
2.175,-0.240565325936191
2.18,-0.240565325936191
2.185,-0.240565325936191
2.19,-0.240565325936191
2.195,-0.240565325936191
2.2,-0.240565325936191
2.205,-0.240565325936191
2.21,-0.240565325936191
2.215,-0.240565325936191
2.22,-0.240565325936191
2.225,-0.240565325936191
2.23,-0.240565325936191
2.235,-0.240565325936191
2.24,-0.240565325936191
2.245,-0.240565325936191
2.25,-0.240565325936191
2.255,-0.240565325936191
2.26,-0.240565325936191
2.265,-0.240565325936191
2.27,-0.240565325936191
2.275,-0.240565325936191
2.28,-0.240565325936191
2.285,-0.240565325936191
2.29,-0.240565325936191
2.295,-0.240565325936191
2.3,-0.240565325936191
2.305,-0.240565325936191
2.31,-0.240565325936191
2.315,-0.240565325936191
2.32,-0.240565325936191
2.325,-0.240565325936191
2.33,-0.240565325936191
2.335,-0.240565325936191
2.34,-0.240565325936191
2.345,-0.240565325936191
2.35,-0.240565325936191
2.355,-0.240565325936191
2.36,-0.240565325936191
2.365,-0.240565325936191
2.37,-0.240565325936191
2.375,-0.240565325936191
2.38,-0.240565325936191
2.385,-0.240565325936191
2.39,-0.240565325936191
2.395,-0.240565325936191
2.4,-0.240565325936191
2.405,-0.240565325936191
2.41,-0.240565325936191
2.415,-0.240565325936191
2.42,-0.240565325936191
2.425,-0.240565325936191
2.43,-0.240565325936191
2.435,-0.240565325936191
2.44,-0.240565325936191
2.445,-0.240565325936191
2.45,-0.240565325936191
2.455,-0.240565325936191
2.46,-0.240565325936191
2.465,-0.240565325936191
2.47,-0.240565325936191
2.475,-0.240565325936191
2.48,-0.240565325936191
2.485,-0.240565325936191
2.49,-0.240565325936191
2.495,-0.240565325936191
2.5,-0.240565325936191
2.505,-0.240565325936191
2.51,-0.240565325936191
2.515,-0.240565325936191
2.52,-0.240565325936191
2.525,-0.240565325936191
2.53,-0.240565325936191
2.535,-0.240565325936191
2.54,-0.240565325936191
2.545,-0.240565325936191
2.55,-0.240565325936191
2.555,-0.240565325936191
2.56,-0.240565325936191
2.565,-0.240565325936191
2.57,-0.240565325936191
2.575,-0.240565325936191
2.58,-0.240565325936191
2.585,-0.240565325936191
2.59,-0.240565325936191
2.595,-0.240565325936191
2.6,-0.240565325936191
2.605,-0.240565325936191
2.61,-0.240565325936191
2.615,-0.240565325936191
2.62,-0.240565325936191
2.625,-0.240565325936191
2.63,-0.240565325936191
2.635,-0.240565325936191
2.64,-0.240565325936191
2.645,-0.240565325936191
2.65,-0.240565325936191
2.655,-0.240565325936191
2.66,-0.240565325936191
2.665,-0.240565325936191
2.67,-0.240565325936191
2.675,-0.240565325936191
2.68,-0.240565325936191
2.685,-0.240565325936191
2.69,-0.240565325936191
2.695,-0.240565325936191
2.7,-0.240565325936191
2.705,-0.240565325936191
2.71,-0.240565325936191
2.715,-0.240565325936191
2.72,-0.240565325936191
2.725,-0.240565325936191
2.73,-0.240565325936191
2.735,-0.240565325936191
2.74,-0.240565325936191
2.745,-0.240565325936191
2.75,-0.240565325936191
2.755,-0.240565325936191
2.76,-0.240565325936191
2.765,-0.240565325936191
2.77,-0.240565325936191
2.775,-0.240565325936191
2.78,-0.240565325936191
2.785,-0.240565325936191
2.79,-0.240565325936191
2.795,-0.240565325936191
2.8,-0.240565325936191
2.805,-0.240565325936191
2.81,-0.240565325936191
2.815,-0.240565325936191
2.82,-0.240565325936191
2.825,-0.240565325936191
2.83,-0.240565325936191
2.835,-0.240565325936191
2.84,-0.240565325936191
2.845,-0.240565325936191
2.85,-0.240565325936191
2.855,-0.240565325936191
2.86,-0.240565325936191
2.865,-0.240565325936191
2.87,-0.240565325936191
2.875,-0.240565325936191
2.88,-0.240565325936191
2.885,-0.240565325936191
2.89,-0.240565325936191
2.895,-0.240565325936191
2.9,-0.240565325936191
2.905,-0.240565325936191
2.91,-0.240565325936191
2.915,-0.240565325936191
2.92,-0.240565325936191
2.925,-0.240565325936191
2.93,-0.240565325936191
2.935,-0.240565325936191
2.94,-0.240565325936191
2.945,-0.240565325936191
2.95,-0.240565325936191
2.955,-0.240565325936191
2.96,-0.240565325936191
2.965,-0.240565325936191
2.97,-0.240565325936191
2.975,-0.240565325936191
2.98,-0.240565325936191
2.985,-0.240565325936191
2.99,-0.240565325936191
2.995,-0.240565325936191
3,-0.240565325936191
