"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0196611235410271
2.005,-0.0197852976538158
2.01,-0.0199098338805352
2.015,-0.0200347420621733
2.02,-0.0201600319713641
2.025,-0.0202857133137585
2.03,-0.0204117957294088
2.035,-0.020538288794116
2.04,-0.0206652020208069
2.045,-0.0207925448608852
2.05,-0.0209203267055941
2.055,-0.0210485568873693
2.06,-0.0211772446811915
2.065,-0.0213063993059445
2.07,-0.0214360299257448
2.075,-0.0215661456513214
2.08,-0.0216967555413303
2.085,-0.0218278686037299
2.09,-0.0219594937971039
2.095,-0.0220916400320264
2.1,-0.0222243161723984
2.105,-0.022357531036799
2.11,-0.0224912933998366
2.115,-0.0226256119934828
2.12,-0.0227604955084431
2.125,-0.0228959525954972
2.13,-0.0230319918668593
2.135,-0.0231686218975244
2.14,-0.023305851226631
2.145,-0.0234436883588303
2.15,-0.023582141765637
2.155,-0.0237212198868072
2.16,-0.0238609311316951
2.165,-0.0240012838806407
2.17,-0.0241422864863446
2.175,-0.0242839472752445
2.18,-0.0244262745489037
2.185,-0.0245692765854025
2.19,-0.0247129616407367
2.195,-0.0248573379502124
2.2,-0.0250024137298597
2.205,-0.0251481971778367
2.21,-0.0252946964758607
2.215,-0.0254419197906078
2.22,-0.0255898752751741
2.225,-0.0257385710704857
2.23,-0.025888015306758
2.235,-0.0260382161049394
2.24,-0.0261891815781748
2.245,-0.0263409198332669
2.25,-0.0264934389721492
2.255,-0.0266467470933715
2.26,-0.0268008522935844
2.265,-0.0269557626690416
2.27,-0.0271114863171116
2.275,-0.0272680313377741
2.28,-0.0274254058351727
2.285,-0.0275836179191234
2.29,-0.0277426757066764
2.295,-0.0279025873236639
2.3,-0.0280633609062701
2.305,-0.0282250046025942
2.31,-0.0283875265742389
2.315,-0.0285509349979236
2.32,-0.028715238067066
2.325,-0.0288804439934212
2.33,-0.0290465610087013
2.335,-0.0292135973662197
2.34,-0.0293815613425452
2.345,-0.0295504612391718
2.35,-0.0297203053841949
2.355,-0.0298911021340036
2.36,-0.0300628598749805
2.365,-0.0302355870252333
2.37,-0.0304092920363106
2.375,-0.0305839833949552
2.38,-0.0307596696248674
2.385,-0.0309363592884694
2.39,-0.0311140609887003
2.395,-0.0312927833708121
2.4,-0.031472535124197
2.405,-0.0316533249842136
2.41,-0.0318351617340312
2.415,-0.032018054206508
2.42,-0.032202011286056
2.425,-0.0323870419105487
2.43,-0.0325731550732225
2.435,-0.0327603598246207
2.44,-0.0329486652745226
2.445,-0.0331380805939208
2.45,-0.0333286150170004
2.455,-0.0335202778431298
2.46,-0.0337130784388837
2.465,-0.0339070262400797
2.47,-0.0341021307538293
2.475,-0.0342984015606022
2.48,-0.0344958483163362
2.485,-0.0346944807545315
2.49,-0.0348943086883856
2.495,-0.0350953420129439
2.5,-0.0352975907072762
2.505,-0.0355010648366496
2.51,-0.0357057745547616
2.515,-0.0359117301059562
2.52,-0.0361189418274785
2.525,-0.0363274201517555
2.53,-0.0365371756086936
2.535,-0.0367482188279909
2.54,-0.0369605605414753
2.545,-0.0371742115854752
2.55,-0.0373891829032068
2.555,-0.0376054855471732
2.56,-0.0378231306816042
2.565,-0.0380421295849127
2.57,-0.0382624936521754
2.575,-0.03848423439763
2.58,-0.0387073634572167
2.585,-0.0389318925911238
2.59,-0.0391578336863664
2.595,-0.0393851987594025
2.6,-0.0396139999587408
2.605,-0.03984424956763
2.61,-0.040075960006712
2.615,-0.0403091438367454
2.62,-0.0405438137613456
2.625,-0.0407799826297429
2.63,-0.0410176634395767
2.635,-0.0412568693397149
2.64,-0.0414976136331026
2.645,-0.0417399097796407
2.65,-0.041983771399087
2.655,-0.0422292122740033
2.66,-0.0424762463526999
2.665,-0.0427248877522511
2.67,-0.0429751507615124
2.675,-0.0432270498441695
2.68,-0.0434805996418399
2.685,-0.0437358149771727
2.69,-0.0439927108570148
2.695,-0.0442513024755884
2.7,-0.0445116052176893
2.705,-0.0447736346619643
2.71,-0.0450374065841599
2.715,-0.0453029369604627
2.72,-0.0455702419708151
2.725,-0.0458393380023319
2.73,-0.0461102416526944
2.735,-0.0463829697336036
2.74,-0.0466575392742646
2.745,-0.0469339675249185
2.75,-0.0472122719603857
2.755,-0.0474924702836712
2.76,-0.0477745804295969
2.765,-0.048058620568455
2.77,-0.0483446091097234
2.775,-0.0486325647058081
2.78,-0.0489225062558238
2.785,-0.0492144529094218
2.79,-0.0495084240706341
2.795,-0.0498044394017863
2.8,-0.0501025188274228
2.805,-0.0504026825382999
2.81,-0.0507049509954043
2.815,-0.0510093449339987
2.82,-0.051315885367746
2.825,-0.0516245935928395
2.83,-0.051935491192191
2.835,-0.0522486000396714
2.84,-0.0525639423043729
2.845,-0.0528815404549261
2.85,-0.0532014172638711
2.855,-0.0535235958120492
2.86,-0.0538480994930675
2.865,-0.0541749520177869
2.87,-0.0545041774188628
2.875,-0.0548358000553378
2.88,-0.0551698446172803
2.885,-0.0555063361304516
2.89,-0.0558452999610567
2.895,-0.0561867618205074
2.9,-0.0565307477702531
2.905,-0.056877284226665
2.91,-0.057226397965945
2.915,-0.0575781161291196
2.92,-0.0579324662270532
2.925,-0.0582894761455317
2.93,-0.0586491741503871
2.935,-0.0590115888926868
2.94,-0.0593767494139511
2.945,-0.0597446851514537
2.95,-0.0601154259435564
2.955,-0.0604890020351057
2.96,-0.0608654440828678
2.965,-0.0612447831610481
2.97,-0.0616270507668417
2.975,-0.0620122788260448
2.98,-0.0624004996987321
2.985,-0.0627917461849771
2.99,-0.0631860515306447
2.995,-0.063583449433228
3,-0.0639839740477529
