"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0413478780462283
2.005,-0.0419199228388369
2.01,-0.0424998492384533
2.015,-0.043087738256163
2.02,-0.0436836736927337
2.025,-0.0442877421946902
2.03,-0.0449000333120803
2.035,-0.0455206395579504
2.04,-0.0461496564696247
2.045,-0.0467871826718119
2.05,-0.0474333199415947
2.055,-0.0480881732753475
2.06,-0.0487518509577029
2.065,-0.0494244646325061
2.07,-0.0501061293759514
2.075,-0.0507969637718777
2.08,-0.0514970899893005
2.085,-0.0522066338622935
2.09,-0.0529257249722464
2.095,-0.0536544967325787
2.1,-0.0543930864760162
2.105,-0.0551416355444636
2.11,-0.0559002893816134
2.115,-0.056669197628305
2.12,-0.0574485142207908
2.125,-0.0582383974919736
2.13,-0.0590390102756863
2.135,-0.0598505200141628
2.14,-0.0606730988687643
2.145,-0.061506923834086
2.15,-0.0623521768555586
2.155,-0.0632090449506333
2.16,-0.064077720333719
2.165,-0.0649584005449458
2.17,-0.0658512885829127
2.175,-0.0667565930415659
2.18,-0.0676745282512903
2.185,-0.0686053144244536
2.19,-0.0695491778054644
2.195,-0.0705063508255484
2.2,-0.0714770722624062
2.205,-0.0724615874049029
2.21,-0.0734601482229936
2.215,-0.0744730135430439
2.22,-0.0755004492287571
2.225,-0.0765427283678926
2.23,-0.0776001314650064
2.235,-0.0786729466404034
2.24,-0.0797614698355495
2.245,-0.0808660050251747
2.25,-0.081986864436295
2.255,-0.0831243687744477
2.26,-0.0842788474573611
2.265,-0.0854506388563762
2.27,-0.0866400905458905
2.275,-0.0878475595611223
2.28,-0.0890734126645271
2.285,-0.0903180266212002
2.29,-0.091581788483575
2.295,-0.0928650958858151
2.3,-0.0941683573482617
2.305,-0.0954919925923103
2.31,-0.0968364328661715
2.315,-0.0982021212818839
2.32,-0.0995895131640689
2.325,-0.10099907641088
2.33,-0.102431291867649
2.335,-0.103886653713704
2.34,-0.10536566986293
2.345,-0.106868862378624
2.35,-0.108396767903202
2.355,-0.109949938103406
2.36,-0.11152894013163
2.365,-0.11313435710404
2.37,-0.114766788596195
2.375,-0.116426851156883
2.38,-0.118115178840989
2.385,-0.119832423762149
2.39,-0.121579256666069
2.395,-0.123356367525399
2.4,-0.125164466157059
2.405,-0.127004282863054
2.41,-0.128876569095725
2.415,-0.130782098148591
2.42,-0.132721665873846
2.425,-0.134696091427748
2.43,-0.136706218045093
2.435,-0.138752913844147
2.44,-0.140837072663329
2.445,-0.142959614931193
2.45,-0.145121488571118
2.455,-0.14732366994238
2.46,-0.149567164819275
2.465,-0.151853009410029
2.47,-0.154182271417382
2.475,-0.156556051142814
2.48,-0.158975482636445
2.485,-0.161441734894802
2.49,-0.163956013108762
2.495,-0.166519559964017
2.5,-0.169133656996708
2.505,-0.171799626006789
2.51,-0.174518830532059
2.515,-0.177292677385772
2.52,-0.18012261826101
2.525,-0.183010151405126
2.53,-0.185956823367779
2.535,-0.188964230826266
2.54,-0.192034022492047
2.545,-0.195167901102628
2.55,-0.19836762550317
2.555,-0.20163501282243
2.56,-0.204971940747956
2.565,-0.208380349905675
2.57,-0.211862246349384
2.575,-0.21541970416593
2.58,-0.219054868202191
2.585,-0.222769956920423
2.59,-0.226567265388771
2.595,-0.230449168414333
2.6,-0.234418123826464
2.605,-0.238476675918511
2.61,-0.242627459056747
2.615,-0.24687320146567
2.62,-0.251216729199513
2.625,-0.255660970310325
2.63,-0.260208959223723
2.635,-0.264863841334018
2.64,-0.269628877831166
2.645,-0.274507450772857
2.65,-0.279503068415764
2.655,-0.284619370820971
2.66,-0.289860135749522
2.665,-0.295229284865021
2.67,-0.300730890261365
2.675,-0.306369181334803
2.68,-0.312148552020795
2.685,-0.318073568417465
2.69,-0.324148976818891
2.695,-0.33037971218295
2.7,-0.336770907060176
2.705,-0.34332790101169
2.71,-0.350056250546302
2.715,-0.356961739608764
2.72,-0.364050390653367
2.725,-0.371328476339388
2.73,-0.37880253188732
2.735,-0.386479368137496
2.74,-0.39436608535558
2.745,-0.402470087832357
2.75,-0.410799099328628
2.755,-0.419361179419412
2.76,-0.428164740795469
2.765,-0.43721856758416
2.77,-0.446531834755932
2.775,-0.456114128687435
2.78,-0.465975468957106
2.785,-0.476126331454463
2.79,-0.48657767289002
2.795,-0.497340956798815
2.8,-0.508428181137125
2.805,-0.519851907578887
2.81,-0.531625292626003
2.815,-0.543762120654509
2.82,-0.556276839027473
2.825,-0.569184595414498
2.83,-0.582501277467663
2.835,-0.596243555014331
2.84,-0.610428924938353
2.845,-0.625075758933476
2.85,-0.640203354325414
2.855,-0.655831988172859
2.86,-0.671982974872316
2.865,-0.688678727507128
2.87,-0.705942823197706
2.875,-0.723800072727448
2.88,-0.742276594737505
2.885,-0.761399894803317
2.89,-0.781198949726632
2.895,-0.801704297398778
2.9,-0.822948132614129
2.905,-0.844964409237032
2.91,-0.867788949150945
2.915,-0.891459558445154
2.92,-0.916016151322153
2.925,-0.941500882237395
2.93,-0.967958286812778
2.935,-0.995435432095576
2.94,-1.02398207676541
2.945,-1.05365084192322
2.95,-1.08449739312773
2.955,-1.11658063437579
2.96,-1.14996291475399
2.965,-1.18471024851803
2.97,-1.22089254938449
2.975,-1.25858387984499
2.98,-1.2978627163356
2.985,-1.33881223111275
2.99,-1.38152059170128
2.995,-1.42608127878804
3,-1.47259342343606
