"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0197339020669687
2.005,-0.0199271549313035
2.01,-0.020122938447504
2.015,-0.0203212960771806
2.02,-0.0205222722817955
2.025,-0.020725912549419
2.03,-0.0209322634223514
2.035,-0.0211413725256612
2.04,-0.0213532885966421
2.045,-0.0215680615152634
2.05,-0.0217857423356212
2.055,-0.0220063833184311
2.06,-0.0222300379646182
2.065,-0.0224567610500411
2.07,-0.0226866086613643
2.075,-0.0229196382331869
2.08,-0.023155908586408
2.085,-0.0233954799679154
2.09,-0.0236384140916411
2.095,-0.0238847741810441
2.1,-0.0241346250130678
2.105,-0.0243880329636144
2.11,-0.0246450660546545
2.115,-0.0249057940029644
2.12,-0.0251702882706044
2.125,-0.0254386221172011
2.13,-0.0257108706541021
2.135,-0.0259871109004625
2.14,-0.0262674218413816
2.145,-0.026551884488154
2.15,-0.0268405819407012
2.155,-0.0271335994523224
2.16,-0.027431024496821
2.165,-0.0277329468381244
2.17,-0.0280394586025089
2.175,-0.028350654353528
2.18,-0.028666631169766
2.185,-0.028987488725545
2.19,-0.0293133293746969
2.195,-0.0296442582375551
2.2,-0.0299803832912966
2.205,-0.0303218154637727
2.21,-0.0306686687310075
2.215,-0.0310210602184991
2.22,-0.031379110306524
2.225,-0.0317429427395965
2.23,-0.0321126847402924
2.235,-0.0324884671276257
2.24,-0.0328704244401887
2.245,-0.033258695064286
2.25,-0.0336534213672599
2.255,-0.0340547498363123
2.26,-0.0344628312229986
2.265,-0.0348778206937371
2.27,-0.0352998779865668
2.275,-0.0357291675744952
2.28,-0.0361658588356929
2.285,-0.0366101262309293
2.29,-0.0370621494885731
2.295,-0.0375221137974986
2.3,-0.0379902100083508
2.305,-0.0384666348435155
2.31,-0.0389515911162652
2.315,-0.0394452879595458
2.32,-0.0399479410648479
2.325,-0.0404597729317276
2.33,-0.0409810131284622
2.335,-0.0415118985644599
2.34,-0.0420526737750124
2.345,-0.0426035912189937
2.35,-0.0431649115902617
2.355,-0.0437369041433991
2.36,-0.0443198470345978
2.365,-0.0449140276784929
2.37,-0.0455197431217611
2.375,-0.0461373004344474
2.38,-0.0467670171199234
2.385,-0.0474092215445231
2.39,-0.048064253387945
2.395,-0.04873246411555
2.4,-0.0494142174737576
2.405,-0.0501098900099073
2.41,-0.05081987161787
2.415,-0.0515445661109408
2.42,-0.0522843918235393
2.425,-0.0530397822434118
2.43,-0.0538111866760398
2.435,-0.0545990709432153
2.44,-0.055403918117733
2.445,-0.0562262292963469
2.45,-0.0570665244133104
2.455,-0.0579253430968966
2.46,-0.0588032455714962
2.465,-0.0597008136081277
2.47,-0.0606186515262523
2.475,-0.0615573872501295
2.48,-0.0625176734230649
2.485,-0.0635001885832469
2.49,-0.0645056384049729
2.495,-0.0655347570095233
2.5,-0.066588308350097
2.505,-0.0676670876756319
2.51,-0.0687719230786363
2.515,-0.069903677132551
2.52,-0.0710632486245847
2.525,-0.0722515743903795
2.53,-0.0734696312574005
2.535,-0.074718438104333
2.54,-0.0759990580445415
2.545,-0.0773126007420411
2.55,-0.0786602248692566
2.555,-0.0800431407164641
2.56,-0.0814626129636804
2.565,-0.0829199636265361
2.57,-0.0844165751886629
2.575,-0.0859538939341281
2.58,-0.0875334334945139
2.585,-0.0891567786264845
2.59,-0.0908255892370463
2.595,-0.0925416046750039
2.6,-0.094306648308859
2.605,-0.096122632413002
2.61,-0.0979915633859998
2.615,-0.09991554732682
2.62,-0.101896795997093
2.625,-0.103937633200092
2.63,-0.106040501609679
2.635,-0.108207970085696
2.64,-0.110442741515395
2.645,-0.112747661224281
2.65,-0.115125726003736
2.655,-0.117580093807203
2.66,-0.120114094171674
2.665,-0.122731239426617
2.67,-0.125435236758513
2.675,-0.128230001205778
2.68,-0.131119669666319
2.685,-0.134108616008073
2.69,-0.137201467382025
2.695,-0.140403121847353
2.7,-0.143718767429546
2.705,-0.147153902744999
2.71,-0.150714359339543
2.715,-0.154406325904076
2.72,-0.158236374547981
2.725,-0.162211489330562
2.73,-0.166339097272897
2.735,-0.17062710209695
2.74,-0.175083920966751
2.745,-0.179718524537508
2.75,-0.184540480653758
2.755,-0.189560002077282
2.76,-0.19478799867033
2.765,-0.200236134510376
2.77,-0.205916890470001
2.775,-0.211843632860594
2.78,-0.21803068881251
2.785,-0.224493429148373
2.79,-0.231248359602121
2.795,-0.238313221345498
2.8,-0.24570710190878
2.805,-0.253450557725318
2.81,-0.26156574969334
2.815,-0.270076593336569
2.82,-0.279008925361493
2.825,-0.288390688658423
2.83,-0.298252138080911
2.835,-0.308626069670718
2.84,-0.31954807638042
2.845,-0.331056833792575
2.85,-0.3431944198535
2.855,-0.356006673244581
2.86,-0.369543595719589
2.865,-0.383859804561454
2.87,-0.39901504227845
2.875,-0.415074751794146
2.88,-0.432110726719948
2.885,-0.450201847872081
2.89,-0.469434919052854
2.895,-0.489905617315837
2.9,-0.511719575544163
2.905,-0.534993618274433
2.91,-0.559857175396748
2.915,-0.586453902778988
2.92,-0.614943544152331
2.925,-0.645504074942397
2.93,-0.67833417636635
2.935,-0.713656097324797
2.94,-0.751718972750459
2.945,-0.792802680569525
2.95,-0.837222335831179
2.955,-0.885333540545632
2.96,-0.937538532196144
2.965,-0.994293403833709
2.97,-1.05611660549314
2.975,-1.12359898213583
2.98,-1.19741565968246
2.985,-1.27834016088737
2.99,-1.36726122070169
2.995,-1.46520288156747
3,-1.57334858986619
