"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-1.29873127788234
2.005,-1.07639552478723
2.01,-0.902973307884269
2.015,-0.766519592315469
2.02,-0.658045417801058
2.025,-0.57088171491496
2.03,-0.500092027841902
2.035,-0.442008127503195
2.04,-0.393884600339208
2.045,-0.353648512418444
2.05,-0.319719686070239
2.055,-0.290881783284378
2.06,-0.266189477656037
2.065,-0.244901179539029
2.07,-0.226429894524519
2.075,-0.210307017578729
2.08,-0.196155419634141
2.085,-0.183669262616849
2.09,-0.172598727415648
2.095,-0.16273835997739
2.1,-0.15391810477936
2.105,-0.145996351156404
2.11,-0.138854499612893
2.115,-0.132392685029808
2.12,-0.126526387132464
2.125,-0.121183726415943
2.13,-0.116303293345769
2.135,-0.111832395229373
2.14,-0.107725632320077
2.145,-0.103943735038302
2.15,-0.100452609505424
2.155,-0.0972225501989667
2.16,-0.0942275874039597
2.165,-0.0914449439471493
2.17,-0.0888545809660422
2.175,-0.0864388165582031
2.18,-0.0841820043568059
2.185,-0.0820702615941295
2.19,-0.0800912382025855
2.195,-0.0782339200812995
2.2,-0.0764884609158123
2.205,-0.0748460379481024
2.21,-0.0732987279070414
2.215,-0.071839399966678
2.22,-0.0704616231336634
2.225,-0.0691595859000196
2.23,-0.0679280263536955
2.235,-0.0667621712317852
2.24,-0.0656576826423024
2.245,-0.0646106113798885
2.25,-0.0636173559263046
2.255,-0.0626746263643637
2.26,-0.0617794125490424
2.265,-0.0609289559759033
2.27,-0.0601207248680007
2.275,-0.059352392070671
2.28,-0.0586218154012301
2.285,-0.0579270201495448
2.29,-0.0572661834668086
2.295,-0.0566376204152527
2.3,-0.0560397714816489
2.305,-0.0554711913832253
2.31,-0.0549305390167389
2.315,-0.0544165684204867
2.32,-0.0539281206353165
2.325,-0.0534641163649262
2.33,-0.0530235493478399
2.335,-0.0526054803641457
2.34,-0.0522090318091509
2.345,-0.0518333827742128
2.35,-0.0514777645818529
2.355,-0.0511414567284568
2.36,-0.0508237831930495
2.365,-0.0505241090754322
2.37,-0.0502418375309031
2.375,-0.0499764069725095
2.38,-0.049727288514831
2.385,-0.0494939836361397
2.39,-0.049276022038236
2.395,-0.0490729596854057
2.4,-0.0488843770058768
2.405,-0.0487098772408966
2.41,-0.048549084928009
2.415,-0.0484016445064892
2.42,-0.0482672190341113
2.425,-0.0481454890054449
2.43,-0.0480361512628582
2.435,-0.0479389179922819
2.44,-0.0478535157964694
2.445,-0.0477796848392927
2.45,-0.0477171780551195
2.455,-0.0476657604178745
2.46,-0.0476252082650079
2.465,-0.0475953086718369
2.47,-0.0475758588723104
2.475,-0.0475666657224833
2.48,-0.0475675452033799
2.485,-0.0475783219602089
2.49,-0.0475988288751203
2.495,-0.0476289066709905
2.5,-0.0476684035438839
2.505,-0.0477171748221157
2.51,-0.0477750826499149
2.515,-0.0478419956939286
2.52,-0.0479177888709572
2.525,-0.0480023430953869
2.53,-0.0480955450449543
2.535,-0.0481972869435814
2.54,-0.0483074663601288
2.545,-0.0484259860219891
2.55,-0.0485527536425288
2.555,-0.0486876817614947
2.56,-0.0488306875975364
2.565,-0.0489816929120859
2.57,-0.0491406238838742
2.575,-0.0493074109934474
2.58,-0.0494819889170775
2.585,-0.0496642964295015
2.59,-0.0498542763149827
2.595,-0.0500518752862367
2.6,-0.0502570439107474
2.605,-0.0504697365441165
2.61,-0.0506899112700328
2.615,-0.0509175298465444
2.62,-0.0511525576583103
2.625,-0.0513949636745213
2.63,-0.0516447204122507
2.635,-0.0519018039049515
2.64,-0.0521661936759082
2.645,-0.0524378727163836
2.65,-0.0527168274683209
2.655,-0.0530030478113623
2.66,-0.0532965270540778
2.665,-0.0535972619291984
2.67,-0.0539052525927732
2.675,-0.0542205026270462
2.68,-0.054543019047032
2.685,-0.0548728123105905
2.69,-0.0552098963319794
2.695,-0.0555542884987515
2.7,-0.0559060096919496
2.705,-0.0562650843094884
2.71,-0.0566315402927074
2.715,-0.0570054091560275
2.72,-0.0573867260196177
2.725,-0.0577755296451091
2.73,-0.0581718624742423
2.735,-0.0585757706704753
2.74,-0.0589873041635028
2.745,-0.059406516696657
2.75,-0.0598334658772118
2.755,-0.0602682132295308
2.76,-0.0607108242511121
2.765,-0.0611613684714736
2.77,-0.0616199195139293
2.775,-0.0620865551602298
2.78,-0.0625613574181086
2.785,-0.0630444125917223
2.79,-0.063535811355035
2.795,-0.0640356488281279
2.8,-0.0645440246565331
2.805,-0.0650610430935272
2.81,-0.0655868130855116
2.815,-0.0661214483604506
2.82,-0.0666650675194441
2.825,-0.0672177941314759
2.83,-0.0677797568313658
2.835,-0.0683510894210099
2.84,-0.0689319309739219
2.845,-0.0695224259431865
2.85,-0.0701227242728257
2.855,-0.0707329815127049
2.86,-0.071353358936988
2.865,-0.0719840236662617
2.87,-0.0726251487933785
2.875,-0.0732769135130924
2.88,-0.0739395032555889
2.885,-0.0746131098239765
2.89,-0.0752979315358379
2.895,-0.0759941733689329
2.9,-0.0767020471111337
2.905,-0.0774217715147221
2.91,-0.0781535724551216
2.915,-0.0788976830941777
2.92,-0.0796543440481164
2.925,-0.0804238035602727
2.93,-0.0812063176787182
2.935,-0.0820021504389013
2.94,-0.0828115740514444
2.945,-0.08363486909521
2.95,-0.0844723247157859
2.955,-0.0853242388295026
2.96,-0.0861909183331769
2.965,-0.0870726793196704
2.97,-0.087969847299472
2.975,-0.0888827574284043
2.98,-0.0898117547416822
2.985,-0.0907571943944492
2.99,-0.091719441908958
2.995,-0.0926988734286056
3,-0.0936958759790058
