"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0370025885232584
2.005,-0.0377132605039535
2.01,-0.0384436826140615
2.015,-0.039194505573525
2.02,-0.0399664089677034
2.025,-0.0407601027452606
2.03,-0.0415763288073945
2.035,-0.0424158626947485
2.04,-0.0432795153788848
2.045,-0.0441681351657618
2.05,-0.0450826097191882
2.055,-0.0460238682129226
2.06,-0.046992883620839
2.065,-0.0479906751551818
2.07,-0.0490183108640107
2.075,-0.0500769103996278
2.08,-0.0511676479709549
2.085,-0.0522917554938164
2.09,-0.0534505259543566
2.095,-0.0546453170020968
2.1,-0.0558775547906012
2.105,-0.0571487380853057
2.11,-0.0584604426598372
2.115,-0.0598143260039858
2.12,-0.0612121323687173
2.125,-0.0626556981758741
2.13,-0.0641469578227362
2.135,-0.0656879499145809
2.14,-0.0672808239613342
2.145,-0.0689278475780259
2.15,-0.0706314142324455
2.155,-0.0723940515877458
2.16,-0.0742184304923637
2.165,-0.0761073746748789
2.17,-0.0780638712072312
2.175,-0.0800910818061315
2.18,-0.0821923550497287
2.185,-0.0843712395945355
2.19,-0.086631498486598
2.195,-0.0889771246708674
2.2,-0.0914123578138605
2.205,-0.0939417025672139
2.21,-0.0965699484137657
2.215,-0.0993021912535351
2.22,-0.102143856904577
2.225,-0.105100726713774
2.23,-0.108178965494811
2.235,-0.11138515203618
2.24,-0.114726312450392
2.245,-0.118209956668195
2.25,-0.121844118418094
2.255,-0.125637399073251
2.26,-0.129599015795053
2.265,-0.133738854456618
2.27,-0.138067527890792
2.275,-0.142596440077487
2.28,-0.147337856965226
2.285,-0.152304984713798
2.29,-0.157512056250305
2.295,-0.162974427152057
2.3,-0.168708682009396
2.305,-0.174732752582502
2.31,-0.181066049252332
2.315,-0.187729607481258
2.32,-0.194746251248985
2.325,-0.202140775719797
2.33,-0.209940151735635
2.335,-0.218173755124314
2.34,-0.22687362427419
2.345,-0.236074749967708
2.35,-0.245815402102096
2.355,-0.256137498673752
2.36,-0.267087023285702
2.365,-0.278714498481405
2.37,-0.291075523445437
2.375,-0.304231386081392
2.38,-0.31824976122772
2.385,-0.333205508861822
2.39,-0.349181588643252
2.395,-0.366270110146895
2.4,-0.384573541745231
2.405,-0.404206105449334
2.41,-0.425295390277783
2.415,-0.4479842230965
2.42,-0.472432843617122
2.425,-0.498821439674692
2.43,-0.527353110424425
2.435,-0.558257339196655
2.44,-0.591794075047844
2.445,-0.628258543316423
2.45,-0.6679869317023
2.455,-0.711363130746155
2.46,-0.758826747597553
2.465,-0.810882661508411
2.47,-0.868112450903681
2.475,-0.931188098046835
2.48,-1.00088847177135
2.485,-1.0781192057873
2.49,-1.16393673484223
2.495,-1.25957742955832
2.5,-1.36649298995886
2.505,-1.48639352498073
2.51,-1.62130006800789
2.515,-1.77360866254444
2.52,-1.94616859921693
2.525,-2.14237788717355
2.53,-2.36629957025663
2.535,-2.62280297623562
2.54,-2.9177342414545
2.545,-3.25812008265411
2.55,-3.65240685669901
2.555,-4.11073121074513
2.56,-4.64520351851759
2.565,-5.27014665380219
2.57,-6.00213345038157
2.575,-6.85940786892865
2.58,-7.85959398558805
2.585,-9.01281691122358
2.59,-10.3030477352003
2.595,-11.6430504566811
2.6,-12.7949769646845
2.605,-13.3517625378161
2.61,-13.0281973547363
2.615,-12.0123268816527
2.62,-10.7218822353771
2.625,-9.43922414526045
2.63,-8.27848385674603
2.635,-7.26667963708901
2.64,-6.39739421043527
2.645,-5.65399259127489
2.65,-5.0183284683959
2.655,-4.47369554288874
2.66,-4.00562320541632
2.665,-3.60189594576858
2.67,-3.25231783776058
2.675,-2.94841764826995
2.68,-2.6831654551803
2.685,-2.45072350394792
2.69,-2.2462355256443
2.695,-2.06565193949603
2.7,-1.90558623604263
2.705,-1.76319755851039
2.71,-1.63609491281271
2.715,-1.5222590620448
2.72,-1.4199788037745
2.725,-1.32779891274665
2.73,-1.24447753459528
2.735,-1.16895123661187
2.74,-1.10030626713041
2.745,-1.03775485605523
2.75,-0.980615616037018
2.755,-0.928297286428542
2.76,-0.880285208746945
2.765,-0.836130039912918
2.77,-0.79543830376658
2.775,-0.757864456935978
2.78,-0.723104205811191
2.785,-0.690888860162074
2.79,-0.660980548229763
2.795,-0.633168149832447
2.8,-0.607263829673686
2.805,-0.583100073834801
2.81,-0.560527149332123
2.815,-0.539410920389497
2.82,-0.519630966325377
2.825,-0.50107895516798
2.83,-0.483657234679538
2.835,-0.467277608702716
2.84,-0.451860271888309
2.845,-0.437332880123684
2.85,-0.423629737518429
2.855,-0.410691083747277
2.86,-0.398462468007018
2.865,-0.386894197899212
2.87,-0.375940853274296
2.875,-0.365560856522149
2.88,-0.355716092015714
2.885,-0.346371568446635
2.89,-0.337495118665892
2.895,-0.329057132384597
2.9,-0.32103031772138
2.905,-0.313389488121088
2.91,-0.306111371629662
2.915,-0.299174439903858
2.92,-0.292558754672596
2.925,-0.286245829657477
2.93,-0.280218506210376
2.935,-0.27446084114229
2.94,-0.268958005404757
2.945,-0.263696192447064
2.95,-0.25866253521335
2.955,-0.253845030865973
2.96,-0.24923247242825
2.965,-0.244814386632623
2.97,-0.240580977341806
2.975,-0.236523073981571
2.98,-0.232632084486419
2.985,-0.228899952314247
2.99,-0.225319117134388
2.995,-0.221882478836005
3,-0.218583364541342
