"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0201282173528255
2.005,-0.0202447147127186
2.01,-0.0203618010982387
2.015,-0.0204794773691604
2.02,-0.0205977444941919
2.025,-0.0207166035501807
2.03,-0.0208360557212993
2.035,-0.0209561022983009
2.04,-0.0210767446777372
2.045,-0.0211979843612056
2.05,-0.0213198229546406
2.055,-0.0214422621675571
2.06,-0.0215653038123699
2.065,-0.0216889498036834
2.07,-0.0218132021576098
2.075,-0.0219380629911068
2.08,-0.0220635345213034
2.085,-0.0221896190648761
2.09,-0.0223163190373944
2.095,-0.0224436369527316
2.1,-0.0225715754224149
2.105,-0.02270013715507
2.11,-0.0228293249558159
2.115,-0.0229591417256955
2.12,-0.0230895904611253
2.125,-0.0232206742533404
2.13,-0.0233523962878584
2.135,-0.0234847598439597
2.14,-0.0236177682941736
2.145,-0.0237514251037763
2.15,-0.0238857338302996
2.155,-0.0240206981230596
2.16,-0.0241563217226823
2.165,-0.0242926084606421
2.17,-0.0244295622588362
2.175,-0.024567187129133
2.18,-0.0247054871729514
2.185,-0.0248444665808555
2.19,-0.0249841296321409
2.195,-0.0251244806944582
2.2,-0.0252655242234153
2.205,-0.0254072647622214
2.21,-0.0255497069413101
2.215,-0.0256928554780058
2.22,-0.0258367151761727
2.225,-0.0259812909258908
2.23,-0.0261265877031236
2.235,-0.026272610569424
2.24,-0.0264193646716204
2.245,-0.0265668552415311
2.25,-0.0267150875956814
2.255,-0.0268640671350279
2.26,-0.027013799344701
2.265,-0.02716428979375
2.27,-0.0273155441348917
2.275,-0.0274675681042861
2.28,-0.0276203675213005
2.285,-0.0277739482882979
2.29,-0.0279283163904277
2.295,-0.0280834778954209
2.3,-0.0282394389534074
2.305,-0.028396205796728
2.31,-0.0285537847397599
2.315,-0.0287121821787602
2.32,-0.0288714045916928
2.325,-0.0290314585380944
2.33,-0.0291923506589351
2.335,-0.0293540876764726
2.34,-0.0295166763941434
2.345,-0.0296801236964347
2.35,-0.0298444365487833
2.355,-0.0300096219974813
2.36,-0.0301756871695692
2.365,-0.0303426392727582
2.37,-0.0305104855953714
2.375,-0.0306792335062325
2.38,-0.0308488904546574
2.385,-0.0310194639703562
2.39,-0.0311909616634068
2.395,-0.0313633912242196
2.4,-0.0315367604234957
2.405,-0.0317110771122022
2.41,-0.0318863492215649
2.415,-0.0320625847630527
2.42,-0.0322397918283618
2.425,-0.0324179785894472
2.43,-0.0325971532985078
2.435,-0.0327773242880161
2.44,-0.0329584999707442
2.445,-0.0331406888397886
2.45,-0.033323899468609
2.455,-0.033508140511078
2.46,-0.0336934207015313
2.465,-0.0338797488548156
2.47,-0.0340671338663681
2.475,-0.0342555847122753
2.48,-0.0344451104493588
2.485,-0.0346357202152468
2.49,-0.0348274232284766
2.495,-0.035020228788583
2.5,-0.0352141462762011
2.505,-0.0354091851531757
2.51,-0.0356053549626707
2.515,-0.0358026653292991
2.52,-0.0360011259592421
2.525,-0.0362007466403732
2.53,-0.0364015372424176
2.535,-0.0366035077170729
2.54,-0.0368066680981699
2.545,-0.0370110285018281
2.55,-0.0372165991266141
2.555,-0.0374233902537023
2.56,-0.0376314122470624
2.565,-0.0378406755536135
2.57,-0.0380511907034343
2.575,-0.038262968309921
2.58,-0.0384760190700136
2.585,-0.0386903537643668
2.59,-0.0389059832575649
2.595,-0.0391229184983417
2.6,-0.0393411705197761
2.605,-0.039560750439528
2.61,-0.0397816694600511
2.615,-0.0400039388688315
2.62,-0.0402275700386207
2.625,-0.0404525744276728
2.63,-0.0406789635799941
2.635,-0.0409067491255895
2.64,-0.0411359427807147
2.645,-0.0413665563481461
2.65,-0.0415986017174377
2.655,-0.0418320908651883
2.66,-0.042067035855321
2.665,-0.0423034488393583
2.67,-0.0425413420567122
2.675,-0.0427807278349574
2.68,-0.043021618590139
2.685,-0.043264026827066
2.69,-0.0435079651395998
2.695,-0.0437534462109806
2.7,-0.0440004828141225
2.705,-0.0442490878119349
2.71,-0.044499274157645
2.715,-0.0447510548951027
2.72,-0.0450044431591338
2.725,-0.0452594521758551
2.73,-0.0455160952630107
2.735,-0.0457743858303261
2.74,-0.0460343373798303
2.745,-0.0462959635062268
2.75,-0.0465592778972328
2.755,-0.0468242943339319
2.76,-0.0470910266911499
2.765,-0.0473594889378029
2.77,-0.0476296951372733
2.775,-0.0479016594477873
2.78,-0.0481753961227735
2.785,-0.0484509195112694
2.79,-0.048728244058272
2.795,-0.0490073843051521
2.8,-0.0492883548900299
2.805,-0.0495711705481765
2.81,-0.0498558461124103
2.815,-0.050142396513496
2.82,-0.0504308367805479
2.825,-0.0507211820414554
2.83,-0.0510134475232684
2.835,-0.0513076485526231
2.84,-0.0516038005561837
2.845,-0.0519019190610272
2.85,-0.0522020196950925
2.855,-0.0525041181876028
2.86,-0.0528082303694993
2.865,-0.0531143721738684
2.87,-0.0534225596364014
2.875,-0.0537328088958117
2.88,-0.0540451361942865
2.885,-0.0543595578779441
2.89,-0.0546760903972745
2.895,-0.0549947503075984
2.9,-0.0553155542695158
2.905,-0.0556385190493768
2.91,-0.0559636615197431
2.915,-0.0562909986598301
2.92,-0.0566205475560142
2.925,-0.0569523254022688
2.93,-0.0572863495006541
2.935,-0.0576226372617916
2.94,-0.057961206205338
2.945,-0.0583020739604719
2.95,-0.0586452582663711
2.955,-0.0589907769727047
2.96,-0.0593386480401225
2.965,-0.0596888895407364
2.97,-0.0600415196586131
2.975,-0.0603965566903007
2.98,-0.0607540190452707
2.985,-0.0611139252464753
2.99,-0.0614762939308069
2.995,-0.0618411438496288
3,-0.0622084938692651
