"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.429977981534242
2.005,-0.514301771294357
2.01,-0.624562462350827
2.015,-0.77204877647972
2.02,-0.974550374849551
2.025,-1.26106351244947
2.03,-1.68053754708531
2.035,-2.31837288877485
2.04,-3.32681363666131
2.045,-4.97190113419099
2.05,-7.61939764621547
2.055,-10.7256047828788
2.06,-9.92620635801626
2.065,-6.74933032968539
2.07,-4.48384688042551
2.075,-3.0894136826607
2.08,-2.22063363610174
2.085,-1.65895939951932
2.09,-1.28113772500058
2.095,-1.01745334257818
2.1,-0.827324841670765
2.105,-0.686286275712363
2.11,-0.579059287990141
2.115,-0.495782689170416
2.12,-0.429897089052205
2.125,-0.376919299647187
2.13,-0.333709641092426
2.135,-0.298020807652158
2.14,-0.268212414008291
2.145,-0.243065797519067
2.15,-0.221661083654876
2.155,-0.203293858035235
2.16,-0.187417595218922
2.165,-0.173603181052997
2.17,-0.161509993150086
2.175,-0.150864932278342
2.18,-0.141447010786936
2.185,-0.133075882380404
2.19,-0.125603205580915
2.195,-0.118906070386126
2.2,-0.1128819448679
2.205,-0.107444753817025
2.21,-0.102521809188398
2.215,-0.0980513876328947
2.22,-0.0939808040245182
2.225,-0.0902648683818802
2.23,-0.086864641499906
2.235,-0.083746425053812
2.24,-0.0808809370509273
2.245,-0.0782426347752246
2.25,-0.0758091558413398
2.255,-0.0735608543942046
2.26,-0.0714804143898635
2.265,-0.06955252565941
2.27,-0.067763611372227
2.275,-0.0661015977841943
2.28,-0.0645557189345713
2.285,-0.0631163503563696
2.29,-0.0617748669750491
2.295,-0.0605235212547627
2.3,-0.0593553383590099
2.305,-0.0582640256622127
2.31,-0.0572438944086335
2.315,-0.0562897916887824
2.32,-0.0553970412077328
2.325,-0.054561391569154
2.33,-0.0537789710035202
2.335,-0.053046247637997
2.34,-0.0523599945451719
2.345,-0.0517172589242022
2.35,-0.0511153348645309
2.355,-0.0505517392235039
2.36,-0.0500241902170481
2.365,-0.049530588379781
2.37,-0.0490689995991375
2.375,-0.048637639968983
2.38,-0.0482348622427697
2.385,-0.0478591436958225
2.39,-0.0475090752315113
2.395,-0.0471833515875304
2.4,-0.0468807625169899
2.405,-0.0466001848348824
2.41,-0.0463405752341005
2.415,-0.0461009637870235
2.42,-0.0458804480588077
2.425,-0.0456781877674521
2.43,-0.0454933999333024
2.435,-0.0453253544673753
2.44,-0.0451733701537088
2.445,-0.0450368109860456
2.45,-0.044915082823566
2.455,-0.0448076303343684
2.46,-0.0447139341987369
2.465,-0.044633508547338
2.47,-0.0445658986120768
2.475,-0.0445106785697661
2.48,-0.0444674495607271
2.485,-0.0444358378664145
2.49,-0.0444154932316884
2.495,-0.0444060873187875
2.5,-0.0444073122814935
2.505,-0.0444188794488893
2.51,-0.0444405181093453
2.515,-0.044471974386199
2.52,-0.0445130101973149
2.525,-0.0445634022916571
2.53,-0.0446229413564151
2.535,-0.0446914311890258
2.54,-0.0447686879287775
2.545,-0.0448545393433222
2.55,-0.0449488241657168
2.555,-0.045051391478047
2.56,-0.0451621001381014
2.565,-0.0452808182457248
2.57,-0.0454074226459252
2.575,-0.0455417984659569
2.58,-0.0456838386838827
2.585,-0.0458334437263026
2.59,-0.0459905210931643
2.595,-0.04615498500771
2.6,-0.0463267560897784
2.605,-0.0465057610508517
2.61,-0.0466919324093325
2.615,-0.0468852082246643
2.62,-0.0470855318490668
2.625,-0.0472928516956626
2.63,-0.0475071210219536
2.635,-0.0477282977276373
2.64,-0.0479563441658703
2.645,-0.0481912269670729
2.65,-0.048432916874575
2.655,-0.0486813885913129
2.66,-0.0489366206369365
2.665,-0.0491985952146969
2.67,-0.0494672980875629
2.675,-0.0497427184630244
2.68,-0.050024848886062
2.685,-0.0503136851398971
2.69,-0.0506092261540421
2.695,-0.0509114739192582
2.7,-0.0512204334091354
2.705,-0.0515361125078571
2.71,-0.0518585219439115
2.715,-0.0521876752294384
2.72,-0.0525235886049484
2.725,-0.0528662809891601
2.73,-0.0532157739337408
2.735,-0.0535720915827341
2.74,-0.0539352606364723
2.745,-0.0543053103198153
2.75,-0.0546822723545151
2.755,-0.0550661809355987
2.76,-0.0554570727115794
2.765,-0.0558549867684058
2.77,-0.0562599646170178
2.775,-0.0566720501843846
2.78,-0.0570912898079577
2.785,-0.0575177322334206
2.79,-0.0579514286156664
2.795,-0.0583924325229387
2.8,-0.0588407999440338
2.805,-0.0592965892985766
2.81,-0.0597598614502125
2.815,-0.0602306797227998
2.82,-0.0607091099194331
2.825,-0.0611952203443644
2.83,-0.0616890818277454
2.835,-0.0621907677531834
2.84,-0.06270035408809
2.845,-0.0632179194168056
2.85,-0.0637435449765205
2.855,-0.0642773146959475
2.86,-0.0648193152367875
2.865,-0.0653696360379797
2.87,-0.0659283693627541
2.875,-0.0664956103484775
2.88,-0.0670714570593572
2.885,-0.0676560105419996
2.89,-0.0682493748838553
2.895,-0.0688516572745661
2.9,-0.0694629680703208
2.905,-0.0700834208611651
2.91,-0.0707131325413684
2.915,-0.071352223382905
2.92,-0.072000817112058
2.925,-0.0726590409892441
2.93,-0.0733270258921116
2.935,-0.0740049064019449
2.94,-0.0746928208935025
2.945,-0.075390911628313
2.95,-0.0760993248515274
2.955,-0.0768182108924199
2.96,-0.0775477242685992
2.965,-0.0782880237940433
2.97,-0.0790392726910492
2.975,-0.0798016387061734
2.98,-0.0805752942303256
2.985,-0.0813604164230535
2.99,-0.0821571873412031
2.995,-0.0829657940720055
3,-0.0837864288707976
