"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0247539080591136
2.005,-0.0250047296417471
2.01,-0.0252566277950575
2.015,-0.0255096525802198
2.02,-0.0257638539341066
2.025,-0.0260192816761903
2.03,-0.0262759855154829
2.035,-0.0265340150574889
2.04,-0.026793419811175
2.045,-0.0270542491959735
2.05,-0.0273165525488225
2.055,-0.0275803791312406
2.06,-0.0278457781364116
2.065,-0.0281127986963545
2.07,-0.0283814898891123
2.075,-0.0286519007460022
2.08,-0.028924080258903
2.085,-0.0291980773876192
2.09,-0.0294739410672912
2.095,-0.0297517202158915
2.1,-0.0300314637417637
2.105,-0.0303132205512531
2.11,-0.0305970395564043
2.115,-0.0308829696827601
2.12,-0.031171059877221
2.125,-0.0314613591160145
2.13,-0.0317539164127482
2.135,-0.0320487808265782
2.14,-0.0323460014704676
2.145,-0.0326456275195569
2.15,-0.0329477082196606
2.155,-0.0332522928958674
2.16,-0.0335594309612785
2.165,-0.0338691719258658
2.17,-0.0341815654054744
2.175,-0.0344966611309639
2.18,-0.0348145089574809
2.185,-0.0351351588739221
2.19,-0.0354586610124985
2.195,-0.03578506565852
2.2,-0.0361144232603192
2.205,-0.0364467844393468
2.21,-0.036782200000479
2.215,-0.0371207209424867
2.22,-0.0374623984686984
2.225,-0.0378072839979082
2.23,-0.0381554291754346
2.235,-0.03850688588444
2.24,-0.038861706257463
2.245,-0.0392199426881737
2.25,-0.0395816478433819
2.255,-0.039946874675287
2.26,-0.0403156764339863
2.265,-0.0406881066802515
2.27,-0.0410642192985735
2.275,-0.0414440685104899
2.28,-0.041827708888212
2.285,-0.0422151953685447
2.29,-0.0426065832671311
2.295,-0.0430019282929858
2.3,-0.0434012865634084
2.305,-0.0438047146191914
2.31,-0.0442122694402186
2.315,-0.0446240084613926
2.32,-0.0450399895889709
2.325,-0.0454602712172648
2.33,-0.045884912245755
2.335,-0.0463139720965882
2.34,-0.0467475107325504
2.345,-0.0471855886754206
2.35,-0.0476282670248198
2.355,-0.0480756074774938
2.36,-0.0485276723470979
2.365,-0.0489845245844689
2.37,-0.0494462277983934
2.375,-0.0499128462769256
2.38,-0.0503844450092228
2.385,-0.0508610897079613
2.39,-0.0513428468323081
2.395,-0.0518297836114988
2.4,-0.0523219680690095
2.405,-0.0528194690473921
2.41,-0.0533223562337163
2.415,-0.0538307001857165
2.42,-0.0543445723586083
2.425,-0.0548640451326168
2.43,-0.0553891918412532
2.435,-0.0559200868003282
2.44,-0.0564568053377508
2.445,-0.0569994238241296
2.45,-0.0575480197042185
2.455,-0.0581026715291674
2.46,-0.0586634589897059
2.465,-0.0592304629502037
2.47,-0.0598037654836626
2.475,-0.060383449907689
2.48,-0.0609696008214426
2.485,-0.0615623041436064
2.49,-0.0621616471514351
2.495,-0.062767718520853
2.5,-0.0633806083677209
2.505,-0.0640004082901886
2.51,-0.0646272114123238
2.515,-0.0652611124289043
2.52,-0.0659022076514997
2.525,-0.0665505950558649
2.53,-0.0672063743306684
2.535,-0.067869646927615
2.54,-0.0685405161130068
2.545,-0.0692190870207662
2.55,-0.0699054667069978
2.555,-0.070599764206107
2.56,-0.0713020905885565
2.565,-0.0720125590202755
2.57,-0.0727312848238016
2.575,-0.0734583855412056
2.58,-0.0741939809988489
2.585,-0.0749381933740168
2.59,-0.0756911472635345
2.595,-0.0764529697543708
2.6,-0.0772237904963309
2.605,-0.0780037417769045
2.61,-0.0787929585982984
2.615,-0.0795915787567714
2.62,-0.0803997429243395
2.625,-0.0812175947328829
2.63,-0.0820452808607672
2.635,-0.0828829511220886
2.64,-0.0837307585585269
2.645,-0.0845888595340379
2.65,-0.0854574138323182
2.655,-0.0863365847572595
2.66,-0.0872265392364128
2.665,-0.0881274479275941
2.67,-0.0890394853287208
2.675,-0.0899628298909832
2.68,-0.090897664135469
2.685,-0.0918441747733442
2.69,-0.0928025528296947
2.695,-0.0937729937711874
2.7,-0.0947556976376292
2.705,-0.0957508691775704
2.71,-0.0967587179880973
2.715,-0.0977794586589273
2.72,-0.0988133109209687
2.725,-0.0998604997994651
2.73,-0.100921255771913
2.735,-0.101995814930865
2.74,-0.103084419151825
2.745,-0.104187316266355
2.75,-0.105304760240599
2.755,-0.106437011359404
2.76,-0.107584336416189
2.765,-0.108747008908794
2.77,-0.109925309241473
2.775,-0.111119524933245
2.78,-0.11232995083282
2.785,-0.113556889340328
2.79,-0.114800650636006
2.795,-0.116061552916204
2.8,-0.117339922636792
2.805,-0.118636094764373
2.81,-0.119950413035412
2.815,-0.12128323022366
2.82,-0.122634908416085
2.825,-0.124005819297601
2.83,-0.12539634444489
2.835,-0.126806875629628
2.84,-0.128237815131407
2.845,-0.129689576060681
2.85,-0.131162582692061
2.855,-0.13265727080832
2.86,-0.134174088055425
2.865,-0.135713494308995
2.87,-0.137275962052516
2.875,-0.138861976767769
2.88,-0.140472037337768
2.885,-0.142106656462726
2.89,-0.143766361089376
2.895,-0.145451692854167
2.9,-0.147163208540696
2.905,-0.148901480551936
2.91,-0.150667097397623
2.915,-0.15246066419741
2.92,-0.154282803200177
2.925,-0.156134154320103
2.93,-0.158015375689981
2.935,-0.159927144232333
2.94,-0.161870156248898
2.945,-0.163845128029041
2.95,-0.165852796477709
2.955,-0.167893919763508
2.96,-0.169969277987523
2.965,-0.172079673873532
2.97,-0.174225933480257
2.975,-0.1764089069363
2.98,-0.178629469198456
2.985,-0.180888520834081
2.99,-0.183186988828262
2.995,-0.185525827416409
3,-0.187906018943129
