"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.05885241010739
2.005,-0.062350995867042
2.01,-0.0662238717595797
2.015,-0.0705258797787958
2.02,-0.0753221709671616
2.025,-0.0806906019964176
2.03,-0.0867248035056311
2.035,-0.0935381430469277
2.04,-0.101268891762681
2.045,-0.110087028744674
2.05,-0.120203300121831
2.055,-0.131881422462689
2.06,-0.145454732222015
2.065,-0.161349216939644
2.07,-0.180115857271202
2.075,-0.202476796856359
2.08,-0.229392451087227
2.085,-0.262161004895935
2.09,-0.302569197168385
2.095,-0.353126437361916
2.1,-0.41743823776183
2.105,-0.500820019894146
2.11,-0.61134040699076
2.115,-0.761662131878906
2.12,-0.972428665108222
2.125,-1.27878928087151
2.13,-1.74362853748098
2.135,-2.48595343121465
2.14,-3.74615324233134
2.145,-6.05413092326679
2.15,-10.7922986407113
2.155,-19.8980892984632
2.16,-11.0666971682111
2.165,-6.25305785298557
2.17,-3.91618899100792
2.175,-2.63612125646478
2.18,-1.87730900041428
2.185,-1.39848911497349
2.19,-1.08032619272924
2.195,-0.859618401484805
2.2,-0.700904769738308
2.205,-0.583264940543545
2.21,-0.493804712011545
2.215,-0.424267694168078
2.22,-0.369188083679232
2.225,-0.324840323093293
2.23,-0.288618990830358
2.235,-0.258660192764207
2.24,-0.233603355690104
2.245,-0.212437266900971
2.25,-0.194398126176504
2.255,-0.178900547891163
2.26,-0.165489930622931
2.265,-0.153808980667027
2.27,-0.143573794562687
2.275,-0.13455651286293
2.28,-0.126572565307665
2.285,-0.119471172442177
2.29,-0.113128188989454
2.295,-0.10744065287295
2.3,-0.102322591394455
2.305,-0.0977017642774097
2.31,-0.093517112101103
2.315,-0.0897167409672149
2.32,-0.0862563184863883
2.325,-0.0830977879415703
2.33,-0.0802083305347051
2.335,-0.077559522512678
2.34,-0.075126646458911
2.345,-0.0728881253553315
2.35,-0.0708250550291277
2.355,-0.0689208159127263
2.36,-0.067160749104385
2.365,-0.0655318848384391
2.37,-0.0640227138916156
2.375,-0.0626229943352673
2.38,-0.0613235875201517
2.385,-0.0601163183446035
2.39,-0.0589938557801113
2.395,-0.0579496103640248
2.4,-0.0569776459584541
2.405,-0.05607260354885
2.41,-0.0552296352391852
2.415,-0.0544443469123656
2.42,-0.0537127482784499
2.425,-0.0530312092414331
2.43,-0.0523964216864489
2.435,-0.0518053659303737
2.44,-0.0512552811959138
2.445,-0.050743639566292
2.45,-0.0502681229588708
2.455,-0.0498266027238226
2.46,-0.0494171215308638
2.465,-0.0490378772550657
2.47,-0.0486872086131906
2.475,-0.0483635823362545
2.48,-0.0480655816931542
2.485,-0.047791896204904
2.49,-0.0475413124102508
2.495,-0.0473127055614507
2.5,-0.0471050321445149
2.505,-0.046917323131604
2.51,-0.0467486778847302
2.515,-0.0465982586397849
2.52,-0.0464652855086152
2.525,-0.0463490319442107
2.53,-0.0462488206205768
2.535,-0.0461640196845318
2.54,-0.0460940393415001
2.545,-0.0460383287417622
2.55,-0.0459963731373204
2.555,-0.0459676912828366
2.56,-0.045951833057027
2.565,-0.0459483772834359
2.57,-0.0459569297317506
2.575,-0.0459771212828009
2.58,-0.046008606242126
2.585,-0.0460510607886508
2.59,-0.046104181546174
2.595,-0.0461676842668482
2.6,-0.0462413026167379
2.605,-0.0463247870545627
2.61,-0.0464179037956623
2.615,-0.0465204338538564
2.62,-0.0466321721547245
2.625,-0.0467529267143049
2.63,-0.0468825178778502
2.635,-0.0470207776137572
2.64,-0.0471675488582145
2.645,-0.0473226849065469
2.65,-0.0474860488475419
2.655,-0.0476575130374642
2.66,-0.0478369586106285
2.665,-0.0480242750238114
2.67,-0.0482193596318955
2.675,-0.0484221172924424
2.68,-0.0486324599970397
2.685,-0.0488503065274909
2.69,-0.0490755821350274
2.695,-0.049308218240898
2.7,-0.0495481521568625
2.705,-0.0497953268241323
2.71,-0.050049690569537
2.715,-0.05031119687774
2.72,-0.050579804178355
2.725,-0.0508554756470502
2.73,-0.0511381790196696
2.735,-0.0514278864185238
2.74,-0.0517245741900964
2.745,-0.052028222753393
2.75,-0.0523388164583195
2.755,-0.0526563434534164
2.76,-0.0529807955624265
2.765,-0.0533121681691198
2.77,-0.0536504601099112
2.775,-0.0539956735738245
2.78,-0.0543478140093426
2.785,-0.0547068900378095
2.79,-0.055072913372955
2.795,-0.0554458987462685
2.8,-0.0558258638378592
2.805,-0.0562128292125689
2.81,-0.0566068182610008
2.815,-0.0570078571452714
2.82,-0.0574159747492406
2.825,-0.0578312026329747
2.83,-0.0582535749912918
2.835,-0.058683128616169
2.84,-0.059119902862854
2.845,-0.0595639396195338
2.85,-0.0600152832803677
2.855,-0.0604739807218243
2.86,-0.0609400812821345
2.865,-0.0614136367437573
2.87,-0.0618947013187703
2.875,-0.0623833316370846
2.88,-0.0628795867373553
2.885,-0.0633835280605706
2.89,-0.0638952194461735
2.895,-0.0644147271306988
2.9,-0.0649421197488377
2.905,-0.0654774683368842
2.91,-0.0660208463384868
2.915,-0.0665723296127076
2.92,-0.0671319964442928
2.925,-0.0676999275561596
2.93,-0.0682762061240449
2.935,-0.0688609177932989
2.94,-0.0694541506977992
2.945,-0.0700559954809577
2.95,-0.0706665453188352
2.955,-0.071285895945296
2.96,-0.071914145679266
2.965,-0.0725513954540181
2.97,-0.0731977488485619
2.975,-0.0738533121210652
2.98,-0.0745181942443649
2.985,-0.0751925069435456
2.99,-0.0758763647356483
2.995,-0.0765698849714433
3,-0.077273187879367
