"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0230059366644748
2.005,-0.0232226374993106
2.01,-0.0234407120006732
2.015,-0.0236601935959102
2.02,-0.0238811157048758
2.025,-0.0241035117466636
2.03,-0.0243274151464507
2.035,-0.0245528593424179
2.04,-0.0247798777927833
2.045,-0.0250085039829244
2.05,-0.0252387714326315
2.055,-0.0254707137034504
2.06,-0.0257043644061544
2.065,-0.0259397572083584
2.07,-0.026176925842218
2.075,-0.0264159041123172
2.08,-0.0266567259036433
2.085,-0.0268994251897476
2.09,-0.0271440360410419
2.095,-0.0273905926332456
2.1,-0.0276391292560216
2.105,-0.027889680321747
2.11,-0.0281422803744965
2.115,-0.0283969640991914
2.12,-0.0286537663309439
2.125,-0.0289127220646003
2.13,-0.0291738664644998
2.135,-0.0294372348744323
2.14,-0.0297028628278413
2.145,-0.0299707860582368
2.15,-0.0302410405098792
2.155,-0.0305136623486741
2.16,-0.0307886879733728
2.165,-0.0310661540270141
2.17,-0.0313460974086597
2.175,-0.0316285552854219
2.18,-0.0319135651047989
2.185,-0.032201164607322
2.19,-0.0324913918395484
2.195,-0.0327842851673696
2.2,-0.0330798832897143
2.205,-0.0333782252526025
2.21,-0.0336793504635807
2.215,-0.0339832987065854
2.22,-0.0342901101572159
2.225,-0.0345998253984466
2.23,-0.0349124854368068
2.235,-0.0352281317190189
2.24,-0.0355468061491737
2.245,-0.0358685511063897
2.25,-0.0361934094630424
2.255,-0.0365214246035602
2.26,-0.0368526404438234
2.265,-0.0371871014511622
2.27,-0.0375248526650531
2.275,-0.0378659397184713
2.28,-0.038210408859962
2.285,-0.0385583069764932
2.29,-0.0389096816170811
2.295,-0.0392645810172506
2.3,-0.0396230541243906
2.305,-0.0399851506240073
2.31,-0.0403509209669769
2.315,-0.0407204163978016
2.32,-0.0410936889839589
2.325,-0.0414707916463958
2.33,-0.0418517781912232
2.335,-0.0422367033426914
2.34,-0.0426256227775162
2.345,-0.0430185931606369
2.35,-0.0434156721825025
2.355,-0.0438169185979692
2.36,-0.0442223922669097
2.365,-0.0446321541966577
2.37,-0.0450462665863839
2.375,-0.0454647928735847
2.38,-0.0458877977827391
2.385,-0.0463153473763698
2.39,-0.0467475091086394
2.395,-0.0471843518816385
2.4,-0.0476259461046373
2.405,-0.0480723637564216
2.41,-0.0485236784510357
2.415,-0.0489799655071348
2.42,-0.0494413020212797
2.425,-0.0499077669454274
2.43,-0.0503794411690277
2.435,-0.0508564076060558
2.44,-0.0513387512874335
2.445,-0.0518265594592703
2.45,-0.05231992168748
2.455,-0.0528189299692815
2.46,-0.053323678852284
2.465,-0.0538342655618009
2.47,-0.0543507901371922
2.475,-0.0548733555781033
2.48,-0.0554020680015929
2.485,-0.055937036811178
2.49,-0.0564783748790861
2.495,-0.0570261987430088
2.5,-0.0575806288189416
2.505,-0.0581417896318061
2.51,-0.0587098100658171
2.515,-0.0592848236367849
2.52,-0.0598669687888497
2.525,-0.0604563892184709
2.53,-0.0610532342288791
2.535,-0.0616576591186488
2.54,-0.0622698256085444
2.545,-0.0628899023114563
2.55,-0.0635180652508105
2.555,-0.0641544984337972
2.56,-0.0647993944865955
2.565,-0.0654529553599161
2.57,-0.0661153931145047
2.575,-0.0667869307977634
2.58,-0.0674678034244188
2.585,-0.0681582590763655
2.59,-0.0688585601393051
2.595,-0.0695689846968479
2.6,-0.0702898281063065
2.605,-0.0710214047847932
2.61,-0.0717640502393579
2.615,-0.0725181233811946
2.62,-0.0732840091715069
2.625,-0.0740621216557661
2.63,-0.074852907454379
2.635,-0.0756568497913676
2.64,-0.0764744731595468
2.645,-0.0773063487414003
2.65,-0.0781531007305233
2.655,-0.0790154137304727
2.66,-0.0798940414477049
2.665,-0.0807898169455031
2.67,-0.0817036647888851
2.675,-0.0826366154907974
2.68,-0.0835898227720106
2.685,-0.0845645842781816
2.69,-0.0855623665665715
2.695,-0.0865848353937639
2.7,-0.0876338926216835
2.705,-0.0887117214342322
2.71,-0.0898208420526139
2.715,-0.0909641807965209
2.72,-0.0921451562209795
2.725,-0.0933677872481709
2.73,-0.0946368298277563
2.735,-0.0959579508644286
2.74,-0.0973379511825238
2.745,-0.0987850534886948
2.75,-0.100309277116737
2.755,-0.101922929456207
2.76,-0.103641255292997
2.765,-0.105483301044098
2.77,-0.107473072563854
2.775,-0.109641094416234
2.78,-0.112026516063892
2.785,-0.114679953943517
2.79,-0.11766729587249
2.795,-0.121074687768479
2.8,-0.125014768775399
2.805,-0.129633657177446
2.81,-0.135116588474067
2.815,-0.141686077974269
2.82,-0.149577358752205
2.825,-0.158958261033141
2.83,-0.169737786326173
2.835,-0.181217465492854
2.84,-0.191703133661946
2.845,-0.198609968562638
2.85,-0.199720028155551
2.855,-0.194926558203074
2.86,-0.186386368600734
2.865,-0.176833318975971
2.87,-0.16812475595976
2.875,-0.161023501831623
2.88,-0.155605932362446
2.885,-0.151659778052952
2.89,-0.14890498668331
2.895,-0.147084000040551
2.9,-0.145987159740739
2.905,-0.145452421945009
2.91,-0.145357275665786
2.915,-0.145609785180697
2.92,-0.146140948035716
2.925,-0.146898758647349
2.93,-0.147843780053706
2.935,-0.148945897603374
2.94,-0.150181952676578
2.945,-0.151534016792951
2.95,-0.152988127507035
2.955,-0.154533356768338
2.96,-0.156161119273022
2.965,-0.15786465494252
2.97,-0.159638638569179
2.975,-0.161478883016515
2.98,-0.163382111779763
2.985,-0.165345783375646
2.99,-0.167367954766839
2.995,-0.169447174413589
3,-0.17158239798304
