"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0389536236583701
2.005,-0.0396681645467284
2.01,-0.0404030097091521
2.015,-0.0411586836009447
2.02,-0.0419357338052952
2.025,-0.0427347321110091
2.03,-0.0435562756506579
2.035,-0.0444009881029926
2.04,-0.0452695209637495
2.045,-0.0461625548892922
2.05,-0.0470808011177828
2.055,-0.0480250029730614
2.06,-0.0489959374566196
2.065,-0.0499944169336403
2.07,-0.0510212909193736
2.075,-0.0520774479726933
2.08,-0.0531638177041548
2.085,-0.0542813729064888
2.09,-0.055431131815994
2.095,-0.0566141605140962
2.1,-0.0578315754789193
2.105,-0.0590845462976463
2.11,-0.0603742985511889
2.115,-0.061702116883751
2.12,-0.06306934827078
2.125,-0.0644774054999889
2.13,-0.0659277708813917
2.135,-0.0674220002034993
2.14,-0.0689617269544686
2.145,-0.0705486668284425
2.15,-0.0721846225391834
2.155,-0.0738714889649816
2.16,-0.0756112586509384
2.165,-0.0774060276970571
2.17,-0.0792580020631509
2.175,-0.0811695043243431
2.18,-0.0831429809140524
2.185,-0.0851810098947844
2.19,-0.0872863093007994
2.195,-0.0894617461008679
2.2,-0.091710345833963
2.205,-0.094035302975748
2.21,-0.0964399920994438
2.215,-0.0989279799008169
2.22,-0.101503038163965
2.225,-0.10416915775232
2.23,-0.106930563717749
2.235,-0.109791731630234
2.24,-0.112757405241138
2.245,-0.11583261560494
2.25,-0.119022701797496
2.255,-0.122333333383672
2.26,-0.125770534803668
2.265,-0.12934071186594
2.27,-0.133050680555313
2.275,-0.136907698388322
2.28,-0.140919498573908
2.285,-0.145094327267339
2.29,-0.149440984238416
2.295,-0.153968867312696
2.3,-0.15868802098707
2.305,-0.163609189669162
2.31,-0.168743876044647
2.315,-0.174104405138682
2.32,-0.179703994708127
2.325,-0.185556832681623
2.33,-0.191678162456188
2.335,-0.198084376963775
2.34,-0.204793122540932
2.345,-0.211823413772076
2.35,-0.219195760634458
2.355,-0.226932309454241
2.36,-0.235056999391719
2.365,-0.243595736414923
2.37,-0.252576586999072
2.375,-0.262029994112208
2.38,-0.271989018421446
2.385,-0.28248960808953
2.39,-0.293570901038242
2.395,-0.30527556414673
2.4,-0.31765017454472
2.405,-0.330745648971245
2.41,-0.344617728121715
2.415,-0.359327524026478
2.42,-0.374942139825691
2.425,-0.391535372867168
2.43,-0.409188513904448
2.435,-0.427991257369524
2.44,-0.448042740309589
2.445,-0.469452730696605
2.45,-0.492342989548749
2.455,-0.516848835773864
2.46,-0.543120948017761
2.465,-0.571327444272021
2.47,-0.601656287811262
2.475,-0.634318077491933
2.48,-0.669549291929625
2.485,-0.70761607104875
2.49,-0.748818635553266
2.495,-0.793496465733467
2.5,-0.842034386625272
2.505,-0.894869738038646
2.51,-0.952500846846926
2.515,-1.01549706705722
2.52,-1.08451071297173
2.525,-1.16029128530704
2.53,-1.24370248351227
2.535,-1.33574261505052
2.54,-1.4375691612164
2.545,-1.55052844886209
2.55,-1.67619162169227
2.555,-1.81639842279827
2.56,-1.97331072000358
2.565,-2.14947826988485
2.57,-2.34791999105865
2.575,-2.57222510813409
2.58,-2.82668010823484
2.585,-3.11642981449632
2.59,-3.44768452847769
2.595,-3.82799100913809
2.6,-4.26659462027155
2.605,-4.77493617401416
2.61,-5.36735519127541
2.615,-6.06212168591773
2.62,-6.88301086815689
2.625,-7.8618075351662
2.63,-9.04244934054338
2.635,-10.4880815315852
2.64,-12.2928985817042
2.645,-14.5977284108496
2.65,-17.5657767257993
2.655,-20.8727096053957
2.66,-21.5200636481341
2.665,-18.5154453671877
2.67,-15.4020622368376
2.675,-12.965161514385
2.68,-11.0716430375947
2.685,-9.56695367695732
2.69,-8.34563565070577
2.695,-7.33755939160465
2.7,-6.49456019549969
2.705,-5.78226362122387
2.71,-5.17528457000177
2.715,-4.6543422419673
2.72,-4.20445979794058
2.725,-3.81379496359076
2.73,-3.472850821618
2.735,-3.17392437873392
2.74,-2.91070939640363
2.745,-2.678002850618
2.75,-2.471483268743
2.755,-2.28754036167274
2.76,-2.12314217868993
2.765,-1.97573029103405
2.77,-1.84313628108637
2.775,-1.72351466210621
2.78,-1.6152886207313
2.785,-1.51710586596067
2.79,-1.42780250994426
2.795,-1.34637337690223
2.8,-1.27194748815393
2.805,-1.20376773756243
2.81,-1.14117397582569
2.815,-1.08358888007188
2.82,-1.03050610859116
2.825,-0.981480337553241
2.83,-0.936118853324556
2.835,-0.894074435070757
2.84,-0.855039311153684
2.845,-0.818740012035082
2.85,-0.784932974006114
2.855,-0.753400773639506
2.86,-0.723948893634148
2.865,-0.696402937649679
2.87,-0.670606225567324
2.875,-0.646417711962346
2.88,-0.623710179908748
2.885,-0.602368669938171
2.89,-0.582289110346692
2.895,-0.563377120329243
2.9,-0.545546961819123
2.905,-0.528720619578023
2.91,-0.512826992149705
2.915,-0.497801178862342
2.92,-0.483583850226357
2.925,-0.470120690895977
2.93,-0.457361905901172
2.935,-0.445261782158919
2.94,-0.43377829837782
2.945,-0.422872777409857
2.95,-0.412509575904028
2.955,-0.402655806800692
2.96,-0.393281090791054
2.965,-0.384357333368462
2.97,-0.375858524529711
2.975,-0.367760558556476
2.98,-0.360041071627459
2.985,-0.352679295289245
2.99,-0.345655924053871
2.995,-0.338952995599492
3,-0.332553782231512
