"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0168725130795321
2.005,-0.0170143068421796
2.01,-0.0171584270292397
2.015,-0.0173049146138795
2.02,-0.0174538118037258
2.025,-0.017605162081628
2.03,-0.0177590102480353
2.035,-0.0179154024651431
2.04,-0.0180743863028433
2.045,-0.018236010786569
2.05,-0.0184003264471492
2.055,-0.0185673853727324
2.06,-0.0187372412629068
2.065,-0.0189099494850868
2.07,-0.0190855671333135
2.075,-0.0192641530895656
2.08,-0.0194457680876997
2.085,-0.0196304747801518
2.09,-0.0198183378075424
2.095,-0.0200094238713219
2.1,-0.0202038018096027
2.105,-0.0204015426763575
2.11,-0.0206027198241133
2.115,-0.0208074089903831
2.12,-0.0210156883879441
2.125,-0.0212276387992417
2.13,-0.0214433436750608
2.135,-0.0216628892377417
2.14,-0.0218863645891375
2.145,-0.0221138618236
2.15,-0.0223454761462263
2.155,-0.0225813059966604
2.16,-0.0228214531787599
2.165,-0.0230660229964288
2.17,-0.0233151243959507
2.175,-0.0235688701151923
2.18,-0.0238273768400576
2.185,-0.0240907653685559
2.19,-0.0243591607829728
2.195,-0.0246326926305531
2.2,-0.0249114951131874
2.205,-0.0251957072866304
2.21,-0.0254854732697901
2.215,-0.0257809424646499
2.22,-0.0260822697874952
2.225,-0.0263896159120555
2.23,-0.0267031475252918
2.235,-0.0270230375965817
2.24,-0.0273494656610981
2.245,-0.0276826181182525
2.25,-0.0280226885460977
2.255,-0.0283698780327063
2.26,-0.0287243955255304
2.265,-0.0290864581998876
2.27,-0.0294562918477711
2.275,-0.029834131288285
2.28,-0.0302202208010285
2.285,-0.0306148145839702
2.29,-0.031018177237366
2.295,-0.0314305842753977
2.3,-0.0318523226674091
2.305,-0.032283691410653
2.31,-0.0327250021366831
2.315,-0.0331765797536472
2.32,-0.0336387631269217
2.325,-0.0341119058007256
2.33,-0.0345963767635235
2.335,-0.0350925612602889
2.34,-0.035600861654906
2.345,-0.0361216983462943
2.35,-0.0366555107420288
2.355,-0.0372027582936925
2.36,-0.0377639215983786
2.365,-0.0383395035712263
2.37,-0.0389300306942815
2.375,-0.0395360543473108
2.38,-0.040158152226834
2.385,-0.0407969298600326
2.39,-0.041453022220849
2.395,-0.0421270954562005
2.4,-0.0428198487309142
2.405,-0.0435320162007927
2.41,-0.0442643691240086
2.415,-0.0450177181219942
2.42,-0.0457929156019953
2.425,-0.0465908583545566
2.43,-0.047412490340487
2.435,-0.0482588056831892
2.44,-0.0491308518837314
2.445,-0.0500297332777883
2.45,-0.0509566147553054
2.455,-0.0519127257658885
2.46,-0.0528993646352051
2.465,-0.0539179032200965
2.47,-0.0549697919330466
2.475,-0.0560565651697078
2.48,-0.0571798471767006
2.485,-0.0583413584007627
2.49,-0.0595429223647415
2.495,-0.0607864731207241
2.5,-0.0620740633360769
2.505,-0.0634078730742861
2.51,-0.0647902193393406
2.515,-0.0662235664601223
2.52,-0.067710537399945
2.525,-0.0692539260861851
2.53,-0.0708567108660085
2.535,-0.0725220692066695
2.54,-0.0742533937730436
2.545,-0.0760543100310919
2.55,-0.0779286955441213
2.555,-0.0798807011495638
2.56,-0.0819147742274548
2.565,-0.0840356842988614
2.57,-0.0862485512232513
2.575,-0.0885588762990997
2.58,-0.090972576612484
2.585,-0.0934960230249214
2.59,-0.096136082245267
2.595,-0.0989001634922357
2.6,-0.101796270325545
2.605,-0.10483305830635
2.61,-0.108019899243659
2.615,-0.111366952895018
2.62,-0.114885247119967
2.625,-0.118586767636755
2.63,-0.122484558710913
2.635,-0.126592836313269
2.64,-0.130927115530977
2.645,-0.135504354305254
2.65,-0.140343115912708
2.655,-0.145463753014226
2.66,-0.150888616579229
2.665,-0.156642293570582
2.67,-0.162751877965648
2.675,-0.169247280517499
2.68,-0.176161583656978
2.685,-0.183531449139902
2.69,-0.191397587501466
2.695,-0.199805300151707
2.7,-0.208805107107175
2.705,-0.218453475999412
2.71,-0.228813671251701
2.715,-0.239956746325239
2.72,-0.251962706901688
2.725,-0.264921879043997
2.73,-0.278936524088633
2.735,-0.294122751694286
2.74,-0.310612794657773
2.745,-0.328557724532265
2.75,-0.348130706699936
2.755,-0.369530918622954
2.76,-0.392988287202341
2.765,-0.418769242756851
2.77,-0.447183741108795
2.775,-0.478593875701791
2.78,-0.513424494103651
2.785,-0.552176355207076
2.79,-0.595442525270233
2.795,-0.643928926881753
2.8,-0.69848024469707
2.805,-0.760112782753999
2.81,-0.830056398504242
2.815,-0.909808361764266
2.82,-1.0012029773799
2.825,-1.1065021734562
2.83,-1.22851413988369
2.835,-1.37074971154164
2.84,-1.53762981775614
2.845,-1.73476237379368
2.85,-1.96931405156665
2.855,-2.2505122679323
2.86,-2.59032668597574
2.865,-3.00439932036489
2.87,-3.51332036929825
2.875,-4.14438475150503
2.88,-4.93400269595741
2.885,-5.93090131383462
2.89,-7.19971640444542
2.895,-8.82125116442561
2.9,-10.867233743544
2.905,-13.2333152695164
2.91,-14.9874984686339
2.915,-14.4059140959635
2.92,-12.1941765688603
2.925,-9.96076970257544
2.93,-8.1380154126052
2.935,-6.70769224237014
2.94,-5.58680047007455
2.945,-4.70179736202807
2.95,-3.99640216244229
2.955,-3.42868410441196
2.96,-2.96741672392958
2.965,-2.58919905759584
2.97,-2.27635529083162
2.975,-2.01542362934515
2.98,-1.79606678049613
2.985,-1.61028163870921
2.99,-1.45182208609337
2.995,-1.31577453203786
3,-1.19824362394103
