"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.048414712278841
2.005,-0.0624162464327405
2.01,-0.0851568073926324
2.015,-0.114884954848501
2.02,-0.130207856313519
2.025,-0.113480915660222
2.03,-0.0868774021004544
2.035,-0.0671430356399001
2.04,-0.0547740950831721
2.045,-0.0471155810510637
2.05,-0.0422386603275598
2.055,-0.0390269152974402
2.06,-0.0368493033305011
2.065,-0.0353401270630661
2.07,-0.0342794901037146
2.075,-0.0335300715754931
2.08,-0.0330030420662685
2.085,-0.0326390866423997
2.09,-0.0323974633340505
2.095,-0.0322494772677562
2.1,-0.032174463819939
2.105,-0.0321572438480047
2.11,-0.0321864687646811
2.115,-0.0322535184629244
2.12,-0.032351751445809
2.125,-0.0324759845344003
2.13,-0.0326221253856397
2.135,-0.0327869086882337
2.14,-0.0329677039468987
2.145,-0.0331623735010934
2.15,-0.0333691663214052
2.155,-0.0335866376392807
2.16,-0.033813587468136
2.165,-0.0340490131031508
2.17,-0.034292072078588
2.175,-0.0345420530287977
2.18,-0.0347983525800752
2.185,-0.0350604568855866
2.19,-0.0353279267650791
2.195,-0.0356003856653137
2.2,-0.0358775098442278
2.205,-0.036159020320405
2.21,-0.0364446762332518
2.215,-0.036734269337545
2.22,-0.0370276194156211
2.225,-0.0373245704359415
2.23,-0.0376249873221025
2.235,-0.0379287532235892
2.24,-0.0382357672008911
2.245,-0.0385459422544697
2.25,-0.0388592036402716
2.255,-0.0391754874250183
2.26,-0.0394947392430169
2.265,-0.0398169132228893
2.27,-0.0401419710582007
2.275,-0.0404698812003027
2.28,-0.0408006181553743
2.285,-0.0411341618705767
2.29,-0.0414704971966663
2.295,-0.0418096134163645
2.3,-0.0421515038295189
2.305,-0.0424961653873836
2.31,-0.0428435983695411
2.315,-0.0431938060978943
2.32,-0.043546794683046
2.325,-0.0439025727989198
2.33,-0.0442611514822061
2.335,-0.0446225439535683
2.34,-0.0449867654580326
2.345,-0.0453538331222741
2.35,-0.0457237658268901
2.355,-0.0460965840918883
2.36,-0.0464723099739787
2.365,-0.0468509669742899
2.37,-0.0472325799554398
2.375,-0.0476171750669268
2.38,-0.048004779677959
2.385,-0.0483954223169736
2.39,-0.0487891326171404
2.395,-0.0491859412672597
2.4,-0.0495858799675049
2.405,-0.0499889813895687
2.41,-0.0503952791407484
2.415,-0.0508048077316413
2.42,-0.0512176025470704
2.425,-0.051633699819986
2.43,-0.0520531366080594
2.435,-0.0524759507727256
2.44,-0.0529021809604607
2.445,-0.0533318665861451
2.45,-0.0537650478182594
2.455,-0.0542017655658553
2.46,-0.0546420614670922
2.465,-0.055085977879241
2.47,-0.0555335578700576
2.475,-0.0559848452103914
2.48,-0.0564398843679877
2.485,-0.0568987205023304
2.49,-0.0573613994605308
2.495,-0.0578279677741446
2.5,-0.0582984726568579
2.505,-0.0587729620030333
2.51,-0.059251484386996
2.515,-0.0597340890630847
2.52,-0.0602208259663816
2.525,-0.0607117457141158
2.53,-0.0612068996076705
2.535,-0.0617063396352073
2.54,-0.0622101184748672
2.545,-0.0627182894984975
2.55,-0.0632309067759321
2.555,-0.0637480250797608
2.56,-0.0642696998906122
2.565,-0.0647959874028972
2.57,-0.0653269445310352
2.575,-0.0658626289161343
2.58,-0.0664030989331035
2.585,-0.0669484136982323
2.59,-0.067498633077174
2.595,-0.0680538176933798
2.6,-0.0686140289369539
2.605,-0.0691793289739194
2.61,-0.0697497807559113
2.615,-0.0703254480303018
2.62,-0.0709063953507121
2.625,-0.0714926880879977
2.63,-0.0720843924416032
2.635,-0.0726815754513845
2.64,-0.0732843050098374
2.645,-0.0738926498747826
2.65,-0.0745066796824714
2.655,-0.0751264649611496
2.66,-0.0757520771450868
2.665,-0.0763835885890564
2.67,-0.0770210725832695
2.675,-0.0776646033688375
2.68,-0.07831425615368
2.685,-0.0789701071289619
2.69,-0.079632233486021
2.695,-0.0803007134338573
2.7,-0.080975626217118
2.705,-0.0816570521346729
2.71,-0.0823450725587312
2.715,-0.0830397699545627
2.72,-0.0837412279007928
2.725,-0.0844495311103489
2.73,-0.0851647654520036
2.735,-0.0858870179725988
2.74,-0.0866163769199293
2.745,-0.0873529317663247
2.75,-0.0880967732329326
2.755,-0.0888479933147698
2.76,-0.0896066853065054
2.765,-0.0903729438290229
2.77,-0.091146864856831
2.775,-0.0919285457462687
2.78,-0.0927180852645989
2.785,-0.0935155836199924
2.79,-0.0943211424924202
2.795,-0.0951348650655076
2.8,-0.0959568560593929
2.805,-0.0967872217645752
2.81,-0.0976260700768236
2.815,-0.0984735105331972
2.82,-0.0993296543491767
2.825,-0.10019461445697
2.83,-0.101068505545013
2.835,-0.101951444098742
2.84,-0.102843548442664
2.845,-0.103744938783745
2.85,-0.104655737256203
2.855,-0.105576067967744
2.86,-0.106506057047291
2.865,-0.10744583269424
2.87,-0.108395525229332
2.875,-0.109355267147192
2.88,-0.110325193170563
2.885,-0.111305440306344
2.89,-0.112296147903469
2.895,-0.113297457712686
2.9,-0.114309513948366
2.905,-0.115332463352317
2.91,-0.116366455259769
2.915,-0.117411641667563
2.92,-0.11846817730465
2.925,-0.119536219704958
2.93,-0.12061592928273
2.935,-0.121707469410461
2.94,-0.12281100649946
2.945,-0.123926710083189
2.95,-0.12505475290348
2.955,-0.126195310999724
2.96,-0.127348563801142
2.965,-0.128514694222273
2.97,-0.129693888761804
2.975,-0.130886337604818
2.98,-0.132092234728703
2.985,-0.133311778012714
2.99,-0.134545169351462
2.995,-0.135792614772419
3,-0.137054324557571
