"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0256825678555367
2.005,-0.0259735558305186
2.01,-0.0262686597273074
2.015,-0.0265679411278258
2.02,-0.0268714631983519
2.025,-0.0271792907301376
2.03,-0.0274914901813398
2.035,-0.0278081297202944
2.04,-0.0281292792701819
2.045,-0.0284550105551452
2.05,-0.0287853971479006
2.055,-0.0291205145188894
2.06,-0.0294604400870677
2.065,-0.0298052532723008
2.07,-0.0301550355495523
2.075,-0.0305098705048031
2.08,-0.0308698438928509
2.085,-0.0312350436970291
2.09,-0.0316055601909083
2.095,-0.0319814860020625
2.1,-0.0323629161780051
2.105,-0.0327499482543
2.11,-0.0331426823250348
2.115,-0.0335412211156478
2.12,-0.0339456700582513
2.125,-0.0343561373695637
2.13,-0.0347727341314741
2.135,-0.0351955743744364
2.14,-0.0356247751637257
2.145,-0.0360604566887234
2.15,-0.0365027423552969
2.155,-0.0369517588814612
2.16,-0.0374076363963769
2.165,-0.0378705085428979
2.17,-0.0383405125837365
2.175,-0.0388177895114252
2.18,-0.0393024841622686
2.185,-0.0397947453343414
2.19,-0.0402947259098202
2.195,-0.0408025829817293
2.2,-0.0413184779853465
2.205,-0.0418425768344192
2.21,-0.0423750500624238
2.215,-0.0429160729690419
2.22,-0.0434658257721215
2.225,-0.0440244937653002
2.23,-0.0445922674815797
2.235,-0.0451693428630661
2.24,-0.0457559214371667
2.245,-0.0463522104995181
2.25,-0.0469584233038964
2.255,-0.0475747792595026
2.26,-0.0482015041358479
2.265,-0.048838830275622
2.27,-0.0494869968159002
2.275,-0.0501462499180589
2.28,-0.0508168430067516
2.285,-0.0514990370184012
2.29,-0.0521931006596117
2.295,-0.0528993106759552
2.3,-0.0536179521315936
2.305,-0.0543493187002698
2.31,-0.0550937129681293
2.315,-0.0558514467490068
2.32,-0.056622841412658
2.325,-0.0574082282266152
2.33,-0.0582079487123141
2.335,-0.059022355016086
2.34,-0.0598518102958221
2.345,-0.0606966891239907
2.35,-0.0615573779078322
2.355,-0.0624342753275368
2.36,-0.0633277927933103
2.365,-0.0642383549222128
2.37,-0.0651664000357938
2.375,-0.0661123806794966
2.38,-0.0670767641649622
2.385,-0.0680600331363634
2.39,-0.069062686161957
2.395,-0.0700852383521769
2.4,-0.0711282220055763
2.405,-0.0721921872840704
2.41,-0.0732777029189813
2.415,-0.0743853569494817
2.42,-0.0755157574951454
2.425,-0.076669533564339
2.43,-0.0778473359004294
2.435,-0.0790498378677368
2.44,-0.0802777363794007
2.445,-0.0815317528693919
2.45,-0.0828126343110731
2.455,-0.0841211542848187
2.46,-0.0854581140973918
2.465,-0.0868243439559233
2.47,-0.0882207041995281
2.475,-0.0896480865917427
2.48,-0.0911074156772374
2.485,-0.0925996502063916
2.49,-0.0941257846315977
2.495,-0.0956868506794293
2.5,-0.0972839190029688
2.505,-0.0989181009189915
2.51,-0.100590550234927
2.515,-0.102302465170857
2.52,-0.104055090382189
2.525,-0.105849719088908
2.53,-0.107687695317908
2.535,-0.109570416265055
2.54,-0.111499334784362
2.545,-0.113475962011942
2.55,-0.11550187013306
2.555,-0.117578695301094
2.56,-0.119708140717873
2.565,-0.121891979885475
2.57,-0.124132060040329
2.575,-0.126430305781145
2.58,-0.12878872290307
2.585,-0.131209402451361
2.59,-0.133694525008768
2.595,-0.136246365231843
2.6,-0.13886729665256
2.605,-0.14155979676276
2.61,-0.144326452400246
2.615,-0.147169965456731
2.62,-0.150093158929398
2.625,-0.153098983339347
2.63,-0.156190523542107
2.635,-0.159371005957169
2.64,-0.162643806245621
2.645,-0.166012457467199
2.65,-0.169480658750452
2.655,-0.173052284512377
2.66,-0.176731394266712
2.665,-0.180522243063136
2.67,-0.184429292603046
2.675,-0.188457223081112
2.68,-0.192610945805864
2.685,-0.196895616656805
2.69,-0.201316650440207
2.695,-0.205879736210842
2.7,-0.210590853632468
2.705,-0.215456290455748
2.71,-0.220482661199011
2.715,-0.225676927124279
2.72,-0.231046417608715
2.725,-0.236598853020204
2.73,-0.242342369214872
2.735,-0.248285543784475
2.74,-0.254437424192473
2.745,-0.260807557949533
2.75,-0.267406024992243
2.755,-0.274243472442911
2.76,-0.281331151943879
2.765,-0.288680959776479
2.77,-0.296305479993232
2.775,-0.304218030811782
2.78,-0.312432714540844
2.785,-0.320964471332154
2.79,-0.329829137078089
2.795,-0.339043505802713
2.8,-0.348625396924288
2.805,-0.35859372780033
2.81,-0.3689685920019
2.815,-0.379771343802455
2.82,-0.391024689408083
2.825,-0.402752785500885
2.83,-0.41498134571511
2.835,-0.427737755717163
2.84,-0.441051197615166
2.845,-0.454952784481679
2.85,-0.469475705834103
2.855,-0.484655384980764
2.86,-0.500529649206484
2.865,-0.517138913838191
2.87,-0.534526381298462
2.875,-0.552738256320326
2.88,-0.571823978558956
2.885,-0.591836473891462
2.89,-0.612832425741729
2.895,-0.634872567797748
2.9,-0.658021999498504
2.905,-0.682350525647293
2.91,-0.707933021449011
2.915,-0.734849824156205
2.92,-0.76318715232675
2.925,-0.793037553422913
2.93,-0.82450038009101
2.935,-0.857682294919053
2.94,-0.892697802734367
2.945,-0.929669808521627
2.95,-0.968730197748093
2.955,-1.01002043419504
2.96,-1.05369216821171
2.965,-1.09990784550437
2.97,-1.14884130299586
2.975,-1.20067833375092
2.98,-1.25561719723227
2.985,-1.31386904395505
2.99,-1.37565821461434
2.995,-1.44122236257992
3,-1.51081233483247
