"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0216131839804196
2.005,-0.0218261475980367
2.01,-0.0220418820695722
2.015,-0.0222604210099931
2.02,-0.0224817988485548
2.025,-0.0227060508464725
2.03,-0.0229332131151516
2.035,-0.0231633226349853
2.04,-0.0233964172747289
2.045,-0.023632535811484
2.05,-0.0238717179513189
2.055,-0.0241140043504954
2.06,-0.0243594366374002
2.065,-0.0246080574351509
2.07,-0.0248599103849064
2.075,-0.0251150401699194
2.08,-0.0253734925403503
2.085,-0.025635314338862
2.09,-0.0259005535270295
2.095,-0.0261692592126072
2.1,-0.0264414816776273
2.105,-0.0267172724074441
2.11,-0.0269966841206847
2.115,-0.0272797708001702
2.12,-0.02756658772484
2.125,-0.0278571915027049
2.13,-0.0281516401048886
2.135,-0.0284499929007578
2.14,-0.028752310694213
2.145,-0.0290586557611816
2.15,-0.0293690918883407
2.155,-0.0296836844130996
2.16,-0.0300025002649624
2.165,-0.0303256080082091
2.17,-0.0306530778860549
2.175,-0.0309849818662612
2.18,-0.0313213936882879
2.185,-0.0316623889120751
2.19,-0.0320080449684224
2.195,-0.0323584412111459
2.2,-0.0327136589709883
2.205,-0.0330737816113876
2.21,-0.0334388945861747
2.215,-0.0338090854992831
2.22,-0.0341844441665081
2.225,-0.0345650626794584
2.23,-0.0349510354717329
2.235,-0.0353424593874326
2.24,-0.0357394337521058
2.245,-0.0361420604462198
2.25,-0.0365504439812386
2.255,-0.0369646915784528
2.26,-0.0373849132506398
2.265,-0.037811221886687
2.27,-0.0382437333392762
2.275,-0.0386825665157963
2.28,-0.0391278434725865
2.285,-0.0395796895126327
2.29,-0.0400382332869135
2.295,-0.0405036068995063
2.3,-0.0409759460166315
2.305,-0.0414553899797653
2.31,-0.0419420819230848
2.315,-0.0424361688952954
2.32,-0.0429378019861681
2.325,-0.0434471364578846
2.33,-0.0439643318814602
2.335,-0.0444895522784381
2.34,-0.0450229662681003
2.345,-0.0455647472204192
2.35,-0.046115073415052
2.355,-0.0466741282065618
2.36,-0.0472421001962463
2.365,-0.0478191834107941
2.37,-0.0484055774881148
2.375,-0.049001487870656
2.38,-0.049607126006552
2.385,-0.0502227095589937
2.39,-0.0508484626241302
2.395,-0.0514846159579761
2.4,-0.0521314072126959
2.405,-0.0527890811827461
2.41,-0.0534578900612802
2.415,-0.0541380937073793
2.42,-0.0548299599245744
2.425,-0.0555337647512233
2.43,-0.0562497927633049
2.435,-0.0569783373902493
2.44,-0.0577197012444327
2.445,-0.0584741964650085
2.45,-0.0592421450767932
2.455,-0.0600238793649375
2.46,-0.0608197422662019
2.465,-0.0616300877776363
2.47,-0.0624552813835964
2.475,-0.0632957005019604
2.48,-0.0641517349506138
2.485,-0.0650237874351688
2.49,-0.0659122740590816
2.495,-0.0668176248572991
2.5,-0.0677402843546777
2.505,-0.0686807121505152
2.51,-0.0696393835305156
2.515,-0.0706167901077492
2.52,-0.0716134404940666
2.525,-0.0726298610037023
2.53,-0.0736665963907696
2.535,-0.074724210622537
2.54,-0.0758032876904318
2.545,-0.0769044324609062
2.55,-0.0780282715683671
2.555,-0.0791754543525308
2.56,-0.0803466538427643
2.565,-0.0815425677920424
2.57,-0.0827639197634003
2.575,-0.0840114602719152
2.58,-0.0852859679854377
2.585,-0.0865882509875141
2.59,-0.0879191481061911
2.595,-0.0892795303125889
2.6,-0.0906703021934507
2.605,-0.0920924035020651
2.61,-0.0935468107923976
2.615,-0.0950345391414401
2.62,-0.0965566439652473
2.625,-0.098114222934449
2.63,-0.0997084179954685
2.635,-0.101340417504045
2.64,-0.103011458478226
2.645,-0.10472282897842
2.65,-0.106475870622663
2.655,-0.108271981245912
2.66,-0.110112617712649
2.665,-0.111999298893018
2.67,-0.113933608813172
2.675,-0.115917199991574
2.68,-0.117951796973695
2.685,-0.12003920007856
2.69,-0.122181289371616
2.695,-0.124380028879528
2.7,-0.126637471063616
2.705,-0.128955761570094
2.71,-0.13133714427661
2.715,-0.133783966656095
2.72,-0.136298685480732
2.725,-0.138883872890543
2.73,-0.141542222853219
2.735,-0.144276558043873
2.74,-0.147089837175871
2.745,-0.149985162816376
2.75,-0.15296578972317
2.755,-0.156035133742349
2.76,-0.159196781309842
2.765,-0.162454499603507
2.77,-0.165812247396446
2.775,-0.169274186666804
2.78,-0.172844695024048
2.785,-0.176528379017131
2.79,-0.180330088395846
2.795,-0.184254931403058
2.8,-0.188308291182742
2.805,-0.192495843396442
2.81,-0.196823575149536
2.815,-0.201297805338132
2.82,-0.205925206537992
2.825,-0.210712828568475
2.83,-0.215668123877395
2.835,-0.220798974906865
2.84,-0.226113723616057
2.845,-0.231621203354233
2.85,-0.23733077329687
2.855,-0.243252355679276
2.86,-0.249396476086095
2.865,-0.255774307081846
2.87,-0.262397715497365
2.875,-0.269279313720331
2.88,-0.27643251537502
2.885,-0.28387159581801
2.89,-0.291611757922859
2.895,-0.299669203678752
2.9,-0.308061212186288
2.905,-0.316806224699092
2.91,-0.325923937433144
2.915,-0.335435402948539
2.92,-0.34536314100121
2.925,-0.355731259867127
2.93,-0.366565589259718
2.935,-0.377893826094905
2.94,-0.389745694509459
2.945,-0.402153121709426
2.95,-0.415150431419623
2.955,-0.428774556925428
2.96,-0.443065275948476
2.965,-0.458065469882765
2.97,-0.473821410242108
2.975,-0.490383075539961
2.98,-0.507804502245219
2.985,-0.526144173940739
2.99,-0.54546545336423
2.995,-0.565837062645163
3,-0.587333617778369
