"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0212389949520928
2.005,-0.0214274487512291
2.01,-0.0216177708245215
2.015,-0.021809977855491
2.02,-0.0220040870551775
2.025,-0.022200116176778
2.03,-0.0223980835311481
2.035,-0.0225980080031661
2.04,-0.0227999090690708
2.045,-0.0230038068148089
2.05,-0.0232097219554963
2.055,-0.0234176758560775
2.06,-0.0236276905532509
2.065,-0.0238397887787901
2.07,-0.0240539939843651
2.075,-0.0242703303679915
2.08,-0.0244888229022034
2.085,-0.024709497364184
2.09,-0.0249323803679116
2.095,-0.0251574993986106
2.1,-0.0253848828495911
2.105,-0.0256145600618139
2.11,-0.0258465613663296
2.115,-0.0260809181299113
2.12,-0.0263176628041713
2.125,-0.0265568289784813
2.13,-0.0267984514370815
2.135,-0.027042566220758
2.14,-0.0272892106935796
2.145,-0.0275384236151866
2.15,-0.0277902452191953
2.155,-0.028044717298349
2.16,-0.0283018832971565
2.165,-0.0285617884127737
2.17,-0.0288244797050587
2.175,-0.0290900062167863
2.18,-0.0293584191051873
2.185,-0.0296297717860367
2.19,-0.029904120091836
2.195,-0.0301815224456141
2.2,-0.0304620400523029
2.205,-0.0307457371097677
2.21,-0.0310326810418674
2.215,-0.0313229427563635
2.22,-0.0316165969307429
2.225,-0.0319137223295663
2.23,-0.0322144021574961
2.235,-0.0325187244526761
2.24,-0.0328267825259734
2.245,-0.0331386754523107
2.25,-0.0334545086214517
2.255,-0.0337743943565988
2.26,-0.0340984526106855
2.265,-0.0344268117517689
2.27,-0.0347596094508992
2.275,-0.0350969936880977
2.28,-0.0354391238948907
2.285,-0.0357861722549938
2.29,-0.0361383251887896
2.295,-0.0364957850519063
2.3,-0.0368587720839363
2.305,-0.0372275266503474
2.31,-0.037602311828924
2.315,-0.0379834164026562
2.32,-0.0383711583334119
2.325,-0.0387658888065495
2.33,-0.0391679969557994
2.335,-0.0395779154018983
2.34,-0.0399961267682968
2.345,-0.040423171374951
2.35,-0.0408596563586315
2.355,-0.0413062665281479
2.36,-0.0417637773395866
2.365,-0.0422330704745724
2.37,-0.0427151526311531
2.375,-0.0432111783006617
2.38,-0.0437224775181226
2.385,-0.0442505898548138
2.39,-0.0447973062939313
2.395,-0.0453647211264811
2.4,-0.0459552966712634
2.405,-0.0465719445260137
2.41,-0.047218128290437
2.415,-0.0478979944021279
2.42,-0.0486165400913876
2.425,-0.0493798307820973
2.43,-0.0501952839765131
2.435,-0.0510720434124211
2.44,-0.0520214770565814
2.445,-0.053057846805305
2.45,-0.054199218922427
2.455,-0.0554687158532972
2.46,-0.0568962576959295
2.465,-0.0585210139182277
2.47,-0.0603948959982006
2.475,-0.062587588630245
2.48,-0.0651938660298157
2.485,-0.0683442942782248
2.49,-0.0722208689555225
2.495,-0.077079513573533
2.5,-0.0832809683616776
2.505,-0.0913280633064799
2.51,-0.101893570957037
2.515,-0.115780048671079
2.52,-0.133645021523572
2.525,-0.155147784020555
2.53,-0.177276650661435
2.535,-0.193208393892407
2.54,-0.195647825163322
2.545,-0.183956337603593
2.55,-0.16473993703385
2.555,-0.145010417784192
2.56,-0.128251030100781
2.565,-0.115162871940852
2.57,-0.10528810781603
2.575,-0.0979191504889957
2.58,-0.0924235747072218
2.585,-0.0883129795093343
2.59,-0.0852294556185896
2.595,-0.0829150753149724
2.6,-0.0811841061969574
2.605,-0.0799018929658608
2.61,-0.0789697990841953
2.615,-0.0783147155013993
2.62,-0.0778817901606658
2.625,-0.0776293724783897
2.63,-0.0775254705112807
2.635,-0.0775452432650756
2.64,-0.0776692060900275
2.645,-0.0778819317891869
2.65,-0.0781710998888055
2.655,-0.0785267930867136
2.66,-0.0789409710987757
2.665,-0.0794070731903365
2.67,-0.0799197150302852
2.675,-0.080474455376016
2.68,-0.081067614954775
2.685,-0.0816961347189547
2.69,-0.0823574640628275
2.695,-0.0830494720283832
2.7,-0.0837703762901638
2.705,-0.0845186859935529
2.71,-0.0852931554649451
2.715,-0.0860927465123122
2.72,-0.0869165975575422
2.725,-0.0877639982356343
2.73,-0.0886343683945192
2.735,-0.0895272406572834
2.74,-0.0904422458839119
2.745,-0.0913791010053319
2.75,-0.0923375988082106
2.755,-0.0933175993315936
2.76,-0.0943190226016595
2.765,-0.0953418424824234
2.77,-0.0963860814612879
2.775,-0.0974518062210969
2.78,-0.0985391238768635
2.785,-0.0996481787764921
2.79,-0.100779149782234
2.795,-0.10193224796359
2.8,-0.103107714643939
2.805,-0.104305819752582
2.81,-0.105526860441759
2.815,-0.106771159934558
2.82,-0.108039066575027
2.825,-0.109330953056333
2.83,-0.110647215806455
2.835,-0.111988274514096
2.84,-0.113354571780139
2.845,-0.114746572882233
2.85,-0.116164765641949
2.855,-0.117609660385644
2.86,-0.119081789991485
2.865,-0.120581710016364
2.87,-0.122109998897389
2.875,-0.123667258223607
2.88,-0.125254113074334
2.885,-0.126871212421209
2.89,-0.128519229591679
2.895,-0.130198862792114
2.9,-0.131910835689343
2.905,-0.133655898049727
2.91,-0.135434826435326
2.915,-0.13724842495713
2.92,-0.139097526085556
2.925,-0.140982991518836
2.93,-0.142905713110161
2.935,-0.14486661385472
2.94,-0.14686664893811
2.945,-0.148906806847798
2.95,-0.150988110549619
2.955,-0.153111618731543
2.96,-0.155278427117208
2.965,-0.157489669851982
2.97,-0.159746520964595
2.975,-0.162050195907656
2.98,-0.164401953180657
2.985,-0.166803096039355
2.99,-0.169254974295757
2.995,-0.17175898621322
3,-0.174316580501581
