"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.14900435123808
2.005,-0.156456273840513
2.01,-0.164456564576393
2.015,-0.173057885912145
2.02,-0.182319266777719
2.025,-0.192307032691228
2.03,-0.203095895950874
2.035,-0.214770237692623
2.04,-0.22742562078789
2.045,-0.241170581546589
2.05,-0.256128759505988
2.055,-0.272441438890023
2.06,-0.290270593490049
2.065,-0.309802549900599
2.07,-0.331252413768963
2.075,-0.354869442024233
2.08,-0.380943593663109
2.085,-0.409813556253755
2.09,-0.441876629824692
2.095,-0.477600960949155
2.1,-0.517540766759931
2.105,-0.562355383826296
2.11,-0.612833237403051
2.115,-0.669922175995609
2.12,-0.73476808668876
2.125,-0.808764342400246
2.13,-0.893615493367206
2.135,-0.991419783259686
2.14,-1.10477665412852
2.145,-1.23692754581436
2.15,-1.39194117236876
2.155,-1.57495827795716
2.16,-1.79251584403502
2.165,-2.05297695375084
2.17,-2.3670998059659
2.175,-2.74878653994168
2.18,-3.21605566662087
2.185,-3.79226876185922
2.19,-4.50757305063534
2.195,-5.40025981515231
2.2,-6.51678077591567
2.205,-7.90557455402193
2.21,-9.58630890313898
2.215,-11.4319867033575
2.22,-12.8659814603348
2.225,-12.8896181322013
2.23,-11.5054431012127
2.235,-9.70959676000288
2.24,-8.07305553439377
2.245,-6.72025898417862
2.25,-5.63114437412142
2.255,-4.75794553649505
2.26,-4.05536131568206
2.265,-3.48638459122116
2.27,-3.02208871180939
2.275,-2.64017349679361
2.28,-2.3234924424373
2.285,-2.05883247957269
2.29,-1.83596489118966
2.295,-1.64692491922075
2.3,-1.48547013766565
2.305,-1.34667431746575
2.31,-1.22662260019253
2.315,-1.12218200855151
2.32,-1.03082791821105
2.325,-0.950512160784728
2.33,-0.879562195032651
2.335,-0.816603561848144
2.34,-0.7604998757318
2.345,-0.710306095913414
2.35,-0.665231911193713
2.355,-0.624612872700949
2.36,-0.587887497498188
2.365,-0.554579000929093
2.37,-0.524280638401789
2.375,-0.496643878085136
2.38,-0.471368806514743
2.385,-0.448196305179484
2.39,-0.426901639284858
2.395,-0.407289178469706
2.4,-0.38918802945396
2.405,-0.3724484069621
2.41,-0.356938605167195
2.415,-0.342542459839816
2.42,-0.329157213239674
2.425,-0.316691710965679
2.43,-0.305064873547025
2.435,-0.294204396323381
2.44,-0.284045639743066
2.445,-0.274530679078157
2.45,-0.265607488079016
2.455,-0.257229235550326
2.46,-0.249353677445645
2.465,-0.24194263001927
2.47,-0.23496151197719
2.475,-0.22837894553891
2.48,-0.222166407942894
2.485,-0.216297926266443
2.49,-0.210749809539485
2.495,-0.205500413052779
2.5,-0.200529930529083
2.505,-0.195820210467952
2.51,-0.191354593513427
2.515,-0.187117768146723
2.52,-0.183095642388198
2.525,-0.179275229515833
2.53,-0.175644546081482
2.535,-0.172192520739
2.54,-0.168908912596805
2.545,-0.165784237976982
2.55,-0.162809704608186
2.555,-0.159977152404186
2.56,-0.157279000087066
2.565,-0.154708197006381
2.57,-0.152258179585519
2.575,-0.149922831895367
2.58,-0.147696449915428
2.585,-0.145573709094548
2.59,-0.143549634868684
2.595,-0.141619575832684
2.6,-0.139779179297629
2.605,-0.138024368995521
2.61,-0.136351324719483
2.615,-0.134756463711129
2.62,-0.133236423627117
2.625,-0.131788046934939
2.63,-0.130408366604028
2.635,-0.12909459297231
2.64,-0.127844101680733
2.645,-0.126654422579487
2.65,-0.125523229519351
2.655,-0.124448330950348
2.66,-0.123427661257758
2.665,-0.122459272772265
2.67,-0.121541328397479
2.675,-0.120672094803341
2.68,-0.119849936139077
2.685,-0.119073308223674
2.69,-0.118340753175922
2.695,-0.117650894449575
2.7,-0.117002432242504
2.705,-0.116394139251492
2.71,-0.115824856747042
2.715,-0.115293490944895
2.72,-0.114799009653056
2.725,-0.114340439175138
2.73,-0.113916861452469
2.735,-0.113527411429109
2.74,-0.113171274625265
2.745,-0.112847684905958
2.75,-0.112555922432924
2.755,-0.112295311788856
2.76,-0.112065220264032
2.765,-0.111865056296243
2.77,-0.111694268055835
2.775,-0.111552342168211
2.78,-0.111438802567044
2.785,-0.111353209471825
2.79,-0.111295158484028
2.795,-0.111264279796637
2.8,-0.111260237512166
2.805,-0.111282729064742
2.81,-0.111331484742101
2.815,-0.1114062673037
2.82,-0.111506871691333
2.825,-0.111633124828959
2.83,-0.111784885508492
2.835,-0.111962044358578
2.84,-0.112164523893423
2.845,-0.112392278638834
2.85,-0.112645295332684
2.855,-0.112923593197032
2.86,-0.113227224279122
2.865,-0.113556273858431
2.87,-0.113910860916905
2.875,-0.114291138669362
2.88,-0.114697295151055
2.885,-0.115129553859062
2.89,-0.115588174444224
2.895,-0.116073453449975
2.9,-0.11658572509437
2.905,-0.1171253620913
2.91,-0.117692776506698
2.915,-0.118288420645313
2.92,-0.118912787963347
2.925,-0.119566414002053
2.93,-0.120249877337062
2.935,-0.120963800538082
2.94,-0.121708851133197
2.945,-0.122485742571959
2.95,-0.123295235181051
2.955,-0.124138137106276
2.96,-0.12501530523432
2.965,-0.12592764608767
2.97,-0.126876116685927
2.975,-0.127861725366655
2.98,-0.128885532558965
2.985,-0.129948651502939
2.99,-0.131052248908132
2.995,-0.132197545544539
3,-0.133385816759541
