"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0190623654570092
2.005,-0.0192688920681676
2.01,-0.0194801827073618
2.015,-0.0196963595883779
2.02,-0.0199175498462687
2.025,-0.0201438857608863
2.03,-0.0203755049925505
2.035,-0.0206125508305957
2.04,-0.0208551724555886
2.045,-0.0211035252161071
2.05,-0.0213577709209722
2.055,-0.0216180781479425
2.06,-0.0218846225699146
2.065,-0.0221575872997575
2.07,-0.0224371632550371
2.075,-0.022723549543891
2.08,-0.0230169538735065
2.085,-0.0233175929826657
2.09,-0.0236256931000398
2.095,-0.0239414904299383
2.1,-0.0242652316674223
2.105,-0.0245971745447985
2.11,-0.0249375884117351
2.115,-0.0252867548512667
2.12,-0.0256449683343701
2.125,-0.0260125369157428
2.13,-0.0263897829738865
2.135,-0.0267770439986149
2.14,-0.0271746734295687
2.145,-0.0275830415494732
2.15,-0.0280025364362471
2.155,-0.0284335649784289
2.16,-0.028876553958755
2.165,-0.0293319512111206
2.17,-0.0298002268566511
2.175,-0.030281874625092
2.18,-0.0307774132682704
2.185,-0.0312873880730207
2.19,-0.0318123724816033
2.195,-0.032352969828379
2.2,-0.0329098152023621
2.205,-0.0334835774461082
2.21,-0.0340749613024259
2.215,-0.0346847097214667
2.22,-0.0353136063420046
2.225,-0.0359624781619805
2.23,-0.0366321984149731
2.235,-0.0373236896708162
2.24,-0.0380379271805014
2.245,-0.0387759424874576
2.25,-0.0395388273297027
2.255,-0.0403277378597501
2.26,-0.0411438992121043
2.265,-0.0419886104513006
2.27,-0.0428632499370095
2.275,-0.0437692811466535
2.28,-0.0447082590005059
2.285,-0.0456818367392397
2.29,-0.0466917734094651
2.295,-0.0477399420192347
2.3,-0.0488283384326212
2.305,-0.0499590910805407
2.31,-0.0511344715741906
2.315,-0.0523569063178268
2.32,-0.0536289892294101
2.325,-0.0549534956909738
2.33,-0.0563333978658857
2.335,-0.0577718815374985
2.34,-0.0592723646435438
2.345,-0.0608385177033752
2.35,-0.0624742863611592
2.355,-0.0641839162980675
2.36,-0.0659719808009043
2.365,-0.0678434113142936
2.37,-0.0698035313493816
2.375,-0.0718580941750318
2.38,-0.0740133247790513
2.385,-0.0762759666585135
2.39,-0.0786533340815111
2.395,-0.0811533705600684
2.4,-0.0837847143877076
2.405,-0.0865567722288901
2.41,-0.0894798019045903
2.415,-0.0925650057036495
2.42,-0.0958246357685889
2.425,-0.0992721133643671
2.43,-0.1029221641473
2.435,-0.106790971919644
2.44,-0.110896353795648
2.445,-0.115257960233202
2.45,-0.119897504020911
2.455,-0.124839023078234
2.46,-0.130109182856386
2.465,-0.135737625258809
2.47,-0.141757372380334
2.475,-0.148205295055096
2.48,-0.15512265828304
2.485,-0.16255575817315
2.49,-0.170556668226617
2.495,-0.179184116750627
2.5,-0.188504522158052
2.505,-0.198593219149829
2.51,-0.209535916662916
2.515,-0.221430438481238
2.52,-0.234388810192246
2.525,-0.248539772584852
2.53,-0.264031822775636
2.535,-0.281036911874791
2.54,-0.299754963975968
2.545,-0.320419428573306
2.55,-0.343304141171765
2.555,-0.368731850420808
2.56,-0.397084882348696
2.565,-0.428818564191696
2.57,-0.464478237533619
2.575,-0.504720975432446
2.58,-0.550343513386634
2.585,-0.602318456804611
2.59,-0.661841607969529
2.595,-0.730394367300368
2.6,-0.809826763212101
2.605,-0.902468989311781
2.61,-1.01128274163464
2.615,-1.14006872030031
2.62,-1.29375429030993
2.625,-1.47879694759961
2.63,-1.70375736238521
2.635,-1.98012468994642
2.64,-2.32352467661201
2.645,-2.75552455248584
2.65,-3.30640586483603
2.655,-4.01960386166049
2.66,-4.95928187650139
2.665,-6.22457485517243
2.67,-7.98045261727273
2.675,-10.5391917303175
2.68,-14.64686181003
2.685,-23.1098276750682
2.69,-23.3273320429442
2.695,-14.7833136690776
2.7,-10.6754197564748
2.705,-8.12795070452754
2.71,-6.38289904896495
2.715,-5.12517266318182
2.72,-4.18951263231178
2.725,-3.47731934859255
2.73,-2.92516219470069
2.735,-2.49029030977812
2.74,-2.14297813952673
2.745,-1.86207784772908
2.75,-1.63226536751688
2.755,-1.4422609571096
2.76,-1.28364474551269
2.765,-1.15005065387655
2.77,-1.0366079842351
2.775,-0.939548672490014
2.78,-0.855927300161947
2.785,-0.783419002436168
2.79,-0.720171904987082
2.795,-0.664698197851143
2.8,-0.615792898110888
2.805,-0.572472668844058
2.81,-0.533929313961952
2.815,-0.499494116178234
2.82,-0.468610260422095
2.825,-0.440811339534252
2.83,-0.415704473849084
2.835,-0.392956958845786
2.84,-0.372285631226006
2.845,-0.353448344864989
2.85,-0.336237095718536
2.855,-0.320472444023219
2.86,-0.305998963598741
2.865,-0.292681509261148
2.87,-0.280402139651928
2.875,-0.269057568047278
2.88,-0.25855704073984
2.885,-0.24882056343274
2.89,-0.239777412262479
2.895,-0.231364878691856
2.9,-0.22352720742111
2.905,-0.216214694281005
2.91,-0.209382917269038
2.915,-0.202992078828007
2.92,-0.197006441419891
2.925,-0.191393841627411
2.93,-0.18612527058428
2.935,-0.181174510618422
2.94,-0.176517819689531
2.945,-0.172133656589896
2.95,-0.168002441016317
2.955,-0.16410634355921
2.96,-0.160429101430662
2.965,-0.156955856396547
2.97,-0.153673011913424
2.975,-0.150568106917938
2.98,-0.147629704090967
2.985,-0.144847290733253
2.99,-0.142211190654271
2.995,-0.139712485699945
3,-0.137342945734395
