"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0188648612693044
2.005,-0.0189927950971485
2.01,-0.0191214241554613
2.015,-0.0192507540559172
2.02,-0.0193807904732356
2.025,-0.0195115391459981
2.03,-0.0196430058774343
2.035,-0.0197751965362555
2.04,-0.0199081170574787
2.045,-0.0200417734432954
2.05,-0.0201761717639204
2.055,-0.0203113181585032
2.06,-0.0204472188360191
2.065,-0.0205838800762129
2.07,-0.0207213082305326
2.075,-0.0208595097231118
2.08,-0.0209984910517556
2.085,-0.021138258788969
2.09,-0.0212788195829921
2.095,-0.0214201801588717
2.1,-0.0215623473195556
2.105,-0.0217053279470324
2.11,-0.0218491290034741
2.115,-0.0219937575324294
2.12,-0.022139220660066
2.125,-0.0222855255964023
2.13,-0.0224326796366295
2.135,-0.0225806901624437
2.14,-0.0227295646434294
2.145,-0.0228793106384851
2.15,-0.0230299357973002
2.155,-0.023181447861889
2.16,-0.0233338546681588
2.165,-0.0234871641475635
2.17,-0.0236413843288034
2.175,-0.023796523339584
2.18,-0.0239525894084515
2.185,-0.0241095908667203
2.19,-0.0242675361504495
2.195,-0.0244264338025237
2.2,-0.0245862924748272
2.205,-0.0247471209305034
2.21,-0.0249089280463334
2.215,-0.0250717228152131
2.22,-0.0252355143487714
2.225,-0.0254003118800924
2.23,-0.0255661247666126
2.235,-0.0257329624931293
2.24,-0.0259008346750204
2.245,-0.0260697510615871
2.25,-0.0262397215396391
2.255,-0.0264107561372584
2.26,-0.0265828650277873
2.265,-0.0267560585340721
2.27,-0.0269303471329703
2.275,-0.0271057414601353
2.28,-0.0272822523151216
2.285,-0.0274598906668304
2.29,-0.0276386676593316
2.295,-0.0278185946180755
2.3,-0.0279996830565732
2.305,-0.0281819446835422
2.31,-0.0283653914105974
2.315,-0.0285500353605098
2.32,-0.0287358888761344
2.325,-0.0289229645300106
2.33,-0.0291112751347643
2.335,-0.0293008337543492
2.34,-0.029491653716248
2.345,-0.0296837486246994
2.35,-0.0298771323750914
2.355,-0.0300718191696375
2.36,-0.0302678235344637
2.365,-0.0304651603382742
2.37,-0.0306638448127842
2.375,-0.0308638925751005
2.38,-0.0310653196522865
2.385,-0.0312681425083745
2.39,-0.0314723780741179
2.395,-0.0316780437797871
2.4,-0.0318851575914498
2.405,-0.0320937380510983
2.41,-0.0323038043211495
2.415,-0.0325153762339192
2.42,-0.0327284743466297
2.425,-0.032943120002804
2.43,-0.0331593354008121
2.435,-0.0333771436706608
2.44,-0.0335965689600708
2.445,-0.0338176365312737
2.45,-0.0340403728700495
2.455,-0.0342648058087989
2.46,-0.0344909646658204
2.465,-0.0347188804032406
2.47,-0.0349485858065684
2.475,-0.0351801156892961
2.48,-0.035413507126673
2.485,-0.035648799723468
2.49,-0.0358860359215451
2.495,-0.0361252613541321
2.5,-0.0363665252550606
2.505,-0.0366098809329922
2.51,-0.0368553863225824
2.515,-0.0371031046272804
2.52,-0.037353105071458
2.525,-0.0376054637836375
2.53,-0.0378602648375254
2.535,-0.0381176014837563
2.54,-0.0383775776132308
2.545,-0.0386403095029435
2.55,-0.0389059279080802
2.555,-0.0391745805807821
2.56,-0.0394464353174374
2.565,-0.0397216836643534
2.57,-0.0400005454486254
2.575,-0.0402832743495161
2.58,-0.040570164790792
2.585,-0.0408615605216372
2.59,-0.041157865372045
2.595,-0.0414595568303817
2.6,-0.0417672033140251
2.605,-0.0420814863151873
2.61,-0.0424032290424965
2.615,-0.0427334338031548
2.62,-0.0430733312701442
2.625,-0.0434244460907046
2.63,-0.0437886852301479
2.635,-0.0441684583453401
2.64,-0.0445668438839982
2.645,-0.0449878213804123
2.65,-0.0454366009932888
2.655,-0.045920098066023
2.66,-0.0464476272988903
2.665,-0.047031934474027
2.67,-0.0476907539976115
2.675,-0.0484491935335553
2.68,-0.0493434219560519
2.685,-0.0504263792584398
2.69,-0.0517764484865826
2.695,-0.0535097354710534
2.7,-0.0557937881970681
2.705,-0.0588483525682978
2.71,-0.0628784279171686
2.715,-0.0677969571789432
2.72,-0.0726114074960987
2.725,-0.0751698065620513
2.73,-0.0739630847398461
2.735,-0.0701399576572277
2.74,-0.065900627067776
2.745,-0.0624223224986547
2.75,-0.0598981411501622
2.755,-0.0581587010418429
2.76,-0.0569907387126075
2.765,-0.0562245789260848
2.77,-0.0557404315632589
2.775,-0.0554566180956138
2.78,-0.0553176394837834
2.785,-0.0552854261405717
2.79,-0.0553334752425782
2.795,-0.0554430271444413
2.8,-0.0556005779639634
2.805,-0.0557962481174537
2.81,-0.0560226982797508
2.815,-0.0562743982170607
2.82,-0.0565471258970364
2.825,-0.0568376190265523
2.83,-0.0571433289987808
2.835,-0.0574622446735799
2.84,-0.0577927644704377
2.845,-0.0581336023517865
2.85,-0.0584837178953856
2.855,-0.0588422637041319
2.86,-0.0592085454419208
2.865,-0.0595819911671824
2.87,-0.0599621275851277
2.875,-0.0603485614994757
2.88,-0.060740965208016
2.885,-0.0611390649160195
2.89,-0.0615426314780034
2.895,-0.0619514729499921
2.9,-0.062365428560041
2.905,-0.0627843637975228
2.91,-0.0632081663908091
2.915,-0.0636367429948452
2.92,-0.0640700164493613
2.925,-0.0645079234984386
2.93,-0.064950412885012
2.935,-0.0653974437517336
2.94,-0.0658489842933253
2.945,-0.0663050106163805
2.95,-0.0667655057710526
2.955,-0.067230458925753
2.96,-0.0676998646613428
2.965,-0.0681737223655259
2.97,-0.0686520357116545
2.975,-0.0691348122088044
2.98,-0.0696220628123229
2.985,-0.0701138015857805
2.99,-0.0706100454068499
2.995,-0.0711108137107215
3,-0.0716161282658053
