"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0356783234291539
2.005,-0.0363403862266842
2.01,-0.0370105471484496
2.015,-0.037689190544678
2.02,-0.0383767094115508
2.025,-0.0390735057853385
2.03,-0.0397799911542559
2.035,-0.0404965868889579
2.04,-0.04122372469273
2.045,-0.0419618470723547
2.05,-0.0427114078308822
2.055,-0.0434728725834143
2.06,-0.0442467192972232
2.065,-0.0450334388575384
2.07,-0.0458335356604233
2.075,-0.04664752823427
2.08,-0.0474759498915282
2.085,-0.0483193494123708
2.09,-0.0491782917621402
2.095,-0.0500533588445169
2.1,-0.0509451502924394
2.105,-0.0518542842990442
2.11,-0.0527813984908987
2.115,-0.0537271508460798
2.12,-0.0546922206597402
2.125,-0.0556773095599928
2.13,-0.0566831425771803
2.135,-0.0577104692697347
2.14,-0.0587600649101034
2.145,-0.0598327317344364
2.15,-0.0609293002599767
2.155,-0.0620506306744025
2.16,-0.0631976143016314
2.165,-0.0643711751489238
2.17,-0.0655722715405029
2.175,-0.0668018978432109
2.18,-0.0680610862902338
2.185,-0.0693509089092101
2.19,-0.0706724795616826
2.195,-0.0720269561012002
2.2,-0.0734155426580594
2.205,-0.0748394920591593
2.21,-0.0763001083922077
2.215,-0.0777987497240977
2.22,-0.0793368309841455
2.225,-0.0809158270236093
2.23,-0.0825372758638906
2.235,-0.0842027821467353
2.24,-0.0859140208008886
2.245,-0.0876727409406933
2.25,-0.0894807700135179
2.255,-0.0913400182142038
2.26,-0.0932524831862221
2.265,-0.0952202550308863
2.27,-0.0972455216477629
2.275,-0.0993305744313598
2.28,-0.101477814351345
2.285,-0.103689758445854
2.29,-0.105969046760044
2.295,-0.108318449764901
2.3,-0.110740876294324
2.305,-0.113239382042006
2.31,-0.115817178663312
2.315,-0.118477643531469
2.32,-0.121224330201992
2.325,-0.124060979644174
2.33,-0.126991532304044
2.335,-0.130020141069284
2.34,-0.13315118521333
2.345,-0.136389285403298
2.35,-0.139739319864699
2.355,-0.143206441805008
2.36,-0.146796098208288
2.365,-0.150514050124439
2.37,-0.154366394589028
2.375,-0.158359588323798
2.38,-0.162500473383324
2.385,-0.166796304930776
2.39,-0.171254781344999
2.395,-0.175884076882864
2.4,-0.180692877144999
2.405,-0.18569041762018
2.41,-0.19088652561415
2.415,-0.196291665902705
2.42,-0.201916990487502
2.425,-0.20777439287616
2.43,-0.213876567357111
2.435,-0.22023707379468
2.44,-0.226870408532073
2.445,-0.23379208206041
2.45,-0.241018704191631
2.455,-0.248568077563714
2.46,-0.256459300409349
2.465,-0.264712879636411
2.47,-0.273350855401666
2.475,-0.282396938511536
2.48,-0.291876662157396
2.485,-0.301817549692026
2.49,-0.312249300381885
2.495,-0.323203995331771
2.5,-0.33471632607958
2.505,-0.346823848705757
2.51,-0.359567266702123
2.515,-0.372990746307206
2.52,-0.387142268550384
2.525,-0.402074022867738
2.53,-0.41784284787336
2.535,-0.434510725708437
2.54,-0.452145337368119
2.545,-0.470820687547617
2.55,-0.490617808884335
2.555,-0.511625557037961
2.56,-0.533941509887908
2.565,-0.557672986289358
2.57,-0.582938202376877
2.575,-0.609867586413191
2.58,-0.638605276740491
2.585,-0.669310831611432
2.59,-0.702161184689621
2.595,-0.737352885975229
2.6,-0.775104675026761
2.605,-0.815660441853483
2.61,-0.859292641037885
2.615,-0.906306236872582
2.62,-0.957043272004554
2.625,-1.01188816981922
2.63,-1.07127390224912
2.635,-1.13568918070905
2.64,-1.20568685951629
2.645,-1.28189377981613
2.65,-1.36502232945648
2.655,-1.45588405272662
2.66,-1.55540571642113
2.665,-1.66464832938264
2.67,-1.78482972711487
2.675,-1.91735147909811
2.68,-2.06383106537163
2.685,-2.2261405173606
2.69,-2.40645305074651
2.695,-2.60729967364794
2.7,-2.8316383912828
2.705,-3.0829395437154
2.71,-3.36529215986223
2.715,-3.68353824035171
2.72,-4.04344501227238
2.725,-4.45193013459983
2.73,-4.91736277720986
2.735,-5.44997653336277
2.74,-6.06245191385315
2.745,-6.77076317470386
2.75,-7.5954477289122
2.755,-8.56356468653904
2.76,-9.71178322396071
2.765,-11.0912508360539
2.77,-12.7746755223988
2.775,-14.8620121561819
2.78,-17.449396566799
2.785,-20.31533897939
2.79,-21.6585364023181
2.795,-19.7502924963121
2.8,-16.9066245507622
2.805,-14.4630551405034
2.81,-12.5035312417089
2.815,-10.9217310746562
2.82,-9.62325396133403
2.825,-8.5406401205527
2.83,-7.62638605410335
2.835,-6.8462983200111
2.84,-6.17506052097489
2.845,-5.59342362893109
2.85,-5.08641172138074
2.855,-4.64214806440306
2.86,-4.25106444957365
2.865,-3.90535271203369
2.87,-3.5985733961623
2.875,-3.32536924699389
2.88,-3.08125056640154
2.885,-2.86243114996794
2.89,-2.66570071094176
2.895,-2.48832422257725
2.9,-2.32796152171622
2.905,-2.18260243283907
2.91,-2.05051396225767
2.915,-1.93019700098438
2.92,-1.8203506006986
2.925,-1.71984233728714
2.93,-1.62768360642101
2.935,-1.54300894190941
2.94,-1.46505863430159
2.945,-1.39316407076323
2.95,-1.32673532895205
2.955,-1.26525064542933
2.96,-1.20824744879304
2.965,-1.15531470338143
2.97,-1.10608635417562
2.975,-1.06023569975762
2.98,-1.01747054963809
2.985,-0.977529046325705
2.99,-0.940176052236562
2.995,-0.90520001777545
3,-0.872410260324375
