"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0403737183725507
2.005,-0.0408768565889136
2.01,-0.041384913270213
2.015,-0.0418979050145006
2.02,-0.042415849606725
2.025,-0.0429387660301225
2.03,-0.0434666744779628
2.035,-0.0439995963656123
2.04,-0.0445375543429596
2.045,-0.0450805723071876
2.05,-0.045628675415898
2.055,-0.0461818901005883
2.06,-0.0467402440805067
2.065,-0.0473037663768501
2.07,-0.0478724873273588
2.075,-0.0484464386012619
2.08,-0.049025653214635
2.085,-0.049610165546103
2.09,-0.0502000113529812
2.095,-0.0507952277877628
2.1,-0.051395853415059
2.105,-0.0520019282289115
2.11,-0.0526134936705237
2.115,-0.0532305926464344
2.12,-0.0538532695470839
2.125,-0.0544815702658457
2.13,-0.0551155422184649
2.135,-0.0557552343629712
2.14,-0.0564006972200192
2.145,-0.0570519828937171
2.15,-0.0577091450928859
2.155,-0.0583722391528178
2.16,-0.0590413220575197
2.165,-0.0597164524624269
2.17,-0.0603976907176177
2.175,-0.0610850988915566
2.18,-0.0617787407953192
2.185,-0.0624786820073656
2.19,-0.0631849898988303
2.195,-0.0638977336593529
2.2,-0.0646169843234673
2.205,-0.0653428147975508
2.21,-0.0660752998873254
2.215,-0.0668145163259659
2.22,-0.067560542802756
2.225,-0.0683134599924013
2.23,-0.0690733505848905
2.235,-0.0698402993160339
2.24,-0.0706143929985876
2.245,-0.0713957205540621
2.25,-0.0721843730451586
2.255,-0.0729804437088716
2.26,-0.073784027990317
2.265,-0.0745952235771836
2.27,-0.0754141304349502
2.275,-0.0762408508427911
2.28,-0.0770754894302276
2.285,-0.0779181532145178
2.29,-0.0787689516388191
2.295,-0.0796279966111057
2.3,-0.0804954025439161
2.305,-0.081371286394866
2.31,-0.0822557677079955
2.315,-0.0831489686559842
2.32,-0.0840510140831702
2.325,-0.0849620315494883
2.33,-0.0858821513752635
2.335,-0.0868115066869368
2.34,-0.0877502334636912
2.345,-0.0886984705850623
2.35,-0.0896563598794429
2.355,-0.0906240461736609
2.36,-0.0916016773434704
2.365,-0.092589404365136
2.37,-0.0935873813680193
2.375,-0.0945957656882523
2.38,-0.0956147179234885
2.385,-0.0966444019887649
2.39,-0.0976849851735158
2.395,-0.0987366381997195
2.4,-0.0997995352812385
2.405,-0.100873854184381
2.41,-0.101959776289665
2.415,-0.103057486654879
2.42,-0.104167174079394
2.425,-0.105289031169822
2.43,-0.106423254406997
2.435,-0.107570044214332
2.44,-0.108729605027578
2.445,-0.109902145366029
2.45,-0.111087877905178
2.455,-0.112287019550869
2.46,-0.113499791514985
2.465,-0.114726419392709
2.47,-0.115967133241361
2.475,-0.117222167660894
2.48,-0.118491761876053
2.485,-0.119776159820239
2.49,-0.121075610221133
2.495,-0.122390366688105
2.5,-0.12372068780144
2.505,-0.125066837203473
2.51,-0.12642908369159
2.515,-0.127807701313241
2.52,-0.129202969462917
2.525,-0.1306151729812
2.53,-0.132044602255927
2.535,-0.133491553325477
2.54,-0.134956327984295
2.545,-0.136439233890627
2.55,-0.13794058467662
2.555,-0.13946070006074
2.56,-0.140999905962643
2.565,-0.142558534620518
2.57,-0.14413692471096
2.575,-0.145735421471485
2.58,-0.147354376825662
2.585,-0.148994149511036
2.59,-0.150655105209819
2.595,-0.15233761668246
2.6,-0.154042063904177
2.605,-0.1557688342045
2.61,-0.157518322409907
2.615,-0.159290930989655
2.62,-0.161087070204844
2.625,-0.162907158260861
2.63,-0.164751621463201
2.635,-0.166620894376876
2.64,-0.168515419989353
2.645,-0.17043564987728
2.65,-0.172382044376956
2.655,-0.17435507275873
2.66,-0.176355213405414
2.665,-0.1783829539948
2.67,-0.180438791686403
2.675,-0.18252323331257
2.68,-0.184636795574011
2.685,-0.186780005239947
2.69,-0.188953399352937
2.695,-0.191157525438575
2.7,-0.193392941720114
2.705,-0.195660217338243
2.71,-0.197959932576092
2.715,-0.20029267908963
2.72,-0.20265906014364
2.725,-0.205059690853383
2.73,-0.207495198432126
2.735,-0.209966222444735
2.74,-0.212473415067436
2.745,-0.215017441354005
2.75,-0.217598979508514
2.755,-0.220218721164811
2.76,-0.222877371672999
2.765,-0.225575650393044
2.77,-0.228314290995748
2.775,-0.231094041771326
2.78,-0.23391566594574
2.785,-0.236779942005102
2.79,-0.239687664028295
2.795,-0.242639642028139
2.8,-0.245636702301266
2.805,-0.248679687787005
2.81,-0.251769458435562
2.815,-0.254906891585672
2.82,-0.258092882352111
2.825,-0.26132834402326
2.83,-0.264614208469055
2.835,-0.26795142655961
2.84,-0.271340968594803
2.845,-0.274783824745125
2.85,-0.278281005504144
2.855,-0.281833542152836
2.86,-0.285442487236174
2.865,-0.289108915052217
2.87,-0.292833922154112
2.875,-0.296618627865268
2.88,-0.300464174808058
2.885,-0.304371729446368
2.89,-0.308342482642322
2.895,-0.312377650227467
2.9,-0.316478473588793
2.905,-0.320646220269802
2.91,-0.324882184586961
2.915,-0.32918768826181
2.92,-0.333564081068935
2.925,-0.338012741500038
2.93,-0.342535077444323
2.935,-0.347132526885263
2.94,-0.351806558613971
2.945,-0.356558672959107
2.95,-0.361390402533375
2.955,-0.366303312996535
2.96,-0.371299003834701
2.965,-0.376379109155728
2.97,-0.381545298500263
2.975,-0.386799277667985
2.98,-0.392142789558348
2.985,-0.397577615025042
2.99,-0.403105573743109
2.995,-0.408728525087547
3,-0.414448369021779
