"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0233277407024807
2.005,-0.0235476201431262
2.01,-0.0237696958710909
2.015,-0.0239939875575653
2.02,-0.0242205154146433
2.025,-0.0244493002033802
2.03,-0.0246803632420333
2.035,-0.0249137264145249
2.04,-0.0251494121791138
2.045,-0.0253874435772996
2.05,-0.0256278442429461
2.055,-0.0258706384116382
2.06,-0.0261158509302747
2.065,-0.0263635072669215
2.07,-0.0266136335208752
2.075,-0.0268662564330288
2.08,-0.0271214033964748
2.085,-0.0273791024673581
2.09,-0.0276393823760593
2.095,-0.0279022725385869
2.1,-0.0281678030683291
2.105,-0.0284360047880512
2.11,-0.028706909242218
2.115,-0.0289805487096264
2.12,-0.0292569562163536
2.125,-0.0295361655490394
2.13,-0.0298182112684995
2.135,-0.0301031287236819
2.14,-0.0303909540659932
2.145,-0.0306817242639654
2.15,-0.0309754771183233
2.155,-0.0312722512774151
2.16,-0.031572086253049
2.165,-0.0318750224367294
2.17,-0.0321811011163188
2.175,-0.0324903644931203
2.18,-0.0328028556993981
2.185,-0.0331186188163627
2.19,-0.0334376988926136
2.195,-0.0337601419630585
2.2,-0.0340859950683381
2.205,-0.0344153062747315
2.21,-0.0347481246946184
2.215,-0.0350845005074537
2.22,-0.0354244849812933
2.225,-0.0357681304949059
2.23,-0.0361154905604569
2.235,-0.0364666198467912
2.24,-0.0368215742033546
2.245,-0.0371804106847328
2.25,-0.0375431875758684
2.255,-0.03790996441794
2.26,-0.0382808020349527
2.265,-0.0386557625610422
2.27,-0.0390349094685225
2.275,-0.0394183075966994
2.28,-0.0398060231814868
2.285,-0.0401981238857949
2.29,-0.0405946788308218
2.295,-0.0409957586281545
2.3,-0.0414014354127903
2.305,-0.0418117828770765
2.31,-0.0422268763055976
2.315,-0.0426467926110441
2.32,-0.0430716103711012
2.325,-0.0435014098663786
2.33,-0.0439362731194175
2.335,-0.0443762839348155
2.34,-0.0448215279405127
2.345,-0.0452720926302525
2.35,-0.0457280674072803
2.355,-0.0461895436293225
2.36,-0.0466566146548605
2.365,-0.0471293758907691
2.37,-0.0476079248413728
2.375,-0.0480923611589233
2.38,-0.0485827866956126
2.385,-0.0490793055571144
2.39,-0.0495820241577345
2.395,-0.0500910512772382
2.4,-0.0506064981193646
2.405,-0.0511284783721649
2.41,-0.0516571082701389
2.415,-0.0521925066583106
2.42,-0.0527347950582559
2.425,-0.0532840977361902
2.43,-0.0538405417731602
2.435,-0.0544042571374499
2.44,-0.0549753767592321
2.445,-0.0555540366076017
2.45,-0.0561403757700304
2.455,-0.0567345365343743
2.46,-0.0573366644734744
2.465,-0.0579469085325156
2.47,-0.0585654211191827
2.475,-0.0591923581967437
2.48,-0.0598278793801847
2.485,-0.0604721480354965
2.49,-0.0611253313822189
2.495,-0.0617876005993937
2.5,-0.062459130935034
2.505,-0.0631401018192698
2.51,-0.0638306969812879
2.515,-0.0645311045702056
2.52,-0.0652415172800984
2.525,-0.0659621324792311
2.53,-0.0666931523437726
2.535,-0.0674347839960902
2.54,-0.0681872396478581
2.545,-0.0689507367481254
2.55,-0.0697254981365945
2.555,-0.0705117522022763
2.56,-0.0713097330477626
2.565,-0.0721196806593405
2.57,-0.072941841083189
2.575,-0.0737764666079007
2.58,-0.0746238159535986
2.585,-0.0754841544679358
2.59,-0.0763577543292222
2.595,-0.0772448947570236
2.6,-0.0781458622305274
2.605,-0.0790609507150149
2.61,-0.0799904618967612
2.615,-0.0809347054267617
2.62,-0.0818939991736319
2.625,-0.0828686694861034
2.63,-0.0838590514655082
2.635,-0.084865489248728
2.64,-0.0858883363020113
2.645,-0.0869279557262062
2.65,-0.0879847205738446
2.655,-0.0890590141786984
2.66,-0.0901512304982452
2.665,-0.0912617744697682
2.67,-0.0923910623805956
2.675,-0.0935395222531667
2.68,-0.0947075942456382
2.685,-0.0958957310686843
2.69,-0.0971043984192953
2.695,-0.0983340754323339
2.7,-0.0995852551507123
2.705,-0.100858445015028
2.71,-0.102154167373631
2.715,-0.103472960014064
2.72,-0.10481537671688
2.725,-0.106181987833007
2.73,-0.107573380885676
2.735,-0.108990161198206
2.74,-0.110432952548881
2.745,-0.111902397854262
2.75,-0.113399159882308
2.755,-0.114923921996874
2.76,-0.116477388935064
2.765,-0.118060287619184
2.77,-0.119673368004969
2.775,-0.121317403968027
2.78,-0.122993194230371
2.785,-0.124701563329182
2.79,-0.126443362629938
2.795,-0.128219471386305
2.8,-0.130030797849124
2.805,-0.131878280427264
2.81,-0.133762888902911
2.815,-0.135685625704363
2.82,-0.137647527239322
2.825,-0.139649665292027
2.83,-0.141693148487681
2.835,-0.143779123827827
2.84,-0.145908778300673
2.845,-0.148083340570439
2.85,-0.150304082750191
2.855,-0.152572322262834
2.86,-0.154889423795264
2.865,-0.157256801350953
2.87,-0.159675920406646
2.875,-0.162148300179133
2.88,-0.164675516008487
2.885,-0.167259201864577
2.89,-0.169901052984114
2.895,-0.172602828645867
2.9,-0.17536635509241
2.905,-0.178193528607004
2.91,-0.181086318755129
2.915,-0.184046771800542
2.92,-0.187077014306553
2.925,-0.190179256933956
2.93,-0.193355798447684
2.935,-0.196609029945299
2.94,-0.199941439321113
2.945,-0.203355615980982
2.95,-0.20685425582348
2.955,-0.210440166504724
2.96,-0.214116273004971
2.965,-0.217885623516636
2.97,-0.221751395674679
2.975,-0.22571690315191
2.98,-0.229785602643358
2.985,-0.233961101265629
2.99,-0.238247164399123
2.995,-0.242647724003064
3,-0.247166887435482
