"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.143596745368054
2.005,-0.148834427294786
2.01,-0.154332149942753
2.015,-0.160106039585986
2.02,-0.166173486014194
2.025,-0.172553260954769
2.03,-0.179265649467149
2.035,-0.186332595937076
2.04,-0.193777866528576
2.045,-0.201627230217992
2.05,-0.209908660843418
2.055,-0.218652562962096
2.06,-0.227892024726274
2.065,-0.237663101475727
2.07,-0.248005134315089
2.075,-0.258961108611782
2.08,-0.270578058133799
2.085,-0.282907521468394
2.09,-0.296006058449103
2.095,-0.309935835602223
2.1,-0.324765291143873
2.105,-0.340569891862665
2.11,-0.357432996369229
2.115,-0.375446841752799
2.12,-0.394713673744131
2.125,-0.415347044149198
2.13,-0.437473303720957
2.135,-0.461233323937958
2.14,-0.486784487558797
2.145,-0.514302995567127
2.15,-0.543986547519961
2.155,-0.57605746374451
2.16,-0.610766331770716
2.165,-0.648396276433818
2.17,-0.689267973977932
2.175,-0.733745556173578
2.18,-0.78224358210709
2.185,-0.835235294393824
2.19,-0.893262424992734
2.195,-0.956946875948663
2.2,-1.02700467531442
2.205,-1.10426270212856
2.21,-1.1896787917194
2.215,-1.28436598040204
2.22,-1.38962183561202
2.225,-1.50696405550609
2.23,-1.63817382734291
2.235,-1.78534882956187
2.24,-1.95096828196294
2.245,-2.13797314230267
2.25,-2.34986549464343
2.255,-2.59083250122137
2.26,-2.86590220349446
2.265,-3.18114130905065
2.27,-3.54390948440379
2.275,-3.96319160718663
2.28,-4.45004064414616
2.285,-5.01818217789484
2.29,-5.68486153116255
2.295,-6.47206142710202
2.3,-7.40828277820729
2.305,-8.5311264378573
2.31,-9.89070214606627
2.315,-11.5521615028468
2.32,-13.5857391091908
2.325,-15.9800237937246
2.33,-18.2129102581572
2.335,-18.6128347831881
2.34,-16.7401485206995
2.345,-14.338344430695
2.35,-12.2337282862487
2.355,-10.5112120436278
2.36,-9.1071569408424
2.365,-7.95239312220169
2.37,-6.99258225579076
2.375,-6.18707675497414
2.38,-5.50536871725271
2.385,-4.92420084798558
2.39,-4.42553902179998
2.395,-3.99518322939098
2.4,-3.62180613095321
2.405,-3.2962734544922
2.41,-3.01115230888874
2.415,-2.76034754325345
2.42,-2.53882755734074
2.425,-2.34241415048224
2.43,-2.1676192506776
2.435,-2.01151663511926
2.44,-1.87164019963332
2.445,-1.74590264746038
2.45,-1.63253006071474
2.455,-1.53000894180098
2.46,-1.43704312255985
2.465,-1.35251853452931
2.47,-1.2754742784869
2.475,-1.20507876806534
2.48,-1.14060997985597
2.485,-1.08143904141482
2.49,-1.02701654350705
2.495,-0.976861084333892
2.5,-0.930549649183316
2.505,-0.887709504760239
2.51,-0.848011347792674
2.515,-0.811163495736249
2.52,-0.776906946095481
2.525,-0.745011162043603
2.53,-0.715270467208352
2.535,-0.68750095291482
2.54,-0.661537817792132
2.545,-0.637233073212081
2.55,-0.614453559129789
2.555,-0.593079224012868
2.56,-0.573001630053729
2.565,-0.554122651060684
2.57,-0.53635333555995
2.575,-0.519612911906837
2.58,-0.503827915757247
2.585,-0.488931423217771
2.59,-0.474862375476472
2.595,-0.461564982801523
2.6,-0.448988197549436
2.605,-0.437085247304459
2.61,-0.425813220522117
2.615,-0.415132698110655
2.62,-0.40500742528499
2.625,-0.395404018795009
2.63,-0.386291705284638
2.635,-0.377642087097908
2.64,-0.36942893232793
2.645,-0.361627986316652
2.65,-0.354216802167753
2.655,-0.347174588140655
2.66,-0.340482070057573
2.665,-0.334121367084196
2.67,-0.328075879442522
2.675,-0.322330186786711
2.68,-0.316869956122491
2.685,-0.311681858281292
2.69,-0.306753492074365
2.695,-0.302073315351895
2.7,-0.29763058227953
2.705,-0.29341528622157
2.71,-0.289418107687446
2.715,-0.285630366857538
2.72,-0.282043980256829
2.725,-0.278651421191155
2.73,-0.275445683601693
2.735,-0.272420249029754
2.74,-0.269569056415996
2.745,-0.266886474486928
2.75,-0.264367276506998
2.755,-0.262006617197284
2.76,-0.259800011642155
2.765,-0.257743316023377
2.77,-0.255832710037492
2.775,-0.254064680866826
2.78,-0.252436008587749
2.785,-0.250943752911568
2.79,-0.249585241164195
2.795,-0.248358057420484
2.8,-0.247260032717778
2.805,-0.246289236281464
2.81,-0.245443967702413
2.815,-0.244722750013034
2.82,-0.244124323614798
2.825,-0.243647641015731
2.83,-0.243291862341702
2.835,-0.243056351590154
2.84,-0.242940673599575
2.845,-0.242944591712267
2.85,-0.243068066112079
2.855,-0.243311252822597
2.86,-0.243674503355023
2.865,-0.24415836499855
2.87,-0.244763581749497
2.875,-0.245491095878862
2.88,-0.246342050141286
2.885,-0.247317790631757
2.89,-0.248419870299652
2.895,-0.249650053133089
2.9,-0.251010319029882
2.905,-0.252502869374851
2.91,-0.254130133346771
2.915,-0.255894774981808
2.92,-0.257799701024093
2.925,-0.259848069597938
2.93,-0.262043299740312
2.935,-0.264389081836356
2.94,-0.266889389005246
2.945,-0.269548489488399
2.95,-0.272370960096888
2.955,-0.275361700780184
2.96,-0.278525950383813
2.965,-0.281869303669302
2.97,-0.285397729675857
2.975,-0.289117591509687
2.98,-0.293035667653567
2.985,-0.297159174896401
2.99,-0.301495792989859
2.995,-0.306053691146923
3,-0.310841556505199
