"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0442409697812627
2.005,-0.0451418752420274
2.01,-0.046071252528629
2.015,-0.0470299828441693
2.02,-0.0480189897717635
2.025,-0.0490392415365296
2.03,-0.0500917534109975
2.035,-0.0511775902742602
2.04,-0.0522978693361059
2.045,-0.0534537630382855
2.05,-0.0546465021460492
2.055,-0.055877379044272
2.06,-0.0571477512535931
2.065,-0.0584590451833819
2.07,-0.059812760139789
2.075,-0.0612104726087333
2.08,-0.0626538408353512
2.085,-0.064144609723474
2.09,-0.0656846160806903
2.095,-0.0672757942369242
2.1,-0.0689201820669863
2.105,-0.0706199274503879
2.11,-0.0723772952047524
2.115,-0.0741946745326695
2.12,-0.0760745870255118
2.125,-0.0780196952719509
2.13,-0.0800328121236208
2.135,-0.0821169106753298
2.14,-0.0842751350230474
2.145,-0.0865108118692084
2.15,-0.0888274630517568
2.155,-0.0912288190813228
2.16,-0.0937188337795616
2.165,-0.0963017001213379
2.17,-0.0989818673943352
2.175,-0.101764059801794
2.18,-0.104653296647536
2.185,-0.107654914257695
2.19,-0.110774589810587
2.195,-0.114018367265244
2.2,-0.117392685600662
2.205,-0.120904409602043
2.21,-0.124560863457567
2.215,-0.128369867460119
2.22,-0.132339778143156
2.225,-0.136479532219453
2.23,-0.140798694736111
2.235,-0.14530751191003
2.24,-0.150016969165805
2.245,-0.154938854963763
2.25,-0.160085831080848
2.255,-0.165471510092794
2.26,-0.171110540904085
2.265,-0.177018703284536
2.27,-0.183213012500454
2.275,-0.189711835276669
2.28,-0.196535018496771
2.285,-0.203704032246197
2.29,-0.211242129031009
2.295,-0.219174521269653
2.3,-0.227528579461735
2.305,-0.236334053794868
2.31,-0.245623322366487
2.315,-0.25543166968321
2.32,-0.265797599668663
2.325,-0.276763188077191
2.33,-0.288374479994066
2.335,-0.300681939025491
2.34,-0.313740955870711
2.345,-0.3276124252574
2.35,-0.342363401749898
2.355,-0.358067846757165
2.36,-0.374807481233179
2.365,-0.39267276115015
2.37,-0.411763995924501
2.375,-0.432192633697837
2.38,-0.454082741856775
2.385,-0.477572716585972
2.39,-0.502817261797688
2.395,-0.529989685730324
2.4,-0.559284573183082
2.405,-0.590920903161727
2.41,-0.625145696162319
2.415,-0.662238293057615
2.42,-0.702515389384736
2.425,-0.746336975785793
2.43,-0.794113368724053
2.435,-0.846313557038671
2.44,-0.903475141520293
2.445,-0.966216209194003
2.45,-1.03524956487232
2.455,-1.11139984431386
2.46,-1.19562416190747
2.465,-1.28903710901082
2.47,-1.39294112735995
2.475,-1.50886354955942
2.48,-1.63860194532736
2.485,-1.7842798660796
2.49,-1.94841568295689
2.495,-2.13400802727219
2.5,-2.34464246604148
2.505,-2.58462563845436
2.51,-2.85915540879525
2.515,-3.17453911552297
2.52,-3.53847751811305
2.525,-3.96044099517179
2.53,-4.45217951575563
2.535,-5.02843359506172
2.54,-5.70795839078549
2.545,-6.51505237788187
2.55,-7.48191966483385
2.555,-8.652413380526
2.56,-10.0879207099598
2.565,-11.8754175908008
2.57,-14.129045951354
2.575,-16.9092385633621
2.58,-19.5876489590384
2.585,-19.6184151040096
2.59,-16.9837742766929
2.595,-14.2355703521197
2.6,-12.0110670657683
2.605,-10.25049212326
2.61,-8.83917106439455
2.615,-7.68972773565042
2.62,-6.74062492861304
2.625,-5.94806275251021
2.63,-5.28003109466953
2.635,-4.71251129428766
2.64,-4.2270704779502
2.645,-3.80930116758144
2.65,-3.44777572744507
2.655,-3.13332225689175
2.66,-2.85850771815418
2.665,-2.61725923138892
2.67,-2.40458049613186
2.675,-2.21633563325582
2.68,-2.04908202502859
2.685,-1.8999395225157
2.69,-1.7664871175559
2.695,-1.64668065149402
2.7,-1.53878682454786
2.705,-1.44132995690124
2.71,-1.35304880520406
2.715,-1.27286136253724
2.72,-1.19983603467218
2.725,-1.1331679361118
2.73,-1.07215931691805
2.735,-1.01620333731222
2.74,-0.964770566868524
2.745,-0.917397709971857
2.75,-0.873678157298972
2.755,-0.83325404054193
2.76,-0.795809529046891
2.765,-0.761065156007383
2.77,-0.728773001023039
2.775,-0.698712587291281
2.78,-0.670687377051504
2.785,-0.644521769405588
2.79,-0.620058521277706
2.795,-0.597156525823651
2.8,-0.575688893665173
2.805,-0.555541291390862
2.81,-0.536610499216049
2.815,-0.518803155835936
2.82,-0.502034663583584
2.825,-0.486228231213999
2.83,-0.471314035135252
2.835,-0.457228482825396
2.84,-0.443913564612831
2.845,-0.431316282041877
2.85,-0.419388142763016
2.855,-0.408084713333989
2.86,-0.397365222539965
2.865,-0.387192208875075
2.87,-0.37753120670532
2.875,-0.368350466379108
2.88,-0.359620704187804
2.885,-0.351314878622135
2.89,-0.343407989835434
2.895,-0.335876899623847
2.9,-0.328700169576649
2.905,-0.321857915345429
2.91,-0.315331675235807
2.915,-0.309104291546107
2.92,-0.30315980326831
2.925,-0.297483348932621
2.93,-0.292061078521081
2.935,-0.286880073501397
2.94,-0.281928274141667
2.945,-0.277194413362599
2.95,-0.272667956467635
2.955,-0.268339046164913
2.96,-0.264198452359762
2.965,-0.260237526253029
2.97,-0.256448158330795
2.975,-0.252822739875093
2.98,-0.249354127664328
2.985,-0.246035611566584
2.99,-0.242860884759651
2.995,-0.239824016338713
3,-0.236919426096778
