"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0621646892119975
2.005,-0.0636588530065657
2.01,-0.0651975326377664
2.015,-0.0667824898933009
2.02,-0.0684155707271452
2.025,-0.0700987102110148
2.03,-0.0718339378242484
2.035,-0.0736233831085771
2.04,-0.0754692817166929
2.045,-0.0773739818860262
2.05,-0.0793399513720493
2.055,-0.081369784878486
2.06,-0.0834662120252521
2.065,-0.0856321058987942
2.07,-0.0878704922335814
2.075,-0.0901845592782082
2.08,-0.0925776684046257
2.085,-0.0950533655246641
2.09,-0.0976153933842895
2.095,-0.100267704812958
2.1,-0.10301447701314
2.105,-0.105860126983604
2.11,-0.108809328179632
2.115,-0.111867028523842
2.12,-0.115038469893175
2.125,-0.118329209220688
2.13,-0.121745141365607
2.135,-0.125292523921434
2.14,-0.128978004150369
2.145,-0.132808648252982
2.15,-0.136791973205151
2.155,-0.140935981420353
2.16,-0.145249198524689
2.165,-0.149740714564978
2.17,-0.154420229007441
2.175,-0.159298099926568
2.18,-0.164385397831209
2.185,-0.169693964628782
2.19,-0.175236478289503
2.195,-0.181026523841863
2.2,-0.187078671409398
2.205,-0.193408562088587
2.21,-0.200033002570162
2.215,-0.206970069523161
2.22,-0.214239224894955
2.225,-0.221861443434064
2.23,-0.229859353918768
2.235,-0.238257395777285
2.24,-0.24708199301875
2.245,-0.256361747663712
2.25,-0.266127655174357
2.255,-0.276413344745456
2.26,-0.287255347735589
2.265,-0.298693398004721
2.27,-0.310770768490887
2.275,-0.323534649019975
2.28,-0.337036571115599
2.285,-0.351332886481841
2.29,-0.366485306894779
2.295,-0.382561514489461
2.3,-0.399635852903355
2.305,-0.417790111479004
2.31,-0.437114416790675
2.315,-0.457708248206351
2.32,-0.479681597105739
2.325,-0.503156292842171
2.33,-0.52826752267805
2.335,-0.555165577881929
2.34,-0.584017864125727
2.345,-0.615011221477718
2.35,-0.64835460791569
2.355,-0.68428221071324
2.36,-0.723057062684687
2.365,-0.764975255615295
2.37,-0.810370861879097
2.375,-0.859621698038769
2.38,-0.913156092112
2.385,-0.971460850407327
2.39,-1.03509066193856
2.395,-1.10467923039993
2.4,-1.18095248805637
2.405,-1.2647443259506
2.41,-1.35701537482417
2.415,-1.45887549676004
2.42,-1.57161080642185
2.425,-1.69671624340334
2.43,-1.83593497845
2.435,-1.99130627765277
2.44,-2.16522390214291
2.445,-2.36050773534211
2.45,-2.58049218252353
2.455,-2.8291361024509
2.46,-3.11116081228614
2.465,-3.43222539609402
2.47,-3.79915272276769
2.475,-4.22022623222703
2.48,-4.70558838832805
2.485,-5.26778967105223
2.49,-5.92256710965753
2.495,-6.68998179158458
2.5,-7.5961266901069
2.505,-8.67573404824037
2.51,-9.97609843858931
2.515,-11.5622766755493
2.52,-13.5193966389658
2.525,-15.9209896728361
2.53,-18.5782393938388
2.535,-20.0878786365365
2.54,-18.7097248941019
2.545,-16.0918428089134
2.55,-13.704352219467
2.555,-11.7600822534231
2.56,-10.1878591857259
2.565,-8.90162666030997
2.57,-7.8353596388031
2.575,-6.94114133101543
2.58,-6.18391694178884
2.585,-5.53748243278091
2.59,-4.98180450918933
2.595,-4.50125942003835
2.6,-4.08345760607922
2.605,-3.71843905957909
2.61,-3.39810694614948
2.615,-3.11581814651348
2.62,-2.8660800309855
2.625,-2.64432117552849
2.63,-2.44671491279858
2.635,-2.27004154417025
2.64,-2.11157943529555
2.645,-1.96901807652497
2.65,-1.84038809716186
2.655,-1.72400452868715
2.66,-1.61842052871743
2.665,-1.52238943549674
2.67,-1.43483350481639
2.675,-1.35481804075557
2.68,-1.28152990380161
2.685,-1.21425958860582
2.69,-1.15238622538353
2.695,-1.09536498546845
2.7,-1.04271647121863
2.705,-0.994017749539754
2.71,-0.948894751357679
2.715,-0.907015809925216
2.72,-0.868086151549107
2.725,-0.831843185224016
2.73,-0.798052464354101
2.735,-0.766504215476523
2.74,-0.737010346653092
2.745,-0.709401862741936
2.75,-0.683526626715248
2.755,-0.659247416041591
2.76,-0.636440231294709
2.765,-0.614992820899917
2.77,-0.594803391537627
2.775,-0.575779478396535
2.78,-0.557836953371988
2.785,-0.540899152573882
2.79,-0.524896107252029
2.795,-0.509763864555664
2.8,-0.495443886491382
2.805,-0.481882517089858
2.81,-0.46903050918685
2.815,-0.456842603408544
2.82,-0.44527715295959
2.825,-0.434295788672081
2.83,-0.423863119508593
2.835,-0.413946464342014
2.84,-0.404515611374988
2.845,-0.395542602026281
2.85,-0.387001536511649
2.855,-0.378868398692155
2.86,-0.371120898061624
2.865,-0.363738327003803
2.87,-0.356701431674334
2.875,-0.34999229505804
2.88,-0.343594230922018
2.885,-0.337491687533636
2.89,-0.331670160141924
2.895,-0.326116111334609
2.9,-0.320816898482422
2.905,-0.315760707569663
2.91,-0.310936492786925
2.915,-0.306333921329436
2.92,-0.301943322904233
2.925,-0.29775564350206
2.93,-0.293762403036453
2.935,-0.289955656493886
2.94,-0.286327958275354
2.945,-0.282872329442349
2.95,-0.279582227609133
2.955,-0.27645151924893
2.96,-0.273474454204608
2.965,-0.270645642215029
2.97,-0.267960031286395
2.975,-0.265412887754487
2.98,-0.262999777898297
2.985,-0.260716550978738
2.99,-0.258559323587982
2.995,-0.256524465205611
3,-0.254608584867351
