"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0168431960022395
2.005,-0.0169926127989831
2.01,-0.0171453358661711
2.015,-0.0173014772210384
2.02,-0.0174611535274348
2.025,-0.0176244863509975
2.03,-0.0177916024304455
2.035,-0.017962633966153
2.04,-0.0181377189273006
2.045,-0.0183170013789565
2.05,-0.0185006318305637
2.055,-0.0186887676075219
2.06,-0.018881573247516
2.065,-0.0190792209235774
2.07,-0.0192818908959111
2.075,-0.0194897719947701
2.08,-0.019703062136791
2.085,-0.0199219688775089
2.09,-0.0201467100029299
2.095,-0.0203775141633633
2.1,-0.0206146215529965
2.105,-0.0208582846389799
2.11,-0.0211087689442099
2.115,-0.0213663538883483
2.12,-0.0216313336920624
2.125,-0.0219040183499835
2.13,-0.0221847346783514
2.135,-0.022473827444019
2.14,-0.022771660582014
2.145,-0.0230786185097202
2.15,-0.0233951075465079
2.155,-0.0237215574484962
2.16,-0.0240584230693272
2.165,-0.0244061861587462
2.17,-0.0247653573122544
2.175,-0.0251364780864519
2.18,-0.0255201232962563
2.185,-0.0259169035120914
2.19,-0.0263274677770765
2.195,-0.0267525065665958
2.2,-0.0271927550151678
2.205,-0.0276489964385256
2.21,-0.0281220661819617
2.215,-0.0286128558299491
2.22,-0.0291223178161265
2.225,-0.0296514704775738
2.23,-0.0302014036029086
2.235,-0.0307732845298832
2.24,-0.0313683648553357
2.245,-0.0319879878285957
2.25,-0.0326335965087755
2.255,-0.033306742777167
2.26,-0.0340090973084168
2.265,-0.0347424606183857
2.27,-0.0355087753232225
2.275,-0.0363101397632457
2.28,-0.037148823167499
2.285,-0.0380272825606203
2.29,-0.0389481816438582
2.295,-0.0399144119171051
2.3,-0.040929116350194
2.305,-0.0419957159598676
2.31,-0.0431179397058997
2.315,-0.0442998581869523
2.32,-0.0455459216962407
2.325,-0.0468610032914535
2.33,-0.0482504476456149
2.335,-0.0497201265796311
2.34,-0.0512765023377929
2.345,-0.0529266998603318
2.35,-0.0546785895396326
2.355,-0.056540882227914
2.36,-0.0585232386056258
2.365,-0.0606363954358361
2.37,-0.0628923117389304
2.375,-0.0653043385471356
2.38,-0.06788741666952
2.385,-0.0706583078537129
2.39,-0.0736358659196217
2.395,-0.076841355927575
2.4,-0.0802988313122047
2.405,-0.0840355812743092
2.41,-0.0880826637217587
2.415,-0.0924755428810416
2.42,-0.09725485562324
2.425,-0.102467336912686
2.43,-0.108166943069581
2.435,-0.114416222392149
2.44,-0.121287997010418
2.445,-0.128867438897022
2.45,-0.137254648503358
2.455,-0.146567879021848
2.46,-0.156947596377757
2.465,-0.168561629909251
2.47,-0.181611758885257
2.475,-0.196342206762361
2.48,-0.213050695215779
2.485,-0.232102969029332
2.49,-0.253952080189659
2.495,-0.279164276346408
2.5,-0.308454172420747
2.505,-0.342733151230044
2.51,-0.383176896245711
2.515,-0.431321035222214
2.52,-0.489198795279677
2.525,-0.559542599794956
2.53,-0.646084907408477
2.535,-0.754016337235387
2.54,-0.890698690867419
2.545,-1.06680093909026
2.55,-1.29815480234267
2.555,-1.608867359009
2.56,-2.0366932804271
2.565,-2.64260809314701
2.57,-3.5285710870095
2.575,-4.87263467150239
2.58,-7.00692914232283
2.585,-10.6256973681789
2.59,-17.0433608623958
2.595,-16.3280723418975
2.6,-10.2339994103112
2.605,-6.83756342602524
2.61,-4.81817127104561
2.615,-3.5365885216305
2.62,-2.68485862473681
2.625,-2.09732795698989
2.63,-1.67886274482677
2.635,-1.37234285300741
2.64,-1.14222176240642
2.645,-0.965671939167348
2.65,-0.82761103234627
2.655,-0.717812681082712
2.66,-0.629177728442353
2.665,-0.55667120393515
2.67,-0.496651929498837
2.675,-0.446439674720615
2.68,-0.404029525978206
2.685,-0.367899557355823
2.69,-0.336878886274053
2.695,-0.310055579933166
2.7,-0.286711342987915
2.705,-0.266274509589148
2.71,-0.248285743999393
2.715,-0.232372694516535
2.72,-0.218231041500944
2.725,-0.205610170130136
2.73,-0.194302227988589
2.735,-0.184133687608338
2.74,-0.174958782126541
2.745,-0.166654355283767
2.75,-0.159115789150863
2.755,-0.152253760169591
2.76,-0.145991636984076
2.765,-0.14026337935052
2.77,-0.135011831093129
2.775,-0.130187325055463
2.78,-0.12574653668098
2.785,-0.121651536942148
2.79,-0.117869006036542
2.795,-0.114369577453026
2.8,-0.111127288315175
2.805,-0.10811911679608
2.81,-0.105324591210572
2.815,-0.102725458381834
2.82,-0.100305401239225
2.825,-0.0980497974764138
2.83,-0.095945512591519
2.835,-0.0939807218273597
2.84,-0.0921447564928775
2.845,-0.0904279709257536
2.85,-0.0888216269889763
2.855,-0.0873177935101518
2.86,-0.0859092584950712
2.865,-0.0845894522945324
2.87,-0.0833523801901275
2.875,-0.0821925631023025
2.88,-0.0811049853212275
2.885,-0.0800850483256728
2.89,-0.0791285298927098
2.895,-0.0782315478165691
2.9,-0.0773905276522122
2.905,-0.0766021739812176
2.91,-0.0758634447670632
2.915,-0.0751715284258437
2.92,-0.0745238232885758
2.925,-0.0739179191741532
2.93,-0.0733515808284997
2.935,-0.0728227330169728
2.94,-0.0723294470839358
2.945,-0.0718699288167446
2.95,-0.0714425074713533
2.955,-0.0710456258341629
2.96,-0.0706778312097353
2.965,-0.0703377672370509
2.97,-0.0700241664483692
2.975,-0.0697358434946326
2.98,-0.0694716889700592
2.985,-0.069230663776067
2.99,-0.0690117939714073
2.995,-0.0688141660611019
3,-0.0686369226820419
