"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0158969950128322
2.005,-0.015968577479318
2.01,-0.0160406458266825
2.015,-0.0161132026844853
2.02,-0.0161862507351565
2.025,-0.0162597927137452
2.03,-0.0163338314076968
2.035,-0.0164083696565875
2.04,-0.0164834103519247
2.045,-0.0165589564369072
2.05,-0.0166350109062266
2.055,-0.0167115768058465
2.06,-0.0167886572328141
2.065,-0.0168662553350518
2.07,-0.0169443743111758
2.075,-0.0170230174103213
2.08,-0.0171021879319548
2.085,-0.017181889225711
2.09,-0.0172621246912309
2.095,-0.0173428977780039
2.1,-0.0174242119852072
2.105,-0.0175060708615774
2.11,-0.0175884780052551
2.115,-0.0176714370636684
2.12,-0.0177549517333812
2.125,-0.0178390257599982
2.13,-0.0179236629380249
2.135,-0.0180088671107755
2.14,-0.0180946421702554
2.145,-0.0181809920570565
2.15,-0.0182679207602883
2.155,-0.0183554323174559
2.16,-0.0184435308143946
2.165,-0.0185322203851973
2.17,-0.0186215052121185
2.175,-0.0187113895255309
2.18,-0.0188018776038379
2.185,-0.0188929737734418
2.19,-0.0189846824086671
2.195,-0.0190770079317274
2.2,-0.0191699548126691
2.205,-0.0192635275693514
2.21,-0.0193577307673922
2.215,-0.0194525690201532
2.22,-0.0195480469887096
2.225,-0.019644169381833
2.23,-0.0197409409559781
2.235,-0.0198383665152632
2.24,-0.019936450911476
2.245,-0.0200351990440682
2.25,-0.0201346158601605
2.255,-0.0202347063545411
2.26,-0.0203354755696905
2.265,-0.0204369285957893
2.27,-0.0205390705707441
2.275,-0.0206419066802141
2.28,-0.0207454421576231
2.285,-0.0208496822842272
2.29,-0.0209546323891155
2.295,-0.0210602978492786
2.3,-0.0211666840896399
2.305,-0.021273796583113
2.31,-0.0213816408506552
2.315,-0.021490222461319
2.32,-0.0215995470323257
2.325,-0.0217096202291197
2.33,-0.0218204477654489
2.335,-0.0219320354034321
2.34,-0.0220443889536385
2.345,-0.0221575142751706
2.35,-0.0222714172757494
2.355,-0.0223861039118016
2.36,-0.0225015801885573
2.365,-0.0226178521601441
2.37,-0.0227349259296859
2.375,-0.0228528076494073
2.38,-0.0229715035207476
2.385,-0.0230910197944694
2.39,-0.023211362770765
2.395,-0.0233325387993898
2.4,-0.0234545542797768
2.405,-0.0235774156611628
2.41,-0.0237011294427163
2.415,-0.023825702173678
2.42,-0.0239511404534883
2.425,-0.0240774509319333
2.43,-0.0242046403092864
2.435,-0.0243327153364549
2.44,-0.0244616828151319
2.445,-0.0245915495979451
2.45,-0.0247223225886189
2.455,-0.0248540087421394
2.46,-0.0249866150649043
2.465,-0.0251201486149013
2.47,-0.0252546165018765
2.475,-0.0253900258875067
2.48,-0.0255263839855775
2.485,-0.0256636980621587
2.49,-0.0258019754358006
2.495,-0.0259412234777019
2.5,-0.0260814496119182
2.505,-0.0262226613155458
2.51,-0.0263648661189202
2.515,-0.0265080716058125
2.52,-0.0266522854136342
2.525,-0.0267975152336506
2.53,-0.0269437688111779
2.535,-0.0270910539458028
2.54,-0.0272393784915907
2.545,-0.0273887503573222
2.55,-0.0275391775066918
2.555,-0.0276906679585393
2.56,-0.0278432297870958
2.565,-0.0279968711221888
2.57,-0.0281516001494868
2.575,-0.0283074251107449
2.58,-0.0284643543040298
2.585,-0.0286223960839736
2.59,-0.0287815588620128
2.595,-0.0289418511066453
2.6,-0.0291032813436757
2.605,-0.0292658581564715
2.61,-0.0294295901862249
2.615,-0.0295944861322111
2.62,-0.029760554752055
2.625,-0.0299278048619905
2.63,-0.030096245337147
2.635,-0.0302658851117991
2.64,-0.0304367331796637
2.645,-0.0306087985941723
2.65,-0.030782090468742
2.655,-0.0309566179770848
2.66,-0.0311323903534645
2.665,-0.0313094168930128
2.67,-0.0314877069520114
2.675,-0.031667269948192
2.68,-0.0318481153610331
2.685,-0.0320302527320604
2.69,-0.0322136916651657
2.695,-0.0323984418268936
2.7,-0.0325845129467746
2.705,-0.0327719148176225
2.71,-0.0329606572958564
2.715,-0.0331507503018339
2.72,-0.0333422038201436
2.725,-0.0335350278999672
2.73,-0.0337292326553746
2.735,-0.0339248282656866
2.74,-0.0341218249757792
2.745,-0.0343202330964439
2.75,-0.0345200630047144
2.755,-0.0347213251442196
2.76,-0.0349240300255175
2.765,-0.0351281882264579
2.77,-0.0353338103925234
2.775,-0.0355409072371816
2.78,-0.0357494895422643
2.785,-0.0359595681582935
2.79,-0.0361711540048774
2.795,-0.0363842580710498
2.8,-0.0365988914156634
2.805,-0.0368150651677393
2.81,-0.0370327905268578
2.815,-0.0372520787635268
2.82,-0.0374729412195691
2.825,-0.0376953893084972
2.83,-0.0379194345159067
2.835,-0.0381450883998662
2.84,-0.0383723625913018
2.845,-0.0386012687943933
2.85,-0.0388318187869798
2.855,-0.03906402442096
2.86,-0.0392978976226769
2.865,-0.039533450393352
2.87,-0.0397706948094711
2.875,-0.0400096430232148
2.88,-0.0402503072628557
2.885,-0.0404926998331878
2.89,-0.0407368331159504
2.895,-0.0409827195702413
2.9,-0.0412303717329487
2.905,-0.0414798022191759
2.91,-0.0417310237226906
2.915,-0.0419840490163317
2.92,-0.0422388909524764
2.925,-0.0424955624634599
2.93,-0.0427540765620272
2.935,-0.0430144463417883
2.94,-0.043276684977652
2.945,-0.0435408057262891
2.95,-0.0438068219265881
2.955,-0.0440747470001012
2.96,-0.0443445944515268
2.965,-0.044616377869158
2.97,-0.0448901109253547
2.975,-0.0451658073770088
2.98,-0.0454434810660294
2.985,-0.0457231459198007
2.99,-0.0460048159516865
2.995,-0.0462885052614795
3,-0.0465742280359162
