"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.066785354428981
2.005,-0.0689417798061734
2.01,-0.0712102767405798
2.015,-0.0735979037341949
2.02,-0.076112284280658
2.025,-0.0787616605414458
2.03,-0.0815549529497001
2.035,-0.0845018264863618
2.04,-0.0876127644776016
2.045,-0.0908991508833021
2.05,-0.0943733621857036
2.055,-0.0980488701488667
2.06,-0.101940356906649
2.065,-0.106063844054291
2.07,-0.110436837671243
2.075,-0.115078491496927
2.08,-0.120009790823815
2.085,-0.125253760072047
2.09,-0.130835697476997
2.095,-0.136783440867063
2.1,-0.143127669147993
2.105,-0.149902244857952
2.11,-0.157144604033201
2.115,-0.164896200649807
2.12,-0.173203014106894
2.125,-0.182116129620306
2.13,-0.19169240303359
2.135,-0.201995223460924
2.14,-0.213095389389726
2.145,-0.225072116425997
2.15,-0.238014197794003
2.155,-0.252021342026012
2.16,-0.26720571599726
2.165,-0.283693725540413
2.17,-0.301628070211577
2.175,-0.321170113173618
2.18,-0.342502611242179
2.185,-0.365832853276141
2.19,-0.39139625625237
2.195,-0.419460465891149
2.2,-0.450329999992765
2.205,-0.484351453687324
2.21,-0.521919250439316
2.215,-0.56348186160118
2.22,-0.609548316722228
2.225,-0.660694666313079
2.23,-0.71756980889608
2.235,-0.780899713389932
2.24,-0.851488499529406
2.245,-0.930214009822237
2.25,-1.01801432990292
2.255,-1.1158601053227
2.26,-1.2247054193248
2.265,-1.34540752659008
2.27,-1.47860327483314
2.275,-1.62452858501924
2.28,-1.78276894358652
2.285,-1.95193706214314
2.29,-2.12929390270866
2.295,-2.31036669197408
2.3,-2.488673622647
2.305,-2.65572721559148
2.31,-2.80151909190993
2.315,-2.91562548349806
2.32,-2.9888641399652
2.325,-3.01511835494441
2.33,-2.99270406134599
2.335,-2.9247206996443
2.34,-2.81824059338727
2.345,-2.68270138424377
2.35,-2.52812971519251
2.355,-2.3637264363414
2.36,-2.1970452530393
2.365,-2.03372466324445
2.37,-1.87759835195409
2.375,-1.73099740935567
2.38,-1.5951065280994
2.385,-1.47029510975867
2.39,-1.35638945156949
2.395,-1.25287955427163
2.4,-1.15906744731131
2.405,-1.07416859778477
2.41,-0.997378139475008
2.415,-0.927911944587995
2.42,-0.865030361509969
2.425,-0.808050393915474
2.43,-0.756350423184679
2.435,-0.709370303250335
2.44,-0.666608731523415
2.445,-0.627619147299971
2.45,-0.592004959983368
2.455,-0.559414606114738
2.46,-0.529536732801167
2.465,-0.502095673714499
2.47,-0.476847299759725
2.475,-0.453575274045295
2.48,-0.432087709160035
2.485,-0.412214206686509
2.49,-0.393803249478891
2.495,-0.37671991326691
2.5,-0.360843863488123
2.505,-0.34606760451608
2.51,-0.332294950755182
2.515,-0.319439691856321
2.52,-0.307424427227638
2.525,-0.296179547870821
2.53,-0.28564234625168
2.535,-0.275756237360445
2.54,-0.26647007631183
2.545,-0.257737559778566
2.55,-0.249516700258411
2.555,-0.241769363662594
2.56,-0.234460862005143
2.565,-0.227559594089826
2.57,-0.221036728055765
2.575,-0.214865920473713
2.58,-0.209023067400312
2.585,-0.203486083413322
2.59,-0.198234705180425
2.595,-0.19325031657012
2.6,-0.188515792705587
2.605,-0.184015360700753
2.61,-0.179734475109202
2.615,-0.175659706368417
2.62,-0.171778640739108
2.625,-0.168079790427694
2.63,-0.164552512742628
2.635,-0.161186937276767
2.64,-0.157973900230399
2.645,-0.154904885096211
2.65,-0.151971969020355
2.655,-0.149167774234499
2.66,-0.14648542402452
2.665,-0.143918502763097
2.67,-0.141461019587483
2.675,-0.139107375351189
2.68,-0.136852332519676
2.685,-0.134690987716832
2.69,-0.132618746661042
2.695,-0.130631301258013
2.7,-0.128724608642487
2.705,-0.126894871983031
2.71,-0.125138522883642
2.715,-0.123452205233196
2.72,-0.121832760369066
2.725,-0.120277213434896
2.73,-0.118782760824621
2.735,-0.117346758615562
2.74,-0.115966711903062
2.745,-0.114640264957699
2.75,-0.113365192133728
2.755,-0.112139389464277
2.76,-0.110960866884972
2.765,-0.10982774103309
2.77,-0.108738228574314
2.775,-0.107690640013586
2.78,-0.106683373950521
2.785,-0.105714911743413
2.79,-0.10478381254912
2.795,-0.103888708709006
2.8,-0.103028301453716
2.805,-0.102201356902031
2.81,-0.101406702331025
2.815,-0.100643222696897
2.82,-0.0999098573874178
2.825,-0.0992055971886786
2.83,-0.0985294814501626
2.835,-0.0978805954335642
2.84,-0.0972580678319475
2.845,-0.0966610684468614
2.85,-0.0960888060121642
2.855,-0.0955405261540558
2.86,-0.0950155094777804
2.865,-0.0945130697720904
2.87,-0.0940325523233681
2.875,-0.0935733323318411
2.88,-0.0931348134229471
2.885,-0.0927164262474438
2.89,-0.0923176271642936
2.895,-0.0919378970008391
2.9,-0.0915767398852032
2.905,-0.0912336821461477
2.91,-0.0909082712760849
2.915,-0.0906000749531263
2.92,-0.0903086801184394
2.925,-0.0900336921054364
2.93,-0.0897747338174789
2.935,-0.0895314449511643
2.94,-0.0893034812623163
2.945,-0.0890905138721015
2.95,-0.0888922286108272
2.955,-0.0887083253971484
2.96,-0.0885385176505768
2.965,-0.0883825317352899
2.97,-0.0882401064334507
2.975,-0.0881109924462558
2.98,-0.0879949519211571
2.985,-0.0878917580037191
2.99,-0.0878011944127207
2.995,-0.0877230550371988
3,-0.0876571435541713
