"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0158156120398932
2.005,-0.0158834502049912
2.01,-0.0159517472342045
2.015,-0.0160205057780367
2.02,-0.0160897285383691
2.025,-0.0161594182681663
2.03,-0.0162295777711999
2.035,-0.0163002099017929
2.04,-0.0163713175645286
2.045,-0.0164429037140244
2.05,-0.016514971354658
2.055,-0.0165875235403307
2.06,-0.0166605633742257
2.065,-0.0167340940085673
2.07,-0.0168081186444104
2.075,-0.0168826405313932
2.08,-0.0169576629675439
2.085,-0.0170331892990478
2.09,-0.0171092229200614
2.095,-0.0171857672724917
2.1,-0.0172628258458212
2.105,-0.0173404021769039
2.11,-0.0174184998497848
2.115,-0.0174971224955191
2.12,-0.0175762737920063
2.125,-0.0176559574638124
2.13,-0.0177361772820011
2.135,-0.0178169370639965
2.14,-0.0178982406734015
2.145,-0.0179800920198797
2.15,-0.0180624950589729
2.155,-0.0181454537920051
2.16,-0.0182289722659118
2.165,-0.0183130545731326
2.17,-0.0183977048514724
2.175,-0.0184829272839989
2.18,-0.0185687260989052
2.185,-0.0186551055694127
2.19,-0.018742070013661
2.195,-0.0188296237946039
2.2,-0.018917771319915
2.205,-0.0190065170418952
2.21,-0.0190958654573748
2.215,-0.0191858211076368
2.22,-0.0192763885783387
2.225,-0.0193675724994288
2.23,-0.019459377545076
2.235,-0.019551808433604
2.24,-0.0196448699274303
2.245,-0.0197385668329897
2.25,-0.0198329040007067
2.255,-0.0199278863249179
2.26,-0.0200235187438404
2.265,-0.0201198062395096
2.27,-0.0202167538377614
2.275,-0.0203143666081802
2.28,-0.020412649664071
2.285,-0.020511608162429
2.29,-0.0206112473039193
2.295,-0.0207115723328471
2.3,-0.0208125885371438
2.305,-0.0209143012483536
2.31,-0.0210167158416236
2.315,-0.0211198377356944
2.32,-0.0212236723928964
2.325,-0.0213282253191491
2.33,-0.021433502063967
2.335,-0.0215395082204635
2.34,-0.0216462494253585
2.345,-0.0217537313590021
2.35,-0.0218619597453779
2.355,-0.0219709403521268
2.36,-0.0220806789905857
2.365,-0.0221911815157864
2.37,-0.0223024538265073
2.375,-0.0224145018652915
2.38,-0.0225273316184981
2.385,-0.0226409491163279
2.39,-0.0227553604328731
2.395,-0.0228705716861559
2.4,-0.0229865890381822
2.405,-0.0231034186949957
2.41,-0.0232210669067245
2.415,-0.0233395399676427
2.42,-0.023458844216226
2.425,-0.0235789860352225
2.43,-0.0236999718517162
2.435,-0.0238218081371901
2.44,-0.0239445014076065
2.445,-0.0240680582234731
2.45,-0.0241924851899238
2.455,-0.0243177889568081
2.46,-0.0244439762187574
2.465,-0.0245710537152742
2.47,-0.0246990282308382
2.475,-0.0248279065949757
2.48,-0.0249576956823601
2.485,-0.025088402412916
2.49,-0.0252200337519061
2.495,-0.0253525967100404
2.5,-0.0254860983435768
2.505,-0.0256205457544359
2.51,-0.0257559460902989
2.515,-0.02589230654472
2.52,-0.0260296343572564
2.525,-0.0261679368135661
2.53,-0.0263072212455367
2.535,-0.0264474950314057
2.54,-0.0265887655958847
2.545,-0.0267310404102865
2.55,-0.0268743269926589
2.555,-0.027018632907899
2.56,-0.0271639657679078
2.565,-0.0273103332317166
2.57,-0.0274577430056262
2.575,-0.0276062028433454
2.58,-0.0277557205461412
2.585,-0.0279063039629804
2.59,-0.0280579609906693
2.595,-0.0282106995740215
2.6,-0.0283645277059962
2.605,-0.0285194534278514
2.61,-0.0286754848293161
2.615,-0.0288326300487334
2.62,-0.0289908972732234
2.625,-0.0291502947388633
2.63,-0.0293108307308218
2.635,-0.0294725135835634
2.64,-0.0296353516809868
2.645,-0.0297993534566184
2.65,-0.0299645273937733
2.655,-0.0301308820257331
2.66,-0.0302984259359341
2.665,-0.0304671677581389
2.67,-0.0306371161766173
2.675,-0.0308082799263297
2.68,-0.030980667793132
2.685,-0.031154288613933
2.69,-0.0313291512769142
2.695,-0.0315052647217016
2.7,-0.031682637939572
2.705,-0.0318612799736447
2.71,-0.0320411999190807
2.715,-0.0322224069232851
2.72,-0.0324049101861034
2.725,-0.0325887189600328
2.73,-0.0327738425504276
2.735,-0.0329602903156993
2.74,-0.0331480716675366
2.745,-0.0333371960711153
2.75,-0.0335276730453039
2.755,-0.0337195121628851
2.76,-0.0339127230507814
2.765,-0.0341073153902615
2.77,-0.0343032989171612
2.775,-0.0345006834221187
2.78,-0.0346994787507865
2.785,-0.034899694804075
2.79,-0.0351013415383558
2.795,-0.03530442896571
2.8,-0.0355089671541574
2.805,-0.0357149662278934
2.81,-0.0359224363675075
2.815,-0.0361313878102448
2.82,-0.0363418308502249
2.825,-0.0365537758386957
2.83,-0.0367672331842642
2.835,-0.0369822133531587
2.84,-0.0371987268694459
2.845,-0.0374167843153148
2.85,-0.0376363963312905
2.855,-0.0378575736165072
2.86,-0.0380803269289586
2.865,-0.0383046670857427
2.87,-0.0385306049633217
2.875,-0.0387581514977846
2.88,-0.0389873176851002
2.885,-0.0392181145813798
2.89,-0.0394505533031378
2.895,-0.0396846450275642
2.9,-0.0399204009927741
2.905,-0.0401578324980871
2.91,-0.0403969509042941
2.915,-0.0406377676339181
2.92,-0.0408802941715045
2.925,-0.0411245420638729
2.93,-0.0413705229204066
2.935,-0.0416182484133247
2.94,-0.0418677302779569
2.945,-0.0421189803130271
2.95,-0.0423720103809278
2.955,-0.0426268324080122
2.96,-0.042883458384869
2.965,-0.0431419003666098
2.97,-0.0434021704731564
2.975,-0.0436642808895297
2.98,-0.0439282438661389
2.985,-0.0441940717190689
2.99,-0.0444617768303763
2.995,-0.0447313716483806
3,-0.0450028686879602
